donor_id	population	super_population	resource	remote_name	expected_size
HG00438	CHS	EAS	repeat	RepeatMasker.hap1.bb	187728036
HG00438	CHS	EAS	repeat	RepeatMasker.hap2.bb	187280521
HG00438	CHS	EAS	mappability	HMMFlagger.PacBio.bed.gz	2903
HG00438	CHS	EAS	mappability	HMMFlagger.PacBio.bed.gz.tbi	6635
HG00097	GBR	EUR	methylation	methylation.PacBio.hap1.methylc.gz	284140017
HG00097	GBR	EUR	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1787599
HG00097	GBR	EUR	methylation	methylation.PacBio.hap2.methylc.gz	290324726
HG00097	GBR	EUR	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1805200
HG00097	GBR	EUR	repeat	RepeatMasker.hap1.bb	187657645
HG00097	GBR	EUR	repeat	RepeatMasker.hap2.bb	187039954
HG00097	GBR	EUR	mappability	HMMFlagger.PacBio.bed.gz	4054
HG00097	GBR	EUR	mappability	HMMFlagger.PacBio.bed.gz.tbi	7269
HG01167	PUR	AMR	methylation	methylation.PacBio.hap1.methylc.gz	287688276
HG01167	PUR	AMR	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1753828
HG01167	PUR	AMR	methylation	methylation.PacBio.hap2.methylc.gz	289299721
HG01167	PUR	AMR	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1801410
HG01167	PUR	AMR	repeat	RepeatMasker.hap1.bb	180331190
HG01167	PUR	AMR	repeat	RepeatMasker.hap2.bb	187065571
HG01167	PUR	AMR	mappability	HMMFlagger.PacBio.bed.gz	3880
HG01167	PUR	AMR	mappability	HMMFlagger.PacBio.bed.gz.tbi	6847
HG02040	KHV	EAS	methylation	methylation.PacBio.hap1.methylc.gz	283779756
HG02040	KHV	EAS	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1749786
HG02040	KHV	EAS	methylation	methylation.PacBio.hap2.methylc.gz	288188916
HG02040	KHV	EAS	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1809195
HG02040	KHV	EAS	repeat	RepeatMasker.hap1.bb	179505886
HG02040	KHV	EAS	repeat	RepeatMasker.hap2.bb	186971054
HG02040	KHV	EAS	mappability	HMMFlagger.PacBio.bed.gz	2487
HG02040	KHV	EAS	mappability	HMMFlagger.PacBio.bed.gz.tbi	7312
HG02922	ESN	AFR	methylation	methylation.PacBio.hap1.methylc.gz	292476931
HG02922	ESN	AFR	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1812840
HG02922	ESN	AFR	methylation	methylation.PacBio.hap2.methylc.gz	292916205
HG02922	ESN	AFR	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1812672
HG02922	ESN	AFR	repeat	RepeatMasker.hap1.bb	187541355
HG02922	ESN	AFR	repeat	RepeatMasker.hap2.bb	187295930
HG02922	ESN	AFR	mappability	HMMFlagger.PacBio.bed.gz	2768
HG02922	ESN	AFR	mappability	HMMFlagger.PacBio.bed.gz.tbi	5161
HG03130	ESN	AFR	methylation	methylation.PacBio.hap1.methylc.gz	289127000
HG03130	ESN	AFR	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1762869
HG03130	ESN	AFR	methylation	methylation.PacBio.hap2.methylc.gz	294439854
HG03130	ESN	AFR	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1809979
HG03130	ESN	AFR	repeat	RepeatMasker.hap1.bb	179825556
HG03130	ESN	AFR	repeat	RepeatMasker.hap2.bb	187525248
HG03130	ESN	AFR	mappability	HMMFlagger.PacBio.bed.gz	2516
HG03130	ESN	AFR	mappability	HMMFlagger.PacBio.bed.gz.tbi	4174
HG03742	ITU	SAS	methylation	methylation.PacBio.hap1.methylc.gz	281393683
HG03742	ITU	SAS	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1742428
HG03742	ITU	SAS	methylation	methylation.PacBio.hap2.methylc.gz	293441045
HG03742	ITU	SAS	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1818767
HG03742	ITU	SAS	repeat	RepeatMasker.hap1.bb	179426298
HG03742	ITU	SAS	repeat	RepeatMasker.hap2.bb	187364771
HG03742	ITU	SAS	mappability	HMMFlagger.PacBio.bed.gz	2302
HG03742	ITU	SAS	mappability	HMMFlagger.PacBio.bed.gz.tbi	5745
NA18565	CHB	EAS	methylation	methylation.PacBio.hap1.methylc.gz	286352392
NA18565	CHB	EAS	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1797788
NA18565	CHB	EAS	methylation	methylation.PacBio.hap2.methylc.gz	287036850
NA18565	CHB	EAS	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1801659
NA18565	CHB	EAS	repeat	RepeatMasker.hap1.bb	187335809
NA18565	CHB	EAS	repeat	RepeatMasker.hap2.bb	187189429
NA18565	CHB	EAS	mappability	HMMFlagger.PacBio.bed.gz	3838
NA18565	CHB	EAS	mappability	HMMFlagger.PacBio.bed.gz.tbi	9421
NA20850	GIH	SAS	methylation	methylation.PacBio.hap1.methylc.gz	280874294
NA20850	GIH	SAS	methylation	methylation.PacBio.hap1.methylc.gz.tbi	1735429
NA20850	GIH	SAS	methylation	methylation.PacBio.hap2.methylc.gz	290652706
NA20850	GIH	SAS	methylation	methylation.PacBio.hap2.methylc.gz.tbi	1803230
NA20850	GIH	SAS	repeat	RepeatMasker.hap1.bb	179197473
NA20850	GIH	SAS	repeat	RepeatMasker.hap2.bb	187034556
NA20850	GIH	SAS	mappability	HMMFlagger.PacBio.bed.gz	3073
NA20850	GIH	SAS	mappability	HMMFlagger.PacBio.bed.gz.tbi	5963
