resource_id	profiles	dataset	release	role	url	relative_path	expected_bytes	checksum_type	checksum	compression	required	notes
hprc_r2_sv_gfa	sv-core,analysis-full,archive-full-resolution	hprc_r2	HPRC-v2.0	primary SV graph	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.sv.gfa.gz	raw/hprc/v2.0/hprc-v2.0-mc-grch38.sv.gfa.gz	841612966			gzip	true	Complete released HPRC R2 SV graph in GRCh38 coordinates; exact size plus gzip integrity are checked and a SHA-256 is recorded after download.
hgsvc3_sv_gfa	sv-core,analysis-full,archive-full-resolution	hgsvc3	2024-02-23	independent SV graph	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.sv.gfa.gz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.sv.gfa.gz	831761179	md5	1fd1100de7b3346d529b6b96f16a43f5	gzip	true	Official HGSVC3 Minigraph-Cactus SV graph in CHM13 coordinates.
hprc_r1_1_sv_gfa	sv-core,analysis-full,archive-full-resolution	hprc_r1_1	HPRC-v1.1	release-transfer SV graph	https://s3-us-west-2.amazonaws.com/human-pangenomics/pangenomes/freeze/freeze1/minigraph-cactus/hprc-v1.1-mc-grch38/hprc-v1.1-mc-grch38.sv.gfa.gz	raw/hprc/v1.1/hprc-v1.1-mc-grch38.sv.gfa.gz	788100028	sha256	e9cfa7d1f2918922b1ce7413d3c9d106730d9a77972de044343387d3be7ec8d8	gzip	true	Never pool with R2 because donors and assemblies overlap; release-transfer stress test only.
hgsvc3_hprc1_combined_sv_gfa	sv-core,analysis-full,archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	official integrated-graph stress test	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/hgsvc3-hprc-2024-02-23-mc-chm13.sv.gfa.gz	raw/hgsvc3_hprc1/2024-02-23/hgsvc3-hprc-2024-02-23-mc-chm13.sv.gfa.gz	850615599	md5	2b947e9c5b0e5e2b6f9116c325f76864	gzip	true	Official integrated HGSVC3 plus HPRC-v1 graph; README reports 216 haplotypes total. Not HPRC R2.
hprc_r2_gbz	analysis-full,archive-full-resolution	hprc_r2	HPRC-v2.0	path-rich graph index	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.gbz	raw/hprc/v2.0/hprc-v2.0-mc-grch38.gbz	5419804360	sha256	4bbdb4eb1b2bf3ab32359c21bd94c3d89101967f5d6b9055a2c6492191a4ffe0	binary	true	Checksum is intentionally validated against the repository-pinned download ledger; use for path inventory and future path-aware tasks.
hgsvc3_gbz	analysis-full,archive-full-resolution	hgsvc3	2024-02-23	path-rich clipped graph index	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.gbz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.gbz	4108485512	md5	0f831c3827266e1ec183f68253674166	binary	true	Official clipped GBZ with path information.
hprc_r1_1_gbz	analysis-full,archive-full-resolution	hprc_r1_1	HPRC-v1.1	release-transfer graph index	https://s3-us-west-2.amazonaws.com/human-pangenomics/pangenomes/freeze/freeze1/minigraph-cactus/hprc-v1.1-mc-grch38/hprc-v1.1-mc-grch38.gbz	raw/hprc/v1.1/hprc-v1.1-mc-grch38.gbz	3289083600	sha256	4038bf3da98e7e5f2a40ef5ca41b9175b949ec70e1dfce23acabe5dabf7bcb4c	binary	true	Use only for release-transfer/path metadata, never as additional R2 training donors.
hgsvc3_hprc1_combined_gbz	analysis-full,archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	official integrated clipped graph index	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/hgsvc3-hprc-2024-02-23-mc-chm13.gbz	raw/hgsvc3_hprc1/2024-02-23/hgsvc3-hprc-2024-02-23-mc-chm13.gbz	4871791944	md5	196066ee81ba3b639bdec52d202c2637	binary	true	Official integrated HGSVC3 plus HPRC-v1 clipped GBZ.
hgsvc3_manifest	sv-core,analysis-full,archive-full-resolution	hgsvc3	2024-02-23	official checksum manifest	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/20240223_Graph_Genomes_MANIFEST.txt	metadata/hgsvc3/20240223_Graph_Genomes_MANIFEST.txt				text	true	Retained with downloaded data for provenance.
hgsvc3_readme	sv-core,analysis-full,archive-full-resolution	hgsvc3	2024-02-23	official release README	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/20240223_Graph_Genomes_hgsvc_README.txt	metadata/hgsvc3/20240223_Graph_Genomes_hgsvc_README.txt	3824	md5	2a1d73b023721015ec4878379e3af4c2	text	true	Official build provenance; the release-server filename differs from the graph-internal README name listed in the checksum manifest.
hgsvc3_hprc1_manifest	sv-core,analysis-full,archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	official checksum manifest	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/20240223_Graph_Genomes_hgsvchprc_MANIFEST.txt	metadata/hgsvc3_hprc1/20240223_Graph_Genomes_hgsvchprc_MANIFEST.txt				text	true	Retained with downloaded data for provenance.
hgsvc3_hprc1_readme	sv-core,analysis-full,archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	official release README	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/20240223_Graph_Genomes_hgsvchprc_README.txt	metadata/hgsvc3_hprc1/20240223_Graph_Genomes_hgsvchprc_README.txt	3927	md5	0ded585e0acbaa868d3784d611d33952	text	true	States the 216-haplotype composition of the integrated HGSVC3 plus HPRC-v1 graph; use the filename exposed by the release server.
hprc_r2_full_gfa	archive-full-resolution	hprc_r2	HPRC-v2.0	full small-variant GFA	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.gfa.gz	raw/hprc/v2.0/hprc-v2.0-mc-grch38.gfa.gz	63140268368			gzip	true	Large optional archival/resource-development input; not consumed by the present SV-edge training matrix.
hprc_r2_hapl	archive-full-resolution	hprc_r2	HPRC-v2.0	haplotype index	https://human-pangenomics.s3.amazonaws.com/pangenomes/freeze/release2/minigraph-cactus/hprc-v2.0-mc-grch38.hapl	raw/hprc/v2.0/hprc-v2.0-mc-grch38.hapl	21418951584			binary	true	Large path/haplotype resource; present pipeline inventories it but does not train directly from this format.
hgsvc3_full_gbz	archive-full-resolution	hgsvc3	2024-02-23	unclipped full graph index	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.full.gbz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.full.gbz	11266340504	md5	d1ce64234fe37d2372f65f3cb5f88c20	binary	true	Unclipped full GBZ; retained for future full-resolution/path-aware work.
hgsvc3_full_gfa	archive-full-resolution	hgsvc3	2024-02-23	clipped full small-variant GFA	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3/hgsvc3-2024-02-23-mc-chm13.gfa.gz	raw/hgsvc3/2024-02-23/hgsvc3-2024-02-23-mc-chm13.gfa.gz	14709539504	md5	f072db3bb9f428577f00b30ea12d20a0	gzip	true	Large optional full small-variant graph; not consumed by the present SV-edge training matrix.
hgsvc3_hprc1_full_gbz	archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	unclipped full integrated graph index	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/hgsvc3-hprc-2024-02-23-mc-chm13.full.gbz	raw/hgsvc3_hprc1/2024-02-23/hgsvc3-hprc-2024-02-23-mc-chm13.full.gbz	15542342984	md5	3b4c8dc96d9b3a50e1c5151c1af83cda	binary	true	Unclipped full integrated GBZ.
hgsvc3_hprc1_full_gfa	archive-full-resolution	hgsvc3_hprc1_combined	2024-02-23	clipped full integrated small-variant GFA	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/release/Graph_Genomes/1.0/2024_02_23_minigraph_cactus_hgsvc3_hprc/hgsvc3-hprc-2024-02-23-mc-chm13.gfa.gz	raw/hgsvc3_hprc1/2024-02-23/hgsvc3-hprc-2024-02-23-mc-chm13.gfa.gz	26419780984	md5	c72166e0fc4218952ed84e02db38b82c	gzip	true	Large optional full integrated graph; not consumed by the present SV-edge training matrix.
