experiment_type,regime,transfer_pair,closure,seeds,mean_targets,auroc_mean,auprc_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,brier_mean,ece_10bin_mean,auroc_sd_across_seeds,auprc_sd_across_seeds,accuracy_sd_across_seeds,precision_sd_across_seeds,recall_sd_across_seeds,f1_sd_across_seeds,brier_sd_across_seeds,ece_10bin_sd_across_seeds
cohort_transfer,hgsvc3_hprc1_combined_to_hprc_r2,hgsvc3_hprc1_combined_to_hprc_r2,1hop,3,35120.0,0.8590789481080595,0.883632644682446,0.7662775246772968,0.9203433525647648,0.5851936218678816,0.7129569421992086,0.1521325867584856,0.0640965934965508,0.0094029882946374,0.0064291504633894,0.0213644880487412,0.0294359595206873,0.0683465967246765,0.0428318163775385,0.0032429392970203,0.0108158617459904
cohort_transfer,hgsvc3_hprc1_combined_to_hprc_r2,hgsvc3_hprc1_combined_to_hprc_r2,strict,3,15942.0,0.7160782015167128,0.7007407721450839,0.614812026930958,0.7176537318752004,0.3829297871450675,0.496945817411564,0.2192984835898392,0.0819342316059214,0.0121953692254936,0.0070119667543191,0.0059489687082404,0.0309375938597855,0.0526230561950937,0.0388241841416673,0.0023891589605148,0.0109867435257586
cohort_transfer,hgsvc3_to_hprc_r2,hgsvc3_to_hprc_r2,1hop,3,35120.0,0.8677947136015276,0.8902440543430522,0.7748291571753986,0.9007616991368922,0.6187547456340167,0.7331909532510688,0.1515358238430501,0.0681673977400986,0.0062732134176371,0.0052165484369355,0.0068277189923811,0.0315953478268323,0.0151292479667352,0.0046652127057673,0.0029446838578395,0.0092674243792992
cohort_transfer,hgsvc3_to_hprc_r2,hgsvc3_to_hprc_r2,strict,3,15942.0,0.7394247588313894,0.7247238633489745,0.6171956676284865,0.7461578772487002,0.3596370175218499,0.4790294474881385,0.2160979231501874,0.0931752736485175,0.004462386970778,0.0016530177605734,0.0246059585102463,0.0235547255687799,0.0940320421424685,0.0861580668539138,0.0021587107956375,0.0109825314425247
cohort_transfer,hprc_r2_to_hgsvc3,hprc_r2_to_hgsvc3,1hop,3,71940.0,0.9371075229058948,0.9407508270186024,0.8585209897136502,0.8679898608935871,0.8458066907608192,0.856723718130009,0.1168670452903955,0.1110467346081039,0.0038962660605336,0.0041444928543901,0.0065058221471351,0.0118505607576339,0.0026509237537485,0.0056238211533061,0.0046690600621898,0.0066920502407729
cohort_transfer,hprc_r2_to_hgsvc3,hprc_r2_to_hgsvc3,strict,3,32696.0,0.6162472192569545,0.5997057203560524,0.5588247288149417,0.6184161396572324,0.3170010602724084,0.4171456753724192,0.2382996904842146,0.0707992143768146,0.0214208546332126,0.0257130753884893,0.0096704189549109,0.0369844491683849,0.0379741475305919,0.0231945731745235,0.0024377600035255,0.004705251943187
release_transfer,hprc_r1_1_to_hprc_r2,hprc_r1_1_to_hprc_r2,1hop,3,35120.0,0.736251624217565,0.7845993214810054,0.6782080485952923,0.9188133127702124,0.388173880030372,0.5418679180659396,0.2066032982478587,0.0854078141415679,0.0658528629967422,0.0596687776277273,0.0540391569741035,0.0423018670380012,0.1016440362334283,0.1095695888103275,0.0261448557220619,0.0197861809294074
release_transfer,hprc_r1_1_to_hprc_r2,hprc_r1_1_to_hprc_r2,strict,3,15942.0,0.7220455504442428,0.7062889114166291,0.5607410195291265,0.8111693887021089,0.1567348304269643,0.2612783974926485,0.2271810426731913,0.1129544310521766,0.0641324216301185,0.0565897145330608,0.020430487378634,0.0322426085842552,0.0441531892449957,0.064177236126691,0.0100349657295474,0.0146935780793519
release_transfer,hprc_r2_to_hprc_r1_1,hprc_r2_to_hprc_r1_1,1hop,3,23808.0,0.8663738367024307,0.8838158870619354,0.7814740143369175,0.8056789333551878,0.7421594982078853,0.7724850083510413,0.15731302055726,0.0879219952165938,0.0031025325805234,0.0027472918353632,0.0062928849257781,0.0109463973949467,0.0168003052018862,0.007866458245652,0.0027800783211465,0.0068562046456704
release_transfer,hprc_r2_to_hprc_r1_1,hprc_r2_to_hprc_r1_1,strict,3,10952.0,0.5639686460590454,0.5669454509927928,0.529218407596786,0.619190199948442,0.1586924762600438,0.2510746811192011,0.2529255862987506,0.0821005730956293,0.0248773302965076,0.0243347959121674,0.0038349159970781,0.0391241801770822,0.0277839057701372,0.030718251208977,0.0023019747381552,0.0076913844699355
