task,closure,contrast,larger_feature_set,smaller_feature_set,metric,mean_gain,ci95_low,ci95_high,n_paired_runs,n_folds,n_seeds,gain_definition,positive_means_first_feature_set_improves
cCRE,1hop,frozen_sequence_fm_vs_kmer_composition,frozen_sequence_fm,sequence_kmer,auprc,0.3150766713316805,0.3036977492897766,0.3307533366237185,15,5,3,larger_minus_smaller,True
cCRE,strict,frozen_sequence_fm_vs_kmer_composition,frozen_sequence_fm,sequence_kmer,auprc,0.3150896580453917,0.3029545272238345,0.3306935954062845,15,5,3,larger_minus_smaller,True
cCRE,1hop,topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,coordinate_plus_frozen_sequence_fm,auprc,0.0034064117502334,0.0016533850400076,0.0047965733361922,15,5,3,larger_minus_smaller,True
cCRE,strict,topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,coordinate_plus_frozen_sequence_fm,auprc,0.0040076723482719,0.0029304265514527,0.0048040000322459,15,5,3,larger_minus_smaller,True
cCRE,1hop,frozen_sequence_fm_given_coordinate_and_topology,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,coordinate_plus_frozen_pangenomefm,auprc,0.0261412632659117,0.0231211078418581,0.0296424747237106,15,5,3,larger_minus_smaller,True
cCRE,strict,frozen_sequence_fm_given_coordinate_and_topology,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,coordinate_plus_frozen_pangenomefm,auprc,0.0248108023401082,0.021923830745472,0.0273300870302362,15,5,3,larger_minus_smaller,True
SV,1hop,frozen_sequence_fm_vs_kmer_composition,frozen_sequence_fm_pair,sequence_kmer_pair,auprc,0.0808124990476761,0.0758236007981472,0.0865776780571986,15,5,3,larger_minus_smaller,True
SV,strict,frozen_sequence_fm_vs_kmer_composition,frozen_sequence_fm_pair,sequence_kmer_pair,auprc,0.0808124990476761,0.0759058099399089,0.0865776780571986,15,5,3,larger_minus_smaller,True
SV,1hop,topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0400900270237571,0.0360857691127544,0.0439573125852368,15,5,3,larger_minus_smaller,True
SV,strict,topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0342458655017224,0.0323964457567204,0.0362280563416315,15,5,3,larger_minus_smaller,True
SV,1hop,frozen_sequence_fm_given_coordinate_and_topology,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_pangenomefm_pair,auprc,-0.0004729398625639,-0.0022479880559706,0.002120843191797,15,5,3,larger_minus_smaller,True
SV,strict,frozen_sequence_fm_given_coordinate_and_topology,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_pangenomefm_pair,auprc,-0.0001528830026442,-0.0020108974372595,0.0022477823971597,15,5,3,larger_minus_smaller,True
