closure,stratum,stratum_value,contrast,larger_feature_set,smaller_feature_set,metric,mean_gain,ci95_low,ci95_high,n_paired_runs,n_folds,n_seeds,mean_examples_per_run,interpretation_status,gain_definition,positive_means_topology_improves
1hop,allele_frequency_bin,"af[0.001,0.01)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0376850946909748,0.0316050363328731,0.042418815645453,15,5,3,8784.4,descriptive_ranking_supported,larger_minus_smaller,True
1hop,allele_frequency_bin,"af[0.01,0.05)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0369476810165022,0.0337420889689547,0.040559485098688,15,5,3,12040.4,descriptive_ranking_supported,larger_minus_smaller,True
1hop,allele_frequency_bin,"af[0.05,0.5)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0422483832993544,0.0381207321837545,0.0463485338504608,15,5,3,12085.6,descriptive_ranking_supported,larger_minus_smaller,True
1hop,allele_frequency_bin,"af[0.5,1)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0420667753615638,0.0336868494760537,0.0514715201837228,15,5,3,1870.6,descriptive_ranking_supported,larger_minus_smaller,True
1hop,length_bin,"bp[100,500)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0255491292446867,0.0209651941761058,0.0304711193812034,15,5,3,15500.2,descriptive_ranking_supported,larger_minus_smaller,True
1hop,length_bin,"bp[1000,10000)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0440220056103141,0.0352140284307708,0.0508067283862892,15,5,3,3830.4,descriptive_ranking_supported,larger_minus_smaller,True
1hop,length_bin,"bp[10000,100000)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0260697256359167,0.0108730618872407,0.0443195826589686,15,5,3,568.8,descriptive_ranking_supported,larger_minus_smaller,True
1hop,length_bin,"bp[100000,1e+06)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,-0.0689446272166002,-0.1178010671641694,-0.0180234228555082,15,5,3,27.0,underpowered_mean_n_lt_100,larger_minus_smaller,True
1hop,length_bin,"bp[50,100)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0546991963973524,0.0511049484960348,0.0586670670077537,15,5,3,12369.2,descriptive_ranking_supported,larger_minus_smaller,True
1hop,length_bin,"bp[500,1000)",topology_given_coordinate_and_frozen_sequence_fm,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm_pair,coordinate_plus_frozen_sequence_fm_pair,auprc,0.0157639741805268,0.0125460426696405,0.0196526998045407,15,5,3,2483.2,descriptive_ranking_supported,larger_minus_smaller,True
