regime,dataset,closure,seeds,chromosomes,mean_slices_per_seed,mean_targets_per_seed,confidence_interval_unit,bootstrap_replicates,auroc_mean,auroc_sd_across_seeds,auroc_chromosome_bootstrap_ci_lower,auroc_chromosome_bootstrap_ci_upper,auprc_mean,auprc_sd_across_seeds,auprc_chromosome_bootstrap_ci_lower,auprc_chromosome_bootstrap_ci_upper,accuracy_mean,accuracy_sd_across_seeds,accuracy_chromosome_bootstrap_ci_lower,accuracy_chromosome_bootstrap_ci_upper,precision_mean,precision_sd_across_seeds,precision_chromosome_bootstrap_ci_lower,precision_chromosome_bootstrap_ci_upper,recall_mean,recall_sd_across_seeds,recall_chromosome_bootstrap_ci_lower,recall_chromosome_bootstrap_ci_upper,f1_mean,f1_sd_across_seeds,f1_chromosome_bootstrap_ci_lower,f1_chromosome_bootstrap_ci_upper,brier_mean,brier_sd_across_seeds,brier_chromosome_bootstrap_ci_lower,brier_chromosome_bootstrap_ci_upper,ece_10bin_mean,ece_10bin_sd_across_seeds,ece_10bin_chromosome_bootstrap_ci_lower,ece_10bin_chromosome_bootstrap_ci_upper
combined_hprc_r2_hgsvc3,hgsvc3,1hop,3,24,634.0,67953.0,chromosome,5000,0.9919085874209252,0.0006847567315186,0.9882717215231084,0.9927333460725104,0.9908571359539828,0.0006805367235996,0.9866454229582068,0.9917997764297232,0.9512956944860774,0.0005477248731376,0.942182741069739,0.9539460822938384,0.9724417685427464,0.0021322565680832,0.9624043022541984,0.9753386533221904,0.9275151526878292,0.0024587157906596,0.9134149452472738,0.932040242322478,0.9478802335212332,0.0004333025423041,0.9339671466148084,0.951408325837734,0.0604982254606513,0.0004238146732046,0.0587436103119306,0.0658675286315544,0.1467348078050719,0.0012786772767648,0.1431457973438994,0.1522583887439633
combined_hprc_r2_hgsvc3,hgsvc3,strict,3,24,633.0,72444.0,chromosome,5000,0.9827268659355524,0.0007805627482733,0.9746574007498312,0.9846646250391518,0.9785810777708932,0.000704842600356,0.971197930474383,0.9806076281187064,0.9376663867772572,0.0042927417791392,0.93004637820926,0.9418958583834224,0.9435137078707672,0.0024630174914014,0.9283702351087908,0.9473502090761484,0.9292737217522764,0.0104124375873863,0.9141049919389056,0.9381219429632044,0.93442845662955,0.0045591602371487,0.9174517123795372,0.9401640710576238,0.0804627552061099,0.0021165638921381,0.0782367876190114,0.0852411106709222,0.1735451991778978,0.0026490272226442,0.1709149096873385,0.1781425451653296
combined_hprc_r2_hgsvc3,hprc_r2,1hop,3,24,607.0,76517.0,chromosome,5000,0.9918572804945408,0.0003150515813123,0.9855347674496512,0.9926969098307488,0.9915867691907136,0.0004250606566296,0.9857651179037014,0.9923344342999988,0.9444395130133634,0.0013106111825441,0.9295862218514892,0.9473485579217232,0.9775983223136278,0.0011185757599856,0.9716604085109348,0.9787123870967877,0.911508943383665,0.0036588302013361,0.8880797817286273,0.9171546187967712,0.94238893553212,0.0015148879007032,0.924401848328023,0.9458284039763398,0.0625676467017349,0.0003466371779395,0.06097127994052,0.0718172129928238,0.1400713486730133,0.0007063411375725,0.1373369502199978,0.1525008756050902
combined_hprc_r2_hgsvc3,hprc_r2,strict,3,24,606.0,59377.0,chromosome,5000,0.9839491096409606,0.0005137300613978,0.9777867231088068,0.9857733704580304,0.9797350385322904,0.0005685300650364,0.9741941243429556,0.9822190149849818,0.9358641217967792,0.0038592494465419,0.9220799005605044,0.941219531848566,0.9512753995984166,0.0036817218681112,0.940126532890311,0.9535504951674398,0.9181319178179086,0.0123603765462696,0.9035893638531566,0.929399387547357,0.93249125174555,0.0050295473083094,0.9186460967140944,0.9390939620012618,0.0832678777533792,0.0021056088098786,0.0810027012804514,0.0900255177918206,0.1798726054632024,0.0033729409071742,0.1775544005568164,0.1844581330562081
hgsvc3,hgsvc3,1hop,3,24,634.0,67953.0,chromosome,5000,0.9881312260552424,0.0003903733337575,0.979260822184664,0.9902212032175948,0.9867789107097604,0.0005625887381049,0.9789966430587632,0.9887308976595476,0.9431376191642206,0.0019780883995754,0.9324660271192494,0.9467176362980968,0.9642869339820604,0.0017941245063694,0.945322328712176,0.9691388703639308,0.9159134612698144,0.0025210997703139,0.897081769918251,0.9218233367537852,0.9381846380647912,0.0020816430286821,0.9189356016564976,0.9437992370459652,0.0677649991609769,0.0021051911682773,0.0659622758596779,0.0736112639095886,0.1521007286379536,0.003584796731582,0.1495065783883712,0.1568009313363938
hgsvc3,hgsvc3,strict,3,24,633.0,72444.0,chromosome,5000,0.9795320917085264,0.0008728512245639,0.9697177579669076,0.9817130207812016,0.9745022368960876,0.0008517163852754,0.9662184177568744,0.976578229166753,0.9283660272526276,0.0030997333589141,0.9208315153932458,0.9337260982431488,0.9410412569825338,0.0016183501565543,0.9262265682450012,0.9444607141508476,0.9114758027957354,0.0060368696684111,0.8916028059397842,0.9235823368303514,0.923681417438738,0.0035271219789411,0.9053836595574516,0.93122366979669,0.0884008561924729,0.0018758383964816,0.0858102457735292,0.0925623468187788,0.1816480205174039,0.0020901800868555,0.1784697743198672,0.1841357185519225
hprc_r2,hprc_r2,1hop,3,24,607.0,76517.0,chromosome,5000,0.9884831749176252,4.53179262086549e-05,0.9802772119115992,0.9896390345284573,0.9880389567401654,0.0001393304149767,0.9803891504219164,0.9890658552361952,0.9363044595001416,0.0009496335754233,0.9172003175715367,0.9386416346257468,0.9699547557252082,0.0002846476973247,0.9605273189576822,0.9722086049821708,0.9024930699043706,0.0021496591157395,0.872233537426972,0.906598856607018,0.9337254363429072,0.0009822552478122,0.9111857141302736,0.9365821873924556,0.0692687628164844,0.0002500673843415,0.067838551899413,0.0807249600213347,0.1479921662389053,0.0009138296272821,0.1450878632877643,0.163171379153641
hprc_r2,hprc_r2,strict,3,24,606.0,59377.0,chromosome,5000,0.9584560723705003,0.0001100129399949,0.9480411490932108,0.960727203177074,0.9500508627982054,0.0005699582595643,0.9380387408597336,0.952878908684644,0.8341984156142929,0.0021032145360767,0.8200264225342273,0.8413550754236642,0.9302830261766956,0.0024510682236048,0.9209864527299244,0.933048007467842,0.7241423477783071,0.0063779362179877,0.7052292478760692,0.7415111540991522,0.8033110645529664,0.0033514873269766,0.7860276468344827,0.8138402495163355,0.1163944557552035,0.0014716223857106,0.1146112157449351,0.1231344106273487,0.1850668980615818,0.0028713802226759,0.1836067481805986,0.190858126120794
official_hgsvc3_hprc1_integrated,hgsvc3_hprc1_combined,1hop,3,24,634.0,73142.0,chromosome,5000,0.9905556920498824,0.0003830301106201,0.9880119898666936,0.9916680150417524,0.9893640890077684,0.0003298363691403,0.986323883752678,0.9907440039905748,0.946591652916687,0.0023758279282782,0.93963600915409,0.9493733761693433,0.9697600747844864,0.0011111631820339,0.9602158829909224,0.9731795392677732,0.9210868669850388,0.0047426951191996,0.9111181347074389,0.9248881323273096,0.9437509960925636,0.0030892656205393,0.9333834639164864,0.9472533606057488,0.0663686932512322,0.0011262993338047,0.0649084922982743,0.0706511238080287,0.1544910022756145,0.0009658215910243,0.1520634743736593,0.1604117006430018
official_hgsvc3_hprc1_integrated,hgsvc3_hprc1_combined,strict,3,24,633.0,81484.0,chromosome,5000,0.9811638190023692,0.0002902062372949,0.9719776703455968,0.983739920670209,0.9768255635460338,0.0004421355850321,0.9707738692818058,0.9791655362544992,0.9382619564492832,0.0034223999464176,0.9272229095180022,0.9430773032922158,0.9453527361451772,0.0023358889463541,0.934906923764825,0.9493225908219444,0.9318728511699014,0.0097990260231604,0.9204287883406468,0.9387827955850578,0.9369065440556408,0.0038555648051542,0.924263295965606,0.9423919507485368,0.0847507612400753,0.0025168054036319,0.082473026887351,0.0906690960334503,0.1809010020439443,0.0040384164919433,0.1784851850872616,0.1842246958491931
