context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,21414.8,0.13042829451773005,Delta_T_given_C_S,-0.0003977611512451629,0.002351493065778022,-0.0022982550043237895,0.0014426875534399297,15,5,0
1hop,high,auprc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm,0.17256025607333966,0.007880642399022841,0.1655122380335393,0.17821308905960961,15,5,0
1hop,high,auprc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.17216249492209457,0.009689441246301108,0.16328070872137207,0.17919332426583223,15,5,0
1hop,high,auroc,21414.8,0.13042829451773005,Delta_T_given_C_S,-0.0005005719333435928,0.0032651101436589622,-0.0030575668282609367,0.0021795986124069746,15,5,0
1hop,high,auroc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm,0.5782645384323626,0.011050403265050104,0.5677055359686173,0.5861383840350898,15,5,0
1hop,high,auroc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.577763966499019,0.008531476024031403,0.56981485231926,0.5836413139341728,15,5,0
1hop,high,normalized_ap,21414.8,0.13042829451773005,Delta_T_given_C_S,-0.0004296264005585138,0.0026883660305609684,-0.00258907249909037,0.0016886065819589151,15,5,0
1hop,high,normalized_ap,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm,0.04839478811521398,0.005527369319393063,0.04336446470148479,0.05270530504496658,15,5,0
1hop,high,normalized_ap,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.047965161714655466,0.003910082926178817,0.044783712480787094,0.05114093322995127,15,5,0
1hop,low,auprc,12477.6,0.09069141070245089,Delta_T_given_C_S,-0.0011363694925036378,0.0010712340469303276,-0.0018356060032775543,-0.0004572423073433432,15,5,0
1hop,low,auprc,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm,0.11775491952753261,0.008365779633475514,0.11017183880731433,0.12421690446130436,15,5,0
1hop,low,auprc,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.116618550035029,0.00841285060944323,0.10895387003785745,0.12307444559679921,15,5,0
1hop,low,auroc,12477.6,0.09069141070245089,Delta_T_given_C_S,-0.001552958362808332,0.0028103145104137546,-0.0040142172145696394,0.00047481565756546254,15,5,0
1hop,low,auroc,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm,0.5654245279288902,0.006961676394257778,0.5589485329602071,0.5706112107674487,15,5,0
1hop,low,auroc,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5638715695660819,0.007409497893333601,0.5575514225366194,0.5698114969597161,15,5,0
1hop,low,normalized_ap,12477.6,0.09069141070245089,Delta_T_given_C_S,-0.001249085581311641,0.001174654961181139,-0.0020135339129576267,-0.0005038986928118897,15,5,0
1hop,low,normalized_ap,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm,0.029766377917579002,0.002973286445562215,0.02688523444809066,0.031554905927316065,15,5,0
1hop,low,normalized_ap,12477.6,0.09069141070245089,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.02851729233626736,0.002877567830499854,0.025849589875781114,0.03046614431618761,15,5,0
1hop,medium,auprc,16252.0,0.10194877007261234,Delta_T_given_C_S,-0.0014116153670964045,0.001197428745870086,-0.0023476336581115384,-0.000619568395345028,15,5,0
1hop,medium,auprc,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm,0.12984030720119408,0.00586117486617162,0.12491323531102559,0.13457343897485488,15,5,0
1hop,medium,auprc,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.1284286918340977,0.006290612256902792,0.12326637553653981,0.13351050092066624,15,5,0
1hop,medium,auroc,16252.0,0.10194877007261234,Delta_T_given_C_S,-0.0014704557327988922,0.0017520006523118578,-0.0025518487672090634,-0.00028699533413395234,15,5,0
1hop,medium,auroc,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm,0.5667184861749985,0.006317219985946939,0.5608092405303899,0.5718645801437464,15,5,0
1hop,medium,auroc,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5652480304421996,0.005746839838088581,0.5603341579015971,0.5699331866679238,15,5,0
1hop,medium,normalized_ap,16252.0,0.10194877007261234,Delta_T_given_C_S,-0.0015691952222127638,0.0013277516270692544,-0.002603664857894463,-0.0006908989297345567,15,5,0
1hop,medium,normalized_ap,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm,0.031063322292661698,0.00451180017418568,0.02700325400582925,0.034816758627385085,15,5,0
1hop,medium,normalized_ap,16252.0,0.10194877007261234,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.029494127070448944,0.004603050184948583,0.025579557150666503,0.03319735427867595,15,5,0
strict,high,auprc,21414.8,0.13042829451773005,Delta_T_given_C_S,0.0004998619188446,0.0014837312894905085,-0.0006590805978630549,0.0015690823723757707,15,5,0
strict,high,auprc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm,0.17256025607333966,0.007880642399022841,0.1655122380335393,0.17821308905960961,15,5,0
strict,high,auprc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.17306011799218432,0.008018706270662833,0.16569145495560478,0.17878589925136118,15,5,0
strict,high,auroc,21414.8,0.13042829451773005,Delta_T_given_C_S,0.0008061940812235102,0.0023524650698168413,-0.0011038099402845966,0.002585839351113731,15,5,0
strict,high,auroc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm,0.5782645384323626,0.011050403265050104,0.5677055359686173,0.5861383840350898,15,5,0
strict,high,auroc,21414.8,0.13042829451773005,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5790707325135861,0.009564143863027008,0.5702290711717145,0.5855912825347355,15,5,0
