closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.17790393414735584,0.5619133875713814,0.04225646971151369
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.12396681858653286,0.5624435628038731,0.02956080127449492
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.13314843345331734,0.5632086797314271,0.033446050245848895
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.17914352194060568,0.5623766549973845,0.04370059192365236
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.12453802484696652,0.562032505178767,0.030193563774184546
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.1363814612868578,0.5698146707408909,0.037050930184662906
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.1779215212880358,0.5612237064850673,0.04227695876492502
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.12362083819832587,0.5624843015125393,0.02917753619067173
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.13582585265956323,0.5676608569963494,0.036431417301542195
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.17676473434171946,0.5617781331525852,0.04092929970198137
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.1241689752824929,0.5613915694134031,0.029784743456374302
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.13638540264747268,0.5685529163121883,0.03705532486746298
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.180316649070307,0.5640528424521456,0.04506728733231125
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.12409656888351617,0.5621835521038268,0.02970453415689068
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.13500018188275761,0.568019276005553,0.03551078061895846
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,26710,0.14163234743541744,0.17592074468910662,0.5585690257742162,0.03994605010014559
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,26710,0.14163234743541744,0.1772948391359199,0.5609979500152658,0.04154687282768877
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,16334,0.09728174360230195,0.12517971412148468,0.5642496171009532,0.030904404914230636
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16334,0.09728174360230195,0.12251033576970033,0.5595775124889003,0.02794736008560767
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,20397,0.10315242437613374,0.13669046604791657,0.5669624660599673,0.03739547564529352
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,20397,0.10315242437613374,0.13474656898346385,0.568355844316189,0.0352279980077468
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17746506324706524,0.5868458581290444,0.05357708511884542
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14737,0.09031688946189863,0.11202738498917283,0.5525367774927921,0.023865998253426824
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,18937,0.10350108253683266,0.13317305761252726,0.5686990982998607,0.033097613948779456
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18937,0.10350108253683266,0.1327957044474557,0.5667014977045775,0.03267669524188423
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17658901637985314,0.5846176611381628,0.052569090451880386
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14737,0.09031688946189863,0.11256972989712866,0.5553286803300674,0.024462189280470305
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,18937,0.10350108253683266,0.13317305761252726,0.5686990982998607,0.033097613948779456
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18937,0.10350108253683266,0.13201118872420295,0.5661998886849315,0.03180160693115575
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17690645748139733,0.5860327093838407,0.052934343669953456
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14737,0.09031688946189863,0.11221130021352398,0.5512652699437203,0.02406817329902303
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,18937,0.10350108253683266,0.13317305761252726,0.5686990982998607,0.033097613948779456
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18937,0.10350108253683266,0.1325205903650222,0.5679225374546355,0.032369819151936464
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17471306286147775,0.5829325268132749,0.0504105859097497
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14737,0.09031688946189863,0.11104363397110782,0.5530038413112848,0.022784576594973585
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,18937,0.10350108253683266,0.13317305761252726,0.5686990982998607,0.033097613948779456
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18937,0.10350108253683266,0.13644734968908426,0.5725807605247436,0.03674992407740994
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17589622278146247,0.5832692893731883,0.051771950163361745
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14737,0.09031688946189863,0.11091581691338986,0.5536298435734115,0.02264406936092991
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm,18937,0.10350108253683266,0.13317305761252726,0.5686990982998607,0.033097613948779456
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18937,0.10350108253683266,0.13310341395413947,0.5648834918310848,0.03301992990808382
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm,28892,0.13090128755364808,0.1768944803729527,0.5861454286491105,0.05292056260196531
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,28892,0.13090128755364808,0.17501203564726553,0.5834950648663596,0.05075458916450798
strict,fold_b,42,low,coordinate_plus_frozen_sequence_fm,14737,0.09031688946189863,0.11225138116982371,0.5533695790698021,0.024112233649089355
