feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",1.620880476152888,0.4821488045956092,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.4821488045956092,0.5437471465316668,0.1429392669687393,0.3339480777415236,0.1226646414234566,0.7561530230069556,0.2110864248240324,0.6894467042227299,0.2481382963843322,0.3801656862717235,p0,primary,fold_a,20260806,1hop,1hop,0.5168507453996629,62566,0.1178417742469381,0.0284501033818242
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,4.25613801257068,0.5002416601900348,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.5002416601900348,0.5668565700482469,0.1464115307479181,0.5636733342790939,0.1405955387954036,0.5286249331193151,0.2221160601376984,0.6914701105358618,0.2491421633907109,0.3817744614366815,p0,primary,fold_a,20260806,1hop,1hop,0.5484900775665369,62566,0.1178417742469381,0.0323862042737188
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,2.6061948668143944,0.5034474531434002,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.5034474531434002,0.5777158672844379,0.1565891931160535,0.5723428067022903,0.1446906974221772,0.5353130016051364,0.2278070300270385,0.6867587493902655,0.2468084872589981,0.3789356332092974,p0,primary,fold_a,20260806,1hop,1hop,0.5563011894472568,62566,0.1178417742469381,0.0439234342977852
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.2594544549941578,0.4771488701655219,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.4771488701655219,0.5479854400038011,0.1394773367109654,0.4109802808909065,0.1271888251434272,0.6820492241840557,0.2143968380776184,0.6858082389428456,0.2462609783493306,0.3769201253491366,p0,primary,fold_a,20260806,1hop,1hop,0.5284095848428543,62566,0.1178417742469381,0.0245257163991844
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,2.529724444433276,0.5024397315723962,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.5024397315723962,0.5785951406512813,0.1572525857993234,0.5676612915937643,0.1435105774728416,0.5371856607811664,0.2265087422447828,0.6862469970135501,0.2465531263536506,0.3785991971698616,p0,primary,fold_a,20260806,1hop,1hop,0.5544589967445543,62566,0.1178417742469381,0.0446754452907152
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.0319897699825125,0.4926435416041015,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.4926435416041015,0.5525804675082364,0.1429244766404507,0.5706246748947841,0.1346765249537893,0.4872926698769395,0.2110293691710595,0.6829017931084147,0.2447118181105209,0.3740872353151083,p0,primary,fold_a,20260806,1hop,1hop,0.5345245624020631,62566,0.1178417742469381,0.0284333373098692
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.86549227883998,0.4976979743401757,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.4976979743401757,0.5791598077067677,0.1573219004225924,0.555256064690027,0.1437454907754148,0.559657570893526,0.2287401251947625,0.6827339247738866,0.2447927887674998,0.3753361024010614,p0,primary,fold_a,20260806,1hop,1hop,0.5571628335125184,62566,0.1178417742469381,0.0447540192032463
coordinate,"reference coordinate, node length, and constant orientation",1.620880476152888,0.4821488045956092,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.4821488045956092,0.5437471465316668,0.1429392669687393,0.3339480777415236,0.1226646414234566,0.7561530230069556,0.2110864248240324,0.6894467042227299,0.2481382963843322,0.3801656862717235,p0,primary,fold_a,20260806,strict,strict,0.5168507453996629,62566,0.1178417742469381,0.0284501033818242
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,4.25613801257068,0.5002416601900348,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.5002416601900348,0.5668565700482469,0.1464115307479181,0.5636733342790939,0.1405955387954036,0.5286249331193151,0.2221160601376984,0.6914701105358618,0.2491421633907109,0.3817744614366815,p0,primary,fold_a,20260806,strict,strict,0.5484900775665369,62566,0.1178417742469381,0.0323862042737188
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,2.6061948668143944,0.5034474531434002,124715,62566,63441,all_test_chromosomes,all,63441,0.1178417742469381,0.5034474531434002,0.5777158672844379,0.1565891931160535,0.5723428067022903,0.1446906974221772,0.5353130016051364,0.2278070300270385,0.6867587493902655,0.2468084872589981,0.3789356332092974,p0,primary,fold_a,20260806,strict,strict,0.5563011894472568,62566,0.1178417742469381,0.0439234342977852
