context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.13280461493751966,0.01306827065595196,0.1211605506179029,0.14342285851092845,15,5,0
1hop,coordinate,auroc,0.542209527292636,0.008663753098393496,0.5340562582385587,0.5496364064065953,15,5,0
1hop,coordinate,balanced_accuracy,0.5172209769655196,0.004280014857745337,0.5135772004663948,0.5208647534646446,15,5,0
1hop,coordinate,f1,0.20234930817691693,0.014731464306816542,0.1896789570681342,0.21356112332540353,15,5,0
1hop,coordinate,precision,0.11589439209185717,0.00906337588426147,0.10739189833670688,0.12282689184373036,15,5,0
1hop,coordinate,recall,0.8039391627423633,0.07775918547716944,0.74501582449613,0.8731657915912732,15,5,0
1hop,coordinate,normalized_ap,0.02413727351749384,0.005274828034870375,0.019684990089877983,0.028479076096360616,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.13567798820431493,0.014631336467802554,0.12274291465190797,0.1470531908055143,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5530984072375565,0.009676517107878991,0.5459024653123489,0.5614898867786281,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.533353042424788,0.0057970999557763365,0.5290843695014668,0.5369561453730985,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.20518955702410235,0.016948543845674867,0.19040540107819676,0.21823139093164562,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.12408143613247434,0.008486373445238862,0.11698790965092742,0.13104985326781496,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.6146243955431706,0.1433037033433575,0.4987610001472657,0.7266330677744864,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.027388949781996796,0.0067295044777789465,0.02188257593880153,0.032838917928820884,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.1514164320270426,0.010471764804250794,0.14156752028643446,0.1595974619076443,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.5846737942129537,0.005305301488351393,0.5803132347954356,0.5890392006710744,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.558075155061614,0.004590282829384219,0.5544447861681884,0.5621368624551509,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.21988588737218634,0.015520414737072672,0.20607333099124472,0.23214846339784462,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.13609006498814538,0.008964486776084357,0.1285839341949424,0.1435961957813484,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.5876809675111131,0.10493366324833364,0.49586925075587635,0.6692961901928195,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.04505643859163526,0.0031105607541234174,0.0425580226451532,0.047554854538117315,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.1507622105490263,0.01180262653351857,0.1400801485378747,0.15991708090778478,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5839523113316615,0.005063586468373813,0.5797660738373739,0.5881620831853922,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5577749873134384,0.005710753380303646,0.553341501250797,0.5626268318981087,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.2190520881245309,0.017557438088653295,0.20382326681757124,0.2324069911417201,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.1390354651697524,0.007516048443446187,0.13317349071890877,0.14502364737935514,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.5372087056735421,0.1247516236004957,0.43495655668150907,0.6304867263878428,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.04433465830875234,0.004126734218843266,0.040946622754367015,0.04775044706873082,15,5,0
1hop,frozen_pangenomefm,auprc,0.1335286977821196,0.014137650876392108,0.12116062938806067,0.14445716495164937,15,5,0
1hop,frozen_pangenomefm,auroc,0.5479116295924986,0.009874856249666206,0.5402810596657552,0.55644107431879,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5233935772790942,0.009599894892423274,0.5155696351787479,0.5307259032706956,15,5,0
1hop,frozen_pangenomefm,f1,0.20266191617934465,0.016372240955638148,0.18782504677339462,0.21487121216575714,15,5,0
1hop,frozen_pangenomefm,precision,0.11939770467761372,0.008422052675289761,0.11231180856429893,0.126004098373338,15,5,0
1hop,frozen_pangenomefm,recall,0.696917062458407,0.16193468694622326,0.5652468249380508,0.827432792841197,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.024963428220653193,0.006405109236003974,0.01985684472422106,0.03028456761807608,15,5,0
1hop,frozen_sequence_fm,auprc,0.15080623561487264,0.010371940134795223,0.14099944519064775,0.15887871333020565,15,5,0
1hop,frozen_sequence_fm,auroc,0.5842221350249912,0.005203131992519578,0.5799260344038255,0.588518235646157,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5578874515733772,0.0049303012927763065,0.5541121868911945,0.5623713843376907,15,5,0
1hop,frozen_sequence_fm,f1,0.21970199665707818,0.01672567850053696,0.20506196945995792,0.23276733130143884,15,5,0
1hop,frozen_sequence_fm,precision,0.13614010004011862,0.009365698512500329,0.12819365876387684,0.14408654131636045,15,5,0
1hop,frozen_sequence_fm,recall,0.5878657121767998,0.11520295906371247,0.4803028223558445,0.6765067197032634,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.044368520843832575,0.003062007764389189,0.041878445705539856,0.046820269743459535,15,5,0
1hop,sequence_kmer,auprc,0.14536306617549025,0.008546366178722982,0.13759053568888255,0.1517156734614562,15,5,0
1hop,sequence_kmer,auroc,0.5767732840155485,0.005738178017716301,0.5714188959194908,0.5809252269034882,15,5,0
