context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,10761.4,0.07050467781656283,Delta_T_given_C_S,0.0007954000409259153,0.0016396989080296395,-0.00030969936382092443,0.0017680538312686816,15,5,0
1hop,high,auprc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.08906650258872711,0.005856387478955917,0.08420503926582162,0.09465128375342882,15,5,0
1hop,high,auprc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.08986190262965302,0.005816731768747544,0.08570057208613913,0.09522115209263665,15,5,0
1hop,high,auroc,10761.4,0.07050467781656283,Delta_T_given_C_S,0.002359373638066871,0.00385665312508387,-0.0003234595915020914,0.004972489147291918,15,5,0
1hop,high,auroc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.5411641254288686,0.006207669094520494,0.535085833662918,0.5452832398382026,15,5,0
1hop,high,auroc,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5435234990669353,0.006491717614792976,0.5383053816767938,0.5483866568513946,15,5,0
1hop,high,normalized_ap,10761.4,0.07050467781656283,Delta_T_given_C_S,0.0008568486065171516,0.0017648047039182729,-0.0003321935985147327,0.0019032256790579155,15,5,0
1hop,high,normalized_ap,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm,0.019972444631360827,0.0047518569395988575,0.015786760094680274,0.023602846265562433,15,5,0
1hop,high,normalized_ap,10761.4,0.07050467781656283,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.02082929323787798,0.00444380471896268,0.017133847394979026,0.024297155566727013,15,5,0
1hop,low,auprc,5533.4,0.05980380573375331,Delta_T_given_C_S,-0.0005199996176330398,0.0016720357371952117,-0.0018361524881882188,0.0008687812308616116,15,5,0
1hop,low,auprc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.07038778366198033,0.010577818364204196,0.06157504035838189,0.07920052696557876,15,5,0
1hop,low,auprc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.06986778404434729,0.009450318124167816,0.062073742913693525,0.07770015814730663,15,5,0
1hop,low,auroc,5533.4,0.05980380573375331,Delta_T_given_C_S,-0.0018676633258140434,0.004317911011394587,-0.00496333584394889,0.0014663280048269054,15,5,0
1hop,low,auroc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.5272478242181673,0.008441616237350855,0.5205053165050259,0.5347883295373069,15,5,0
1hop,low,auroc,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5253801608923532,0.008049603372029698,0.5189787278921386,0.5320271987386326,15,5,0
1hop,low,normalized_ap,5533.4,0.05980380573375331,Delta_T_given_C_S,-0.0005614279658955056,0.0017759483871563108,-0.001961471012933748,0.0009139607876264811,15,5,0
1hop,low,normalized_ap,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm,0.011279394370957967,0.004643888236469348,0.007052390055997658,0.015006325487096574,15,5,0
1hop,low,normalized_ap,5533.4,0.05980380573375331,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.010717966405062462,0.0037073187846885835,0.007662705789207324,0.01418194052224089,15,5,0
1hop,medium,auprc,7590.4,0.061853898373360854,Delta_T_given_C_S,0.0015586501347013679,0.0012558257833508266,0.0006402345548786675,0.0024358141658749697,15,5,0
1hop,medium,auprc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.06933063790924615,0.00465613669012437,0.06537926805732124,0.07290650796529281,15,5,0
1hop,medium,auprc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.07088928804394752,0.004599878664782917,0.06708323857317985,0.07472799600371313,15,5,0
1hop,medium,auroc,7590.4,0.061853898373360854,Delta_T_given_C_S,0.000161090786101629,0.00371740749922569,-0.002218615704990088,0.0020700972125635322,15,5,0
1hop,medium,auroc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm,0.517474197942893,0.01261885641131127,0.505654496339203,0.5258337405986054,15,5,0
1hop,medium,auroc,7590.4,0.061853898373360854,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5176352887289947,0.011706841087512172,0.5067109203330994,0.525577864112213,15,5,0
