closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.0835022329405577,0.5325686889708252,0.014612629183282372
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.07004018196815134,0.5173962408799853,0.010470278553127212
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.07178866576656714,0.5188319350870088,0.01273744768412211
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.0821295769931,0.5312466424832303,0.013136795980282825
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.06812503972108644,0.516380201299405,0.008432459136068946
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.07198146952722992,0.5182557241427975,0.012942517290393649
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.0828712031554338,0.5328830146448282,0.013934167322032742
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.07061618774198206,0.5211915902588297,0.011083181198896125
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.06963783800440754,0.5182492046179712,0.010449787937093502
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.08016667709770205,0.5308007332040321,0.011026352467355914
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.06800596948100149,0.5120674513127484,0.008305761681814166
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.07228427150129077,0.5156222196144123,0.013264583008331134
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.08380091321654262,0.5365570695562581,0.014933760104104908
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.0695225188767015,0.5222189515157298,0.009919455813527777
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.07058051096044099,0.5152880939670619,0.01145243213486268
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,14075,0.06991119005328597,0.0812487771779785,0.5296264174543052,0.012189789838824181
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14075,0.06991119005328597,0.08225595375238995,0.5349470529309219,0.013272671993345694
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,7392,0.06020021645021645,0.07228443145984773,0.5252745102161955,0.012858286649085131
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,7392,0.06020021645021645,0.06826896444232688,0.5162543689540228,0.008585603160742817
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,9630,0.059813084112149535,0.0704514981917784,0.5176288910058169,0.011315211794436269
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9630,0.059813084112149535,0.07024216663863796,0.5109092742925165,0.011092562925787884
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,14700,0.06761904761904762,0.08901701928280764,0.5470723068896378,0.022949816391162434
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14700,0.06761904761904762,0.09004693482657003,0.5471671411806605,0.02405442448202097
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,6540,0.05733944954128441,0.06139564051164238,0.5200484455258177,0.0043029179150269525
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6540,0.05733944954128441,0.06363122126232701,0.5221765882670992,0.006674482896288503
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,8936,0.06311548791405551,0.07124576048419347,0.5294010260476496,0.008677988018006785
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8936,0.06311548791405551,0.0733514426126885,0.5234188895440052,0.010925524508717678
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,14700,0.06761904761904762,0.08901701928280764,0.5470723068896378,0.022949816391162434
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14700,0.06761904761904762,0.08952532430858742,0.5474603053899054,0.023494985213500297
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,6540,0.05733944954128441,0.06139564051164238,0.5200484455258177,0.0043029179150269525
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6540,0.05733944954128441,0.062319728985617585,0.5259164098404975,0.005283216150192861
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,8936,0.06311548791405551,0.07124576048419347,0.5294010260476496,0.008677988018006785
