context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.0768212522034846,0.003766275636118533,0.07396329272313514,0.08006997695837252,15,5,0
1hop,coordinate,auroc,0.5299710145922641,0.00825830893402833,0.5246459229763979,0.5378353064695088,15,5,0
1hop,coordinate,balanced_accuracy,0.5150189917345328,0.003474480868912746,0.5122558285808002,0.5180910296218296,15,5,0
1hop,coordinate,f1,0.1223539172651734,0.006184664105727567,0.11740182525313073,0.12804299188573653,15,5,0
1hop,coordinate,precision,0.06820084745754104,0.004911369943093436,0.06426043374384995,0.07216326324750355,15,5,0
1hop,coordinate,recall,0.6315430223875832,0.13679589456622365,0.518858099948671,0.7453287951292938,15,5,0
1hop,coordinate,normalized_ap,0.0126190097871765,0.0010520479598463536,0.011896519837327158,0.013640601688399975,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.0771753752521471,0.006167749057386539,0.07219249798363618,0.08227152806691584,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5310890464254228,0.010058727679944795,0.523461234575824,0.5394995989190855,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5155486670258346,0.009941239540926034,0.5095978110217487,0.521853860571031,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.12243677421447469,0.007416635783570053,0.11699930228358688,0.12900751413708958,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.07003420331924755,0.005634814545942723,0.06575345629571104,0.07399669260893016,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.6211449496502346,0.26658723272586954,0.42108053193244743,0.8204980913607521,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.01300636546907186,0.0031974262597544447,0.010630506422489342,0.015270344320470244,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.07809370987043117,0.005997413926223306,0.07362297093905101,0.08373997672728839,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.5340032122677815,0.003332666993464957,0.5312434357327344,0.5367629888028287,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5226383173064684,0.005373494358705063,0.517749816579863,0.5269021212319976,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.12463435371337761,0.006984019699238247,0.11860839986746491,0.1301102167862328,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.07127950191821104,0.0029066788916769946,0.06879199756237885,0.07364807118697317,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.5060361479456096,0.0981370281927654,0.4313900809775565,0.5963682092913223,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.013989618650722357,0.0024007140045244697,0.01231856988760454,0.016266336498762555,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.07881890533276477,0.006003621383920653,0.07421175179646079,0.08435632847124801,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.534729445432405,0.0034943028666494106,0.5320761942752399,0.5373562850650121,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5216244104923405,0.006102664182338729,0.517012187067803,0.5263858667260691,15,5,0
