context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,4875.8,0.51943308641841,Delta_T_given_C_S,0.0017345650174948267,0.0035144312780956174,-0.0010579394705209065,0.004303001315695904,15,5,0
1hop,high,auprc,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm,0.5609214828789866,0.017428155021786945,0.546396158991014,0.5752517256610434,15,5,0
1hop,high,auprc,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5626560478964815,0.015678379317196175,0.5501107347873977,0.576144621775658,15,5,0
1hop,high,auroc,4875.8,0.51943308641841,Delta_T_given_C_S,0.00197710333652729,0.0034994289450314448,-0.0005154895338764994,0.004523601948121692,15,5,0
1hop,high,auroc,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm,0.5351507294103269,0.01399463092460689,0.5243101669830915,0.5461524244162602,15,5,0
1hop,high,auroc,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5371278327468543,0.011988960174559426,0.5270445528627917,0.5465482215360661,15,5,0
1hop,high,normalized_ap,4875.8,0.51943308641841,Delta_T_given_C_S,0.0035580107178224047,0.0073125190216277195,-0.0022328655297825396,0.008864021014964255,15,5,0
1hop,high,normalized_ap,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm,0.08656717487879344,0.024736412752100683,0.06518482508198194,0.10462046194546408,15,5,0
1hop,high,normalized_ap,4875.8,0.51943308641841,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.09012518559661582,0.02162944068291126,0.07091295463790147,0.10773032304221937,15,5,0
1hop,low,auprc,2159.8,0.4786102143259117,Delta_T_given_C_S,-0.0004102832763851446,0.0031704694408395224,-0.0026924329296807215,0.0016352570258265457,15,5,0
1hop,low,auprc,2159.8,0.4786102143259117,coordinate_plus_frozen_sequence_fm,0.5013719998872711,0.010045615158228157,0.4934022616274663,0.5099595360210151,15,5,0
