closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.5411235031296326,0.5193808729316085,0.052566233807195384
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.5190202169444843,0.5301243163404726,0.0544625932579028
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.5144636356391876,0.5356110482428136,0.06419625658303474
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.5424076208966351,0.5209082745287812,0.055217527871118444
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.5179510193921731,0.528141575381874,0.052360703913438174
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.5151118164370792,0.5353968605187793,0.06544553482788136
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.5413802037071174,0.5180943713751237,0.05309623871389456
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.5184985167637796,0.5271861370608744,0.053437005378040685
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.5139782774371755,0.534135504713015,0.0632607962227402
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.5395732829038311,0.5175589309488899,0.049365522947135095
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.5133069536183579,0.5274358767201126,0.043231135346922814
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.514186596003126,0.5353404687094999,0.06366230125541959
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.5456887226813818,0.5234038024937463,0.061991957684774175
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.5149170171055937,0.5285339277687736,0.046396289700687744
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.5162605602301213,0.533353858603228,0.067659578554907
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,6448,0.5156637717121588,0.5371752248630719,0.5142823437074916,0.04441429712362712
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6448,0.5156637717121588,0.538123531833971,0.5157164765901305,0.04637224888422826
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,2994,0.49131596526386107,0.5168915756912694,0.5293887114103126,0.05027798924468852
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2994,0.49131596526386107,0.514543522629864,0.5280741746874238,0.04566205302285808
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,3980,0.48115577889447236,0.5116286218001703,0.530619361609316,0.058732162113645466
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3980,0.48115577889447236,0.5117821689980335,0.5307965026963124,0.05902810295989028
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5625102492471601,0.5400798897231716,0.09718024162823034
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.5042967124588027,0.5163362323946595,0.04996304935789734
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5052442662296909,0.5198439914418163,0.03417364737391785
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5589982448164805,0.5341370348504713,0.08993274157582798
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.510887485634952,0.5220649235797595,0.06259455334025145
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5052487986445815,0.5185715559253536,0.034182495226390504
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5633812711253567,0.5407474544216518,0.0989777140495998
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.5042502958543155,0.516525482737155,0.04987408991281288
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5053505885770155,0.520553904671342,0.034381202168961206
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5608259561101369,0.5361139983018699,0.09370447306364604
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.5060465292921819,0.5194416043668029,0.05331664956662623
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5146259593718385,0.5267838464281469,0.05248791005034439
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5613092341268443,0.5399178374802631,0.0947017831526696
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.5050428313097733,0.5171188242197589,0.05139301864760844
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5060882289640536,0.520707387376679,0.03582117037131741
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm,6583,0.5154185022026432,0.5625614365955844,0.5393519018964916,0.09728587370179696
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,6583,0.5154185022026432,0.5597943772141201,0.5355665869340066,0.09157566934186594
strict,fold_b,42,low,coordinate_plus_frozen_sequence_fm,2595,0.47822736030828517,0.5035979689472244,0.5159392827769095,0.04862387697049288
strict,fold_b,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2595,0.47822736030828517,0.5047151987576061,0.5175422569829211,0.05076509658492447
strict,fold_b,42,medium,coordinate_plus_frozen_sequence_fm,3670,0.4877384196185286,0.503412054908642,0.5205509330797575,0.030596936975912963
strict,fold_b,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,3670,0.4877384196185286,0.5100361007808328,0.5231103649114466,0.04352792014130668
1hop,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm,2816,0.52734375,0.5724329632843945,0.5275219006999623,0.0953953603372314
1hop,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2816,0.52734375,0.5666093457787476,0.5286357185681002,0.083074318341813
1hop,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm,2006,0.47208374875373876,0.4872475017665942,0.505904536267304,0.028723785216041565
1hop,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2006,0.47208374875373876,0.48804256325169715,0.5047199396134905,0.03022982236346036
1hop,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm,2382,0.491183879093199,0.4992808678779652,0.5148945022707399,0.015913388849268274
1hop,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2382,0.491183879093199,0.5073309133021812,0.5200629037262701,0.03173451772755407
strict,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm,2816,0.52734375,0.5724329632843945,0.5275219006999623,0.0953953603372314
strict,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2816,0.52734375,0.5728331381562308,0.5348774496783513,0.09624201130574456
strict,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm,2006,0.47208374875373876,0.4872475017665942,0.505904536267304,0.028723785216041565
strict,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,2006,0.47208374875373876,0.48222974876465363,0.49906468715380714,0.019218957527757534
