feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",1.0651056135446937,0.4335037695631839,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.4335037695631839,0.5253704794275866,0.5352308974062783,0.5003725227238861,0.5001864975755315,0.9991059454626732,0.6666335255517996,0.6913146912684773,0.2490963155081719,0.0102531616076056,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5003725227238861,12848,0.5,0.0704617948125565
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,2.483431396642774,0.1530702152676671,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.1530702152676671,0.5148445892481515,0.5138901038922467,0.4999254954552227,0.499962744951941,0.9998509909104456,0.6666004371150407,0.6930472503961117,0.2499313664802334,0.003216695702989,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.4999254954552227,12848,0.5,0.0277802077844933
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,3.69522365585383,0.2008902530387739,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.2008902530387739,0.5206591743804015,0.522904925517444,0.5,0.5,1.0,0.6666666666666666,0.6922224539687316,0.24954197417943,0.0027551850318315,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5,12848,0.5,0.0458098510348881
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.5037807496518023,0.32665983301812,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.32665983301812,0.5264643562419876,0.5309293010533966,0.5000745045447772,0.5000372661548781,0.9997019818208912,0.666633545310016,0.691610774325905,0.249229596628367,0.0028885856658574,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5000745045447772,12848,0.5,0.0618586021067932
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,3.4098964093259214,0.1681412342329185,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.1681412342329185,0.5250760138418809,0.5262760365893293,0.5,0.5,1.0,0.6666666666666666,0.6918865785343562,0.2493739158248604,0.0034967811886196,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5,12848,0.5,0.0525520731786586
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.562056826115477,0.326556947880355,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.326556947880355,0.5284278302085055,0.5328689322689595,0.5000745045447772,0.5000372661548781,0.9997019818208912,0.666633545310016,0.6913821262101758,0.2491181476790347,0.0026061364072776,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5000745045447772,12848,0.5,0.0657378645379189
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",3.648522475520703,0.198035446378487,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.198035446378487,0.5290818071447583,0.5296319265805709,0.5,0.5,1.0,0.6666666666666666,0.691611700504347,0.2492350594236155,0.0028475756721874,p0,exposure_matched,fold_a,20260806,1hop,1hop,0.5,12848,0.5,0.0592638531611418
coordinate,"reference coordinate, node length, and constant orientation",1.0651056135446937,0.4335037695631839,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.4335037695631839,0.5253704794275866,0.5352308974062783,0.5003725227238861,0.5001864975755315,0.9991059454626732,0.6666335255517996,0.6913146912684773,0.2490963155081719,0.0102531616076056,p0,exposure_matched,fold_a,20260806,strict,strict,0.5003725227238861,12848,0.5,0.0704617948125565
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,2.483431396642774,0.1530702152676671,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.1530702152676671,0.5148445892481515,0.5138901038922467,0.4999254954552227,0.499962744951941,0.9998509909104456,0.6666004371150407,0.6930472503961117,0.2499313664802334,0.003216695702989,p0,exposure_matched,fold_a,20260806,strict,strict,0.4999254954552227,12848,0.5,0.0277802077844933
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,3.69522365585383,0.2008902530387739,24384,12848,13422,all_test_chromosomes,all,13422,0.5,0.2008902530387739,0.5206591743804015,0.522904925517444,0.5,0.5,1.0,0.6666666666666666,0.6922224539687316,0.24954197417943,0.0027551850318315,p0,exposure_matched,fold_a,20260806,strict,strict,0.5,12848,0.5,0.0458098510348881
