context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.5370147600930856,0.002941933643591204,0.5344924089989272,0.5393984592053644,15,5,0
1hop,coordinate,auroc,0.5323255499842638,0.006169032257692592,0.5271765337049394,0.5374745662635884,15,5,0
1hop,coordinate,balanced_accuracy,0.5000124567391986,0.00024090047110896602,0.49981578571698215,0.5002112755901771,15,5,0
1hop,coordinate,f1,0.6665804342027024,0.0001307724947293129,0.6664685958001049,0.6666877153162066,15,5,0
1hop,coordinate,precision,0.500006261490396,0.00012054565244799309,0.49990786595182596,0.5001057371276748,15,5,0
1hop,coordinate,recall,0.9995871625384288,0.0003776373451296884,0.9992653583039854,0.9999089667728721,15,5,0
1hop,coordinate,normalized_ap,0.07402952018617086,0.005883867287182403,0.06898481799785418,0.07879691841072882,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.5376555011339631,0.0040888929333540375,0.5346467464921766,0.5407568005328219,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5322716987559117,0.0044287782885721995,0.5297947771146668,0.5361946566709427,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5000256508551,0.0001334286188347421,0.49993608320381044,0.5001072956376823,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.6664750083858839,0.0003009512128128034,0.6662632732045611,0.6666407963532728,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.5000128925975346,6.690477759794782e-05,0.4999680408025053,0.500053849714342,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9990880334069928,0.0014668228484187344,0.9980300702014697,0.9998491481173262,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.07531100226792597,0.008177785866708072,0.06929349298435325,0.08151360106564354,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5336165902088779,0.005054007899785714,0.5294696803623512,0.5377635000554045,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.5294435208656508,0.005776849286089344,0.5245182911630533,0.5342194326340047,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.4998233131863231,0.00022460205605950048,0.499636513684455,0.5,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.6661229548115657,0.0008961208938762819,0.6652293496733361,0.6666666666666665,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.4999112528254075,0.00011277306541351445,0.49981778032190227,0.5,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.9979186186171651,0.0036982021460822932,0.9942539878564766,1.0,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.06723318041775576,0.01010801579957141,0.05893936072470251,0.07552700011080903,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5356184521155476,0.004422444547968259,0.5319536661733737,0.539194517794383,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5312592554664758,0.005453361591171846,0.5264495702925995,0.535366241873219,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5000151373401014,0.00021811929962281236,0.49990056706388075,0.5001765280828355,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6665576574761701,0.00020684206795121879,0.6663995446520533,0.6666666666666665,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.5000076031681548,0.00010922916625184871,0.4999502162230563,0.5000884954942085,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.9994797523208275,0.0008623014937198239,0.9987447759724174,0.9999848277954787,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.07123690423109515,0.008844889095936507,0.06390733234674718,0.07838903558876559,15,5,0
1hop,frozen_pangenomefm,auprc,0.5367429376544437,0.0054384142509506465,0.5327207268846934,0.541130946747591,15,5,0
1hop,frozen_pangenomefm,auroc,0.5314199636006317,0.0053849833992012175,0.5281271470172394,0.5360966941603541,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5000224508895165,0.0001325848422742506,0.49993644741023197,0.500115868075387,15,5,0
1hop,frozen_pangenomefm,f1,0.6665927317909536,0.000152044586188506,0.666483165686466,0.6666574186313681,15,5,0
1hop,frozen_pangenomefm,precision,0.5000112672742658,6.6409762972214e-05,0.4999682161303139,0.5000581005360417,15,5,0
1hop,frozen_pangenomefm,recall,0.9996228212181364,0.0008028022945738035,0.9990142004019413,0.9999059572044934,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.07348587530888732,0.0108768285019013,0.0654414537693869,0.08226189349518219,15,5,0
1hop,frozen_sequence_fm,auprc,0.5293005985927562,0.0052286907975956885,0.5248591555886848,0.5337420415968279,15,5,0
1hop,frozen_sequence_fm,auroc,0.5253215237594725,0.006815586632252288,0.5189745722524645,0.530618669222853,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.49997825081973796,0.00036360555695603877,0.4996731008717309,0.5003093160298087,15,5,0
1hop,frozen_sequence_fm,f1,0.6664976433321398,0.00021184728665577112,0.6662973107720713,0.6666454807870554,15,5,0
1hop,frozen_sequence_fm,precision,0.4999892163854352,0.00018211164775764992,0.4998364103762561,0.5001550738414249,15,5,0
1hop,frozen_sequence_fm,recall,0.9992834633454052,0.0008318392946986765,0.9985537818687972,0.999952335557674,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.05860119718551247,0.010457381595191363,0.04971831117736913,0.0674840831936558,15,5,0
1hop,sequence_kmer,auprc,0.5231547093118037,0.007943792174282755,0.5166402550030551,0.5301224940525192,15,5,0
1hop,sequence_kmer,auroc,0.5192143853186452,0.007926890342305965,0.5134732852165486,0.526856207020478,15,5,0
1hop,sequence_kmer,balanced_accuracy,0.49977920041562574,0.00035996811113652973,0.4994299684160695,0.49998509909104455,15,5,0
1hop,sequence_kmer,f1,0.6664702997519896,0.0003201725585863525,0.6661596754128334,0.6666534207563415,15,5,0
