closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.07911389071802731,0.5300288746504948,0.0154153218896054
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.048930802624632924,0.5568567565967357,0.01417770666970008
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.04451126289090607,0.5419277391806759,0.007380234503634938
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.08179949318653104,0.5283786996889661,0.01828669003744938
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.049464924818633946,0.5639204585503111,0.014731346265706132
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.045090443893649974,0.5512224793258217,0.007981922926319052
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.07987675446560637,0.5313619663099134,0.016230953648822467
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.04956863898908255,0.5535523974929726,0.014838850263990013
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.04695861113625367,0.5477361469418085,0.00992268858711778
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.08119172117721146,0.530076946002823,0.017636877859668776
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.04764667657162478,0.5540577783541923,0.012846657263415879
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.045672401121441525,0.5568424622785842,0.008586495460294833
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.0819780046491515,0.5310795648823392,0.018477549307875585
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.05104514027829056,0.5606608577236576,0.016369304505436444
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.0444301132327727,0.5484146656236075,0.007295931307272657
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,17049,0.0646958765910024,0.08090558672147499,0.5249363530746732,0.017330951211239638
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17049,0.0646958765910024,0.08147053261163886,0.5334838431928975,0.017934974946433657
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,9134,0.035252901248084084,0.04968970131689397,0.556560012743774,0.014964336340048743
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9134,0.035252901248084084,0.04810277501194874,0.5597530047958318,0.013319422033492938
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,12110,0.03740710156895128,0.04578339639074051,0.5481655471960589,0.008701804091264273
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12110,0.03740710156895128,0.04430258839009407,0.5528758833478108,0.00716345075096845
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,17978,0.056235398820780956,0.07756732819405479,0.5560255530649273,0.022603019170903342
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17978,0.056235398820780956,0.07569215178226808,0.5599618028526545,0.020616108018012353
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,8328,0.03854466858789626,0.04409976159058355,0.5442052845504732,0.005777796244083898
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8328,0.03854466858789626,0.0458766779933925,0.5515376537741314,0.007625949085671625
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,10838,0.04438088208156486,0.06109211807298565,0.56083916448887,0.01748733954571966
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,10838,0.04438088208156486,0.07125423205591955,0.5632812943810337,0.0281214026283727
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,17978,0.056235398820780956,0.07756732819405479,0.5560255530649273,0.022603019170903342
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17978,0.056235398820780956,0.07618639465669513,0.5512518132452028,0.02113980097471946
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,8328,0.03854466858789626,0.04409976159058355,0.5442052845504732,0.005777796244083898
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8328,0.03854466858789626,0.04319818083733877,0.5418665988132658,0.0048400711893789505
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,10838,0.04438088208156486,0.06109211807298565,0.56083916448887,0.01748733954571966
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,10838,0.04438088208156486,0.06683990500434048,0.5564938755051723,0.023502065312063544
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,17978,0.056235398820780956,0.07756732819405479,0.5560255530649273,0.022603019170903342
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17978,0.056235398820780956,0.07679528900840299,0.5622818647730508,0.02178497706094589
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,8328,0.03854466858789626,0.04409976159058355,0.5442052845504732,0.005777796244083898
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8328,0.03854466858789626,0.04549209363506479,0.5452079119244181,0.0072259467706781
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,10838,0.04438088208156486,0.06109211807298565,0.56083916448887,0.01748733954571966
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,10838,0.04438088208156486,0.06975998962074385,0.5592352997972386,0.026557764556302203
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,17978,0.056235398820780956,0.07756732819405479,0.5560255530649273,0.022603019170903342
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17978,0.056235398820780956,0.07495298468469029,0.5521586180236879,0.019832896720773385
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,8328,0.03854466858789626,0.04409976159058355,0.5442052845504732,0.005777796244083898
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,8328,0.03854466858789626,0.04453712322364688,0.5461241662766263,0.006232691670604616
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,10838,0.04438088208156486,0.06109211807298565,0.56083916448887,0.01748733954571966
