feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",1.8173201566408037,0.5284664299178823,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5284664299178823,0.5773631958649674,0.0720865014206669,0.8366019899198287,0.0803143569101016,0.2231096911608093,0.1181113460183227,0.687070484453297,0.2469372826805983,0.4475392437356234,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5456754002968677,37144,0.049042906014154,0.0242320032651818
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,3.4959620500740045,0.509882091663629,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.509882091663629,0.5537797476346875,0.0607094666493566,0.7147259290209699,0.0635012545840571,0.3503727369542066,0.107516339869281,0.6889788406044846,0.247840224273161,0.4484053438912395,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5419445725139014,37144,0.049042906014154,0.012268230300805
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.6787353111410344,0.5345247207019787,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5345247207019787,0.5526113886233671,0.0663908932308391,0.7240487817616796,0.0612059387940612,0.3226837060702875,0.1028949825961456,0.6664500153283089,0.2366979871344116,0.428796286091351,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5337158747295006,37144,0.049042906014154,0.0182426602907736
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,0.9962120984569818,0.5198358453032739,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5198358453032739,0.56918636438278,0.0675775802932245,0.729271668451153,0.0693923100334787,0.3642172523961661,0.1165743502343417,0.6759660020144106,0.2407685946063824,0.4367957874220431,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5561577817658436,37144,0.049042906014154,0.0194905473614842
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.67095551116991,0.5411033860509326,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5411033860509326,0.5571381747828583,0.0671079268033234,0.7417804820724414,0.0631544502617801,0.3083067092651757,0.1048343291689299,0.6659407609438435,0.236434787912331,0.4283554414909501,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5362211838238552,37144,0.049042906014154,0.0189966728293193
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,0.9289301657784692,0.5467930659317011,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5467930659317011,0.5774505877327933,0.0690204367517481,0.8005640717624631,0.078218836970851,0.2843450479233226,0.1226881102814474,0.6730961392200844,0.2392041223132296,0.4339822830124293,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5557658234261678,37144,0.049042906014154,0.0210078150359657
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.4254246344582764,0.5443503900710002,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5443503900710002,0.5585345437322711,0.0658005465607643,0.7429556315775729,0.0644208684239308,0.3136315228966986,0.1068868523727429,0.6585549899003166,0.232803640636456,0.4205219665794121,p0,h3k27ac,fold_a,20260806,1hop,1hop,0.5393641618328062,37144,0.049042906014154,0.0176218681711204
coordinate,"reference coordinate, node length, and constant orientation",1.8173201566408037,0.5284664299178823,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5284664299178823,0.5773631958649674,0.0720865014206669,0.8366019899198287,0.0803143569101016,0.2231096911608093,0.1181113460183227,0.687070484453297,0.2469372826805983,0.4475392437356234,p0,h3k27ac,fold_a,20260806,strict,strict,0.5456754002968677,37144,0.049042906014154,0.0242320032651818
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,3.4959620500740045,0.509882091663629,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.509882091663629,0.5537797476346875,0.0607094666493566,0.7147259290209699,0.0635012545840571,0.3503727369542066,0.107516339869281,0.6889788406044846,0.247840224273161,0.4484053438912395,p0,h3k27ac,fold_a,20260806,strict,strict,0.5419445725139014,37144,0.049042906014154,0.012268230300805
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.6787353111410344,0.5345247207019787,71477,37144,38293,all_test_chromosomes,all,38293,0.049042906014154,0.5345247207019787,0.5526113886233671,0.0663908932308391,0.7240487817616796,0.0612059387940612,0.3226837060702875,0.1028949825961456,0.6664500153283089,0.2366979871344116,0.428796286091351,p0,h3k27ac,fold_a,20260806,strict,strict,0.5337158747295006,37144,0.049042906014154,0.0182426602907736
