context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.0639062740714567,0.007756791574295336,0.05754757314214546,0.07026497500076792,15,5,0
1hop,coordinate,auroc,0.5592793615423868,0.010204772331160105,0.5521164267228672,0.5688695549054649,15,5,0
1hop,coordinate,balanced_accuracy,0.5345971586337916,0.009275388884172694,0.526609751541723,0.5425845657258606,15,5,0
1hop,coordinate,f1,0.09958504535204377,0.014119385893598603,0.08774941477040146,0.11142067593368607,15,5,0
1hop,coordinate,precision,0.06415355726928207,0.00845122843615858,0.05930080929038666,0.07228744007442792,15,5,0
1hop,coordinate,recall,0.2652626970797713,0.12885323533659873,0.16216194870115025,0.3821575634666852,15,5,0
1hop,coordinate,normalized_ap,0.019129743698428014,0.0033381303100830668,0.01646495616052314,0.021859853201092502,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.06475836103294598,0.009360757732474918,0.05652416946294456,0.07175395085499683,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5687927769190432,0.015254066418162097,0.556549463384533,0.5812472592911828,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5416409760313299,0.013254706062159964,0.5316970516891061,0.5526087229156482,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.10625552366854935,0.016036109565509042,0.09300102845166021,0.11902877517016014,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.07174034691450878,0.012629328741775962,0.06226206591010748,0.0817108678552109,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.23626643267074077,0.09434715299534112,0.16813261822713405,0.3093377535901273,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.02002895594743494,0.0052713916727441905,0.015103643338968832,0.023578012541782437,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.06232623223683861,0.007989834982059995,0.05584335758256607,0.06878371644844801,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.5604525382698947,0.00979924005170339,0.5527212181876323,0.5694251047596378,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5364016715189991,0.008163980792581616,0.5296061224704114,0.5430274385009515,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.10057523650567005,0.012493815019344783,0.09019765567435792,0.11095281733698217,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.06464612258049818,0.005685580103316015,0.059792446859883656,0.06937097880111526,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.25104306761366263,0.08281744452390426,0.17381249622606532,0.3163174007305148,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.01747601049945892,0.0033221674176163647,0.014420298073809101,0.02010491398137866,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.06293783253424141,0.008844052234400447,0.055596073363372946,0.07023109309761515,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5632720820011059,0.013422627390609891,0.5528672019295352,0.5749706606924831,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5393681430368338,0.012500213917250876,0.5293756595539719,0.5502245097169152,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.1004916247876392,0.013011467017813647,0.08979657321839549,0.11118330351246604,15,5,0
