context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,18784.0,0.44075739438549205,Delta_T_given_C_S,0.00019128391185932643,0.0030016167664840164,-0.0020041095500327004,0.0019454666921294192,15,5,0
1hop,high,auprc,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm,0.5858842545104945,0.056928801558709434,0.5308611715509391,0.6268025676202414,15,5,0
1hop,high,auprc,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5860755384223537,0.05878008062437319,0.5299437310821615,0.6282289996391563,15,5,0
1hop,high,auroc,18784.0,0.44075739438549205,Delta_T_given_C_S,0.00040668156625645047,0.0019498831827774274,-0.000856533584391807,0.0016965766126419445,15,5,0
1hop,high,auroc,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm,0.6730128468156233,0.015817867570757663,0.661870222332576,0.6881112099662098,15,5,0
1hop,high,auroc,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6734195283818795,0.01633495109838715,0.6620595311432692,0.6886340487379751,15,5,0
1hop,high,normalized_ap,18784.0,0.44075739438549205,Delta_T_given_C_S,0.0005815486080777015,0.004996616684867617,-0.0030138628419893567,0.003591604131097043,15,5,0
1hop,high,normalized_ap,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm,0.2617521598538926,0.03471598018312601,0.22867056106405184,0.288819964978085,15,5,0
1hop,high,normalized_ap,18784.0,0.44075739438549205,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.2623337084619703,0.038008689501403896,0.2269770777526003,0.292395070999508,15,5,0
1hop,low,auprc,12752.8,0.3362377030180592,Delta_T_given_C_S,0.0008188009294195238,0.0035462595872412955,-0.0016601966391893873,0.003067083875134615,15,5,0
1hop,low,auprc,12752.8,0.3362377030180592,coordinate_plus_frozen_sequence_fm,0.49684122835462635,0.047720534987599296,0.45687895812977275,0.5368034985794795,15,5,0
1hop,low,auprc,12752.8,0.3362377030180592,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.49766002928404574,0.04742695451406518,0.45814869403242825,0.5366368348614823,15,5,0
