closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,23038,0.497656046531817,0.6275036395267923,0.6600910717153017,0.25848343968013837
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23038,0.497656046531817,0.627693501147782,0.6587960404853788,0.25886139112093676
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16087,0.3415801578914652,0.46232784652064796,0.6542164979698655,0.18339011206360117
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16087,0.3415801578914652,0.46292444224491747,0.6556850810541855,0.1842962143498855
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,19060,0.417890870933893,0.5880723611469078,0.6863962745981673,0.2923532405101452
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19060,0.417890870933893,0.5866856311295405,0.6837766456276856,0.2899709895744968
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,23038,0.497656046531817,0.6275036395267923,0.6600910717153017,0.25848343968013837
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23038,0.497656046531817,0.6277563084987047,0.6591947458498244,0.25898641970043706
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16087,0.3415801578914652,0.46232784652064796,0.6542164979698655,0.18339011206360117
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16087,0.3415801578914652,0.467631734179721,0.6580307918624182,0.19144559174369066
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,19060,0.417890870933893,0.5880723611469078,0.6863962745981673,0.2923532405101452
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19060,0.417890870933893,0.585663612708458,0.6849669591529186,0.28821527338649927
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,23038,0.497656046531817,0.6275036395267923,0.6600910717153017,0.25848343968013837
