feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",1.096244018116441,0.4838472106141828,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4838472106141828,0.5146794599070815,0.4392063522200854,0.431313912520409,0.4281413935147695,0.9757673019057173,0.5951474960541288,0.6928545491889166,0.2498533665978897,0.0714920910245199,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.4995342823419145,57727,0.4283750107416,0.0189483344535679
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.2428381589654454,0.3703403793453085,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.3703403793453085,0.6609855772971349,0.560829190138139,0.5097189997422016,0.4641463608854913,0.935406218655968,0.6204345569940258,0.6591925784501642,0.2331612819176761,0.0804514384965094,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.5630578898451217,57727,0.4283750107416,0.2317151662112934
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.435588322830976,0.4286679160288846,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4286679160288846,0.6800185758719333,0.5868961873883473,0.5865429234338747,0.5106336061155485,0.8361484453360081,0.6340528453429471,0.6454990274681169,0.2272485889485282,0.076918231020895,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.6178186604310828,57727,0.4283750107416,0.2773167367165058
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.1081561768556971,0.4120469282780828,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4120469282780828,0.5477536825750855,0.4634758178042846,0.4410243189825556,0.4319926972023841,0.9683049147442327,0.5974453548530831,0.6889014674211553,0.2478679482651397,0.0667951070600018,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.5070929264039865,57727,0.4283750107416,0.0614053054402375
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.433266924120855,0.4278254864593281,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4278254864593281,0.6811654578890007,0.5884911435683042,0.5843430437397955,0.5090584145326348,0.834222668004012,0.6322847455565522,0.6450018600697245,0.2270340076324866,0.0773715857082407,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.615653125944279,57727,0.4283750107416,0.2801069509477384
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.2552243468926687,0.4259968079380001,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4259968079380001,0.5483039895392733,0.4642387761997686,0.4423820572312452,0.4318445475638051,0.955827482447342,0.5949084189629555,0.689154767794384,0.2479999012184232,0.0684224052615027,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.5067171086319693,57727,0.4283750107416,0.0627400238479716
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.4407045807557444,0.4342424210023408,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4342424210023408,0.679781351269684,0.5876588753923517,0.588519377846524,0.5123445937460755,0.8184152457372116,0.6301822675316652,0.6451684998815143,0.2270613199377215,0.0756776464122573,p1,Peyers_patch,fold_a,20260806,1hop,1hop,0.6173254821590448,57727,0.4283750107416,0.2786509821017434
coordinate,"reference coordinate, node length, and constant orientation",1.096244018116441,0.4838472106141828,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4838472106141828,0.5146794599070815,0.4392063522200854,0.431313912520409,0.4281413935147695,0.9757673019057173,0.5951474960541288,0.6928545491889166,0.2498533665978897,0.0714920910245199,p1,Peyers_patch,fold_a,20260806,strict,strict,0.4995342823419145,57727,0.4283750107416,0.0189483344535679
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.2428381589654454,0.3703403793453085,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.3703403793453085,0.6609855772971349,0.560829190138139,0.5097189997422016,0.4641463608854913,0.935406218655968,0.6204345569940258,0.6591925784501642,0.2331612819176761,0.0804514384965094,p1,Peyers_patch,fold_a,20260806,strict,strict,0.5630578898451217,57727,0.4283750107416,0.2317151662112934
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.435588322830976,0.4286679160288846,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4286679160288846,0.6800185758719333,0.5868961873883473,0.5865429234338747,0.5106336061155485,0.8361484453360081,0.6340528453429471,0.6454990274681169,0.2272485889485282,0.076918231020895,p1,Peyers_patch,fold_a,20260806,strict,strict,0.6178186604310828,57727,0.4283750107416,0.2773167367165058
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.655563283691142,0.4098805224674794,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4098805224674794,0.538228720436716,0.4563461342940125,0.4298874280312795,0.4289431510744257,0.9986760280842528,0.6001253676647862,0.6905121379225573,0.2486885461397964,0.07075572688529,p1,Peyers_patch,fold_a,20260806,strict,strict,0.5011570158460951,57727,0.4283750107416,0.0489326465392999
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.433266924120855,0.4278254864593281,118821,57727,58185,all_test_chromosomes,all,58185,0.4283750107416,0.4278254864593281,0.6811654578890007,0.5884911435683042,0.5843430437397955,0.5090584145326348,0.834222668004012,0.6322847455565522,0.6450018600697245,0.2270340076324866,0.0773715857082407,p1,Peyers_patch,fold_a,20260806,strict,strict,0.615653125944279,57727,0.4283750107416,0.2801069509477384
