context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.4076707284643806,0.03708975448472384,0.3739279972011125,0.43634146925383027,15,5,0
1hop,coordinate,auroc,0.5149898950031012,0.02043981970950983,0.495217371436665,0.5287635150403898,15,5,0
1hop,coordinate,balanced_accuracy,0.5006874652853761,0.001554403379654868,0.49976969358205336,0.5022092855239916,15,5,0
1hop,coordinate,f1,0.5667190807692577,0.03181110223439367,0.536593341217138,0.587857222018642,15,5,0
1hop,coordinate,precision,0.3975812558306689,0.031481742909187496,0.3681533483631789,0.419149194449065,15,5,0
1hop,coordinate,recall,0.9913909577779091,0.010983696260270357,0.9817385151809005,0.9999593633592956,15,5,0
1hop,coordinate,normalized_ap,0.017491112121921625,0.028302319770117115,-0.008846236453844657,0.03965481837331294,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.4287460721312446,0.046088535100006094,0.3873171293822137,0.46357130393179874,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5427916124192123,0.023489420045018736,0.5245960632113136,0.5626696269080033,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5029250345416403,0.004030512024710372,0.5000250875421911,0.5062738311673547,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.5643960478181271,0.03761226187645731,0.5284559584261321,0.5882465047625988,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.398746822129816,0.030354440232428434,0.36990791299991577,0.4204971967652207,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9675434071431507,0.055799110224191394,0.9180981074894013,0.9981331341399023,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.053229505669697565,0.036420504119753526,0.02594880711225432,0.08545456582391132,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5652747510246736,0.03698869071861729,0.5305812585376487,0.5895538759700413,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.6890700887252125,0.012836591569659252,0.681270698705513,0.701844987359521,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.6236448066808618,0.018070441598641795,0.6090188870733484,0.6393933540454431,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.6110732138623952,0.026518208484138883,0.5876478850576088,0.6306532865215604,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.48562128344269195,0.024200900430089725,0.46650378721616886,0.5049742061898193,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.8244972901641531,0.033590459864301474,0.7919499019299517,0.8467281719419543,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.27968968623141494,0.027706646822643743,0.25420276819854126,0.30432906454020775,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5651831358274865,0.03831870707667751,0.5286990312633811,0.5905692283948533,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6893341103990861,0.013230184168766104,0.6810587424791065,0.7023456904598677,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.6196946374572571,0.020050270417431806,0.6033213709727837,0.636230187845335,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6100568448976272,0.02618941374907469,0.5864110224212558,0.6292846120913264,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4823594024701046,0.021215169534296256,0.4652706079670842,0.4997988644034698,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.8315888814105612,0.0521886899549958,0.7825475475663396,0.8622782786010398,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.27962239951461326,0.029863428842717827,0.25272648536846226,0.30597795308424147,15,5,0
1hop,frozen_pangenomefm,auprc,0.4266748833159291,0.04429824853815818,0.3862357254111459,0.45858365053754707,15,5,0
1hop,frozen_pangenomefm,auroc,0.541126447410904,0.02294378635615935,0.5227647858154757,0.5600932339787946,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5022802175569949,0.004247756455685816,0.4996612063280138,0.5056242637020884,15,5,0
