context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,17590.8,0.4672685419150927,Delta_T_given_C_S,0.001809465080109566,0.003404658571914232,-0.00024037019651581057,0.004058286059685614,15,5,0
1hop,high,auprc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.5743589889659142,0.05127733855532421,0.5292204809413923,0.614634582932238,15,5,0
1hop,high,auprc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5761684540460236,0.05064802237425361,0.5319534788676038,0.6167307291590529,15,5,0
1hop,high,auroc,17590.8,0.4672685419150927,Delta_T_given_C_S,0.0017738753442774573,0.002626831513078216,-4.307853422464584e-05,0.003591446003309733,15,5,0
1hop,high,auroc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.6276527069491794,0.0208564130415653,0.6124695730830492,0.6469060323385293,15,5,0
1hop,high,auroc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6294265822934569,0.020572569103726887,0.6142798120337979,0.6483758827948551,15,5,0
1hop,high,normalized_ap,17590.8,0.4672685419150927,Delta_T_given_C_S,0.003393065961036488,0.0063841518426187354,-0.0004932447966317326,0.007621918964431215,15,5,0
1hop,high,normalized_ap,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.20328152276596836,0.04872880153294751,0.16657361062678905,0.24640742339759303,15,5,0
1hop,high,normalized_ap,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.20667458872700484,0.04690953229122774,0.1709380430450459,0.24878237102412037,15,5,0
1hop,low,auprc,12941.2,0.40339147302543144,Delta_T_given_C_S,0.0009736390399320579,0.002751011005340708,-0.0009685700089027208,0.0026144324084480357,15,5,0
1hop,low,auprc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.5079694411920141,0.018398092991439085,0.49255541274266607,0.5233834696413621,15,5,0
1hop,low,auprc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.508943080231946,0.018171548991161336,0.4942158258083108,0.5243989980308127,15,5,0
1hop,low,auroc,12941.2,0.40339147302543144,Delta_T_given_C_S,0.0007903838608764498,0.001748475980355594,-0.0005483364502521347,0.001992127698638859,15,5,0
1hop,low,auroc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.6153261318898817,0.006672159144994892,0.6105323664365966,0.6216788191946123,15,5,0
1hop,low,auroc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.616116515750758,0.005486966991931018,0.6122141712977631,0.6212912501957663,15,5,0
1hop,low,normalized_ap,12941.2,0.40339147302543144,Delta_T_given_C_S,0.0016584406029263791,0.004603984927449306,-0.0016065385617369554,0.00441297549759817,15,5,0
1hop,low,normalized_ap,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.1753686893636472,0.02326481165708498,0.15457633825128206,0.19419010435621775,15,5,0
1hop,low,normalized_ap,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.17702712996657366,0.02179821701817804,0.1586961115943669,0.19438625603947152,15,5,0
1hop,medium,auprc,14977.8,0.43233120074964915,Delta_T_given_C_S,-0.0010657184207427525,0.002825555735236074,-0.002905474209903571,0.0011350753617631918,15,5,0
1hop,medium,auprc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.5520464852400514,0.02158820673095107,0.5312320329645537,0.5682657671775113,15,5,0
1hop,medium,auprc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5509807668193087,0.020872451508597775,0.5318815127028851,0.5665167959657367,15,5,0
1hop,medium,auroc,14977.8,0.43233120074964915,Delta_T_given_C_S,-0.0009299285120103177,0.0020551432072527134,-0.002411591618666397,0.0007652163340530304,15,5,0
1hop,medium,auroc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.6326599538473883,0.008971314634314985,0.6242004254042409,0.6388437522106247,15,5,0
1hop,medium,auroc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6317300253353778,0.009535124757589178,0.6228869166601861,0.6389368211032606,15,5,0
1hop,medium,normalized_ap,14977.8,0.43233120074964915,Delta_T_given_C_S,-0.0019140079904748882,0.0049714312178983965,-0.0051662323251632294,0.0019472223773277489,15,5,0
1hop,medium,normalized_ap,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.21118430642185204,0.028113475141033857,0.18532865999018397,0.22995470912202234,15,5,0
1hop,medium,normalized_ap,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.2092702984313771,0.02747942036948382,0.18346552944242167,0.22874154680943135,15,5,0
strict,high,auprc,17590.8,0.4672685419150927,Delta_T_given_C_S,0.0021730863270435163,0.002756807196572094,0.00028928344280743703,0.004182232916107619,15,5,0
strict,high,auprc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.5743589889659142,0.05127733855532421,0.5292204809413923,0.614634582932238,15,5,0
strict,high,auprc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5765320752929576,0.049783724071795585,0.5322200491138246,0.6156934909014594,15,5,0
strict,high,auroc,17590.8,0.4672685419150927,Delta_T_given_C_S,0.0015600180642789821,0.0020776761933339123,-2.071131705691464e-05,0.0030735732056069083,15,5,0
strict,high,auroc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.6276527069491794,0.0208564130415653,0.6124695730830492,0.6469060323385293,15,5,0
strict,high,auroc,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6292127250134584,0.019365379406047673,0.615412891932367,0.6474491899530448,15,5,0
strict,high,normalized_ap,17590.8,0.4672685419150927,Delta_T_given_C_S,0.0039105477369502616,0.0050505955857009285,0.0005037817489999901,0.007446890254124836,15,5,0
strict,high,normalized_ap,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm,0.20328152276596836,0.04872880153294751,0.16657361062678905,0.24640742339759303,15,5,0
strict,high,normalized_ap,17590.8,0.4672685419150927,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.2071920705029186,0.04674280829281739,0.17244684293273052,0.2478451478924397,15,5,0
strict,low,auprc,12941.2,0.40339147302543144,Delta_T_given_C_S,-0.0006235089601730396,0.0027834236162758144,-0.0026856933160322857,0.0010142140861866653,15,5,0
strict,low,auprc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.5079694411920141,0.018398092991439085,0.49255541274266607,0.5233834696413621,15,5,0
strict,low,auprc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5073459322318409,0.017172739169917302,0.49353534710345925,0.52183514711371,15,5,0
strict,low,auroc,12941.2,0.40339147302543144,Delta_T_given_C_S,-0.0006810583133164405,0.002266916093507924,-0.0021074977514337046,0.0006302083788841182,15,5,0
strict,low,auroc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.6153261318898817,0.006672159144994892,0.6105323664365966,0.6216788191946123,15,5,0
strict,low,auroc,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6146450735765653,0.006765491979743957,0.6101496341215918,0.620994716225602,15,5,0
strict,low,normalized_ap,12941.2,0.40339147302543144,Delta_T_given_C_S,-0.001054159045774709,0.004662428563522783,-0.004478445051781266,0.0016861007331584429,15,5,0
strict,low,normalized_ap,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm,0.1753686893636472,0.02326481165708498,0.15457633825128206,0.19419010435621775,15,5,0
strict,low,normalized_ap,12941.2,0.40339147302543144,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.17431453031787253,0.020840167602285225,0.1563014927886711,0.1906737778040727,15,5,0
strict,medium,auprc,14977.8,0.43233120074964915,Delta_T_given_C_S,0.0005638686786441748,0.00487334258490919,-0.0021619140147148166,0.004140219352098555,15,5,0
strict,medium,auprc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.5520464852400514,0.02158820673095107,0.5312320329645537,0.5682657671775113,15,5,0
strict,medium,auprc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5526103539186955,0.02078155273479345,0.533746732493944,0.5677257970470466,15,5,0
strict,medium,auroc,14977.8,0.43233120074964915,Delta_T_given_C_S,0.00020807742138980365,0.0022281798249899876,-0.0012707424801864035,0.0016685749297296571,15,5,0
strict,medium,auroc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.6326599538473883,0.008971314634314985,0.6242004254042409,0.6388437522106247,15,5,0
strict,medium,auroc,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.632868031268778,0.008803092063606657,0.6246244884567533,0.6392169011207051,15,5,0
strict,medium,normalized_ap,14977.8,0.43233120074964915,Delta_T_given_C_S,0.0009371791334437552,0.008531073381465476,-0.003862765753026124,0.007203153119302635,15,5,0
strict,medium,normalized_ap,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm,0.21118430642185204,0.028113475141033857,0.18532865999018397,0.22995470912202234,15,5,0
strict,medium,normalized_ap,14977.8,0.43233120074964915,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.21212148555529575,0.027864398284666754,0.18637817703677412,0.23184651405390558,15,5,0
