closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.6044194769439009,0.6253902841429881,0.20295124377719936
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.49060920390473517,0.6138124117877728,0.1459228270892458
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5752821559511689,0.6384865072572111,0.23170265454806677
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.6003152654311494,0.6213811566090423,0.19468173481290207
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.49053408383131525,0.6139656450636823,0.14579687597189714
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5759887139752018,0.6388788469115112,0.2329807893424452
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.5997374108114129,0.622051533690022,0.19351742494653051
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.48971179466939774,0.6148973535832936,0.14441817339597873
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5771178938712828,0.6403848525266823,0.2350234299539778
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.5954973046454308,0.6197678809711594,0.18497410405767742
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.48838885267186943,0.6121707413918087,0.1422000442702955
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5767419879024341,0.6406649650815214,0.23434343131004812
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.6022107094984646,0.6260631466757616,0.1985008342080691
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.49359088901231674,0.6152294746455171,0.15092211095286143
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5755800282407666,0.6406422677461486,0.23224149343272465
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,21660,0.5036934441366574,0.5975938959917545,0.6204882356702833,0.18919849183082818
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21660,0.5036934441366574,0.6001705025936364,0.622766457058811,0.19439005452820132
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,16324,0.40357755452095073,0.4882944155407633,0.6132830292895776,0.14204170493913523
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16324,0.40357755452095073,0.48952591394534994,0.6128678799106365,0.1441065138911147
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,18010,0.4471960022209883,0.5786004162683731,0.6405290304905527,0.23770525281171154
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18010,0.4471960022209883,0.5745410022336421,0.6368349892743866,0.23036193754800072
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.6001112617746087,0.6354930418642054,0.22804765441581917
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5049000353245794,0.6158105564033459,0.1857814155097051
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.515315134172789,0.6162062686061495,0.16059616986779376
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.598471245948887,0.6344668374591534,0.22488173864364888
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5035006859402674,0.6165991966814213,0.18348011000335385
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.5189167036869764,0.6197159438038744,0.16683356545788855
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.5950052203801637,0.633791545340113,0.21819086112730668
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5081106198165215,0.6175419916529831,0.1910613948006133
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
1hop,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.5164044155643546,0.6164869854150005,0.16248264711649307
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
strict,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.5939944300245878,0.6319679860388164,0.21623961341439701
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
strict,fold_b,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5050828554858854,0.6141187311850027,0.18608207312145114
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
strict,fold_b,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.5148626619053945,0.6149810814338399,0.1598125535821248
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
1hop,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.5956715936765041,0.6331276019523,0.21947724001216223
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
1hop,fold_b,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5024682229074373,0.6146235197133576,0.18178216888214896
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
1hop,fold_b,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.5141766575250606,0.6145859506909268,0.1586244935766674
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm,23748,0.4819774296782887,0.5966098331932443,0.6323275874191062,0.2212884342930553
strict,fold_b,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23748,0.4819774296782887,0.5991392869234984,0.6356002191966956,0.2261713368443537
strict,fold_b,42,low,coordinate_plus_frozen_sequence_fm,15023,0.39193237036543965,0.5043255279204066,0.6157862939809857,0.1848366071098269
strict,fold_b,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15023,0.39193237036543965,0.5038912995429041,0.6129213388097619,0.18412249513224396
strict,fold_b,42,medium,coordinate_plus_frozen_sequence_fm,17180,0.42258440046565776,0.5150055693777288,0.616566033779881,0.16006004857957465
strict,fold_b,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,17180,0.42258440046565776,0.5186673902659285,0.6189456214453923,0.1664017908032914
1hop,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
1hop,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5040726197532508,0.6149117742757443,0.15074755408306545
1hop,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
1hop,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.49332033561164046,0.6125910423922938,0.16086468164314988
1hop,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
1hop,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.5446599159094857,0.6268019320176943,0.19928898222170927
strict,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
strict,fold_c,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5057241740049997,0.615333140807917,0.1535757635018808
strict,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
strict,fold_c,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.49159508363296917,0.608649219821327,0.15800741309633393
strict,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
strict,fold_c,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.5474908116327788,0.629893316879297,0.2042670842492295
1hop,fold_c,314159,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
1hop,fold_c,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5100889729348468,0.6190661357883565,0.1610502775431582
1hop,fold_c,314159,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
1hop,fold_c,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.4913594554699035,0.6102457639443202,0.1576171785408054
1hop,fold_c,314159,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
1hop,fold_c,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.5494767072291958,0.6286339146049187,0.20775926194183172
strict,fold_c,314159,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
strict,fold_c,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5049620570287652,0.6141407871676632,0.15227067382157325
strict,fold_c,314159,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
strict,fold_c,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.48858151465682864,0.6082207652676551,0.1530165039679073
strict,fold_c,314159,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
strict,fold_c,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.5485379244529284,0.62962171461352,0.20610842174892566
1hop,fold_c,42,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
1hop,fold_c,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5013405204274426,0.6132451530506892,0.1460689617581646
1hop,fold_c,42,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
1hop,fold_c,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.4898814301764486,0.6081403040279981,0.15516935339143817
1hop,fold_c,42,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
1hop,fold_c,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.547310596067445,0.6270222953632691,0.20395017696656384
strict,fold_c,42,high,coordinate_plus_frozen_sequence_fm,12816,0.41604244694132336,0.5013536899911859,0.6123204246077554,0.14609151402018147
strict,fold_c,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,12816,0.41604244694132336,0.5025536073667299,0.6152046095436206,0.14814631640994264
strict,fold_c,42,low,coordinate_plus_frozen_sequence_fm,15374,0.39618836997528295,0.49093135235569846,0.6082951072438938,0.15690817743364302
strict,fold_c,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15374,0.39618836997528295,0.4950556875677323,0.6114668576537121,0.163738677223561
strict,fold_c,42,medium,coordinate_plus_frozen_sequence_fm,13463,0.43133031270890587,0.5500446032178643,0.6307749951910091,0.20875790140048422
strict,fold_c,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13463,0.43133031270890587,0.5458905574421119,0.6289654155732849,0.2014530531404327
1hop,fold_d,20260806,high,coordinate_plus_frozen_sequence_fm,16111,0.4981068834957482,0.6406876447422181,0.6645178967840266,0.2840859070543997
1hop,fold_d,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16111,0.4981068834957482,0.6384862241079882,0.6631885887149283,0.2796996730897598
1hop,fold_d,20260806,low,coordinate_plus_frozen_sequence_fm,9639,0.4001452432824982,0.5220408636026164,0.6272760124646353,0.20320855833026966
1hop,fold_d,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,9639,0.4001452432824982,0.5187982923753797,0.6263207712741939,0.19780296440786657
