context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.44484225969651087,0.022696128942063493,0.42574700311902675,0.463937516273995,15,5,0
1hop,coordinate,auroc,0.5116252656922374,0.01520675311097578,0.4981833251112312,0.5225046499265408,15,5,0
1hop,coordinate,balanced_accuracy,0.5000263893427959,6.781962198046409e-05,0.499974966352762,0.5000907716782836,15,5,0
1hop,coordinate,f1,0.6098244745944169,0.015173040289983267,0.5966907734976352,0.6217017451174519,15,5,0
1hop,coordinate,precision,0.43886412933092994,0.015632937099535404,0.4252736712182431,0.451147725995713,15,5,0
1hop,coordinate,recall,0.999808163048225,0.00021829682337941417,0.9996079840172504,0.9999767846778873,15,5,0
1hop,coordinate,normalized_ap,0.010864544884638618,0.02195936615177403,-0.010707729314086423,0.023730833146636043,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.45838341784312175,0.028559755416972653,0.43465246751290865,0.4815873283926331,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5245820262555961,0.015191028032413905,0.512546474538203,0.5366385157573376,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5005059555110928,0.0012897471775964397,0.49981055798826274,0.5016015123754822,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.6093815816754127,0.015634096268636113,0.595801878191383,0.6217187382212854,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.4391016219816083,0.01527576371640281,0.4258805949881294,0.4512007317609142,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9960056673450225,0.00760192842024055,0.9905244428912586,0.9998102062941514,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.03536667031293221,0.02645091233854423,0.015632143410325615,0.057389047531203455,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5563325206809285,0.028014888909225148,0.5328884390360076,0.5805066138979326,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.6314214966434979,0.013060049802047526,0.6219433437138038,0.6433897893519389,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5536504667994656,0.008320981947629785,0.5470772918711433,0.560325753925369,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.6167130073647304,0.018915212479479828,0.6006984749100156,0.6320269158728069,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.47077283826351213,0.01393909811576287,0.459373238474898,0.4823597903942784,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.894425143789741,0.038088383731925884,0.8605920227139382,0.9238053491920972,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.2099549455734844,0.031389809238099205,0.1868530769487961,0.24016968736093863,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5568062381672334,0.028055624213991243,0.5330697374405531,0.5810344609683666,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6320174435662793,0.013261028557777154,0.6222715479575772,0.6439140212694446,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5558721648158046,0.014884823856036134,0.5444643748070734,0.5672397812444452,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6164408373423128,0.018222487509484315,0.6005616735419682,0.6307048851531933,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4729950869681378,0.017704679919723892,0.4588912752149624,0.48758864618590636,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.887510540327638,0.049411288290313674,0.8443797926104007,0.9205942154470649,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.2108075349224504,0.03131744593306908,0.18766728925867038,0.240639257451294,15,5,0
1hop,frozen_pangenomefm,auprc,0.4593813232616372,0.028679290052948093,0.43539369401697986,0.48199625466530155,15,5,0
1hop,frozen_pangenomefm,auroc,0.524965609533772,0.016170461365957064,0.5117435788395697,0.5372159536873438,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5004747073577649,0.0013567081481492388,0.49973003357100537,0.5014217013405629,15,5,0
1hop,frozen_pangenomefm,f1,0.6093646747119911,0.015477839196784447,0.5958648916282144,0.6215134420166135,15,5,0
1hop,frozen_pangenomefm,precision,0.4390885211869265,0.015516222359280019,0.4256301608736196,0.4513596173487776,15,5,0
1hop,frozen_pangenomefm,recall,0.9960907895618878,0.006570485743351231,0.9915054133220211,0.9996176868621603,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.03714927463215193,0.02648272064332618,0.016580272665268705,0.058424537682834426,15,5,0
1hop,frozen_sequence_fm,auprc,0.5554211867485936,0.027579941465769073,0.531869542908261,0.5793136561285439,15,5,0
1hop,frozen_sequence_fm,auroc,0.6298891774151844,0.013127648421119017,0.6204157837582341,0.6417602492855364,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5549025147811049,0.013670854405914557,0.5426462103456323,0.5657898436127188,15,5,0
1hop,frozen_sequence_fm,f1,0.6150262100968722,0.020504965807719818,0.5970419657037567,0.631115713987565,15,5,0
1hop,frozen_sequence_fm,precision,0.4725580922965524,0.015672900025878712,0.46014901997517516,0.48684998682202313,15,5,0
1hop,frozen_sequence_fm,recall,0.88321183106235,0.05782032428179966,0.829382901164338,0.9243404566991698,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.20831263100722133,0.030608624480765727,0.18631218122796162,0.23746171770819494,15,5,0
1hop,sequence_kmer,auprc,0.5389593901915464,0.02703303638678874,0.5139378219123836,0.5602969728347474,15,5,0
1hop,sequence_kmer,auroc,0.6128032624255181,0.012818924929640794,0.6024324053675152,0.6231741194835209,15,5,0
1hop,sequence_kmer,balanced_accuracy,0.5280284458685859,0.0057952698008653025,0.5231460354427008,0.5325250840202543,15,5,0
1hop,sequence_kmer,f1,0.6124468859709691,0.01619484378330135,0.5986831540868239,0.625320475867918,15,5,0
1hop,sequence_kmer,precision,0.45409976769902255,0.014358962931368523,0.4418132561513154,0.46542980341457685,15,5,0
1hop,sequence_kmer,recall,0.9407050302377906,0.020272487352069712,0.9238384733339488,0.9570215071761312,15,5,0
1hop,sequence_kmer,normalized_ap,0.1789543071563555,0.028151112896082322,0.1557925724688027,0.20211604184390833,15,5,0
strict,coordinate,auprc,0.44484225969651087,0.022696128942063493,0.42574700311902675,0.463937516273995,15,5,0
strict,coordinate,auroc,0.5116252656922374,0.01520675311097578,0.4981833251112312,0.5225046499265408,15,5,0
strict,coordinate,balanced_accuracy,0.5000263893427959,6.781962198046409e-05,0.499974966352762,0.5000907716782836,15,5,0
strict,coordinate,f1,0.6098244745944169,0.015173040289983267,0.5966907734976352,0.6217017451174519,15,5,0
strict,coordinate,precision,0.43886412933092994,0.015632937099535404,0.4252736712182431,0.451147725995713,15,5,0
strict,coordinate,recall,0.999808163048225,0.00021829682337941417,0.9996079840172504,0.9999767846778873,15,5,0
strict,coordinate,normalized_ap,0.010864544884638618,0.02195936615177403,-0.010707729314086423,0.023730833146636043,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auprc,0.4587972382703963,0.027147788331799365,0.4372251530562786,0.4812873598909261,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auroc,0.5267764466180661,0.015127604093957431,0.5151176980130935,0.5393463962409784,15,5,0
strict,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5001173916993599,0.0003083286980051736,0.49995478186884795,0.5003049916211451,15,5,0
strict,coordinate_plus_frozen_pangenomefm,f1,0.6097760261098483,0.01522012228959432,0.5965718576947373,0.6216656813560103,15,5,0
strict,coordinate_plus_frozen_pangenomefm,precision,0.43890917681992525,0.015644923370482823,0.42524927854905015,0.4511946207087136,15,5,0
strict,coordinate_plus_frozen_pangenomefm,recall,0.9993059908935807,0.0009750711810548756,0.9986864048097447,0.9998179749715586,15,5,0
strict,coordinate_plus_frozen_pangenomefm,normalized_ap,0.035937287498311016,0.028548012088185207,0.014913965227279804,0.06043462384045663,15,5,0
strict,coordinate_plus_frozen_sequence_fm,auprc,0.5563325206809285,0.028014888909225148,0.5328884390360076,0.5805066138979326,15,5,0
strict,coordinate_plus_frozen_sequence_fm,auroc,0.6314214966434979,0.013060049802047526,0.6219433437138038,0.6433897893519389,15,5,0
strict,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5536504667994656,0.008320981947629785,0.5470772918711433,0.560325753925369,15,5,0
strict,coordinate_plus_frozen_sequence_fm,f1,0.6167130073647304,0.018915212479479828,0.6006984749100156,0.6320269158728069,15,5,0
strict,coordinate_plus_frozen_sequence_fm,precision,0.47077283826351213,0.01393909811576287,0.459373238474898,0.4823597903942784,15,5,0
strict,coordinate_plus_frozen_sequence_fm,recall,0.894425143789741,0.038088383731925884,0.8605920227139382,0.9238053491920972,15,5,0
strict,coordinate_plus_frozen_sequence_fm,normalized_ap,0.2099549455734844,0.031389809238099205,0.1868530769487961,0.24016968736093863,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5571945087040533,0.027859104881203543,0.5341913846725242,0.5812323027550307,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6319088822942311,0.012386258458458366,0.6228715324871398,0.6433953922526319,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5524089610743481,0.00976624452802463,0.5448358280724955,0.5601004830931303,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6166718169470566,0.01711772677960107,0.6017962654024639,0.6302591972927349,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4698283019778589,0.01849992133867576,0.4549336380008563,0.4850806551911147,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.8984325343117702,0.028010548289576078,0.8773801179984833,0.9176073585072073,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.21147284913999945,0.031495744132765756,0.1873945338150169,0.2420234050091254,15,5,0
strict,frozen_pangenomefm,auprc,0.4585431055102608,0.02492511899715024,0.438157611593953,0.47889326174227675,15,5,0
strict,frozen_pangenomefm,auroc,0.5261203104626228,0.013522460833576814,0.5164028148264277,0.5377972895419864,15,5,0
strict,frozen_pangenomefm,balanced_accuracy,0.5000521460634924,0.00014671024965916897,0.49997708403483143,0.5001369542842365,15,5,0
strict,frozen_pangenomefm,f1,0.6097605520148232,0.015243202044315925,0.5965530617714806,0.6216606787969092,15,5,0
strict,frozen_pangenomefm,precision,0.4388767373255245,0.015620002351285633,0.42529798848636285,0.4511353612512816,15,5,0
strict,frozen_pangenomefm,recall,0.9993761239896568,0.0008550585763133453,0.9986937553274227,0.9997939458654321,15,5,0
strict,frozen_pangenomefm,normalized_ap,0.035410923492771265,0.024332230508480327,0.018971320875789413,0.05631273719912181,15,5,0
strict,frozen_sequence_fm,auprc,0.5554211867485936,0.027579941465769073,0.531869542908261,0.5793136561285439,15,5,0
strict,frozen_sequence_fm,auroc,0.6298891774151844,0.013127648421119017,0.6204157837582341,0.6417602492855364,15,5,0
strict,frozen_sequence_fm,balanced_accuracy,0.5549025147811049,0.013670854405914557,0.5426462103456323,0.5657898436127188,15,5,0
strict,frozen_sequence_fm,f1,0.6150262100968722,0.020504965807719818,0.5970419657037567,0.631115713987565,15,5,0
strict,frozen_sequence_fm,precision,0.4725580922965524,0.015672900025878712,0.46014901997517516,0.48684998682202313,15,5,0
strict,frozen_sequence_fm,recall,0.88321183106235,0.05782032428179966,0.829382901164338,0.9243404566991698,15,5,0
strict,frozen_sequence_fm,normalized_ap,0.20831263100722133,0.030608624480765727,0.18631218122796162,0.23746171770819494,15,5,0
strict,sequence_kmer,auprc,0.5389593901915464,0.02703303638678874,0.5139378219123836,0.5602969728347474,15,5,0
strict,sequence_kmer,auroc,0.6128032624255181,0.012818924929640794,0.6024324053675152,0.6231741194835209,15,5,0
strict,sequence_kmer,balanced_accuracy,0.5280284458685859,0.0057952698008653025,0.5231460354427008,0.5325250840202543,15,5,0
strict,sequence_kmer,f1,0.6124468859709691,0.01619484378330135,0.5986831540868239,0.625320475867918,15,5,0
strict,sequence_kmer,precision,0.45409976769902255,0.014358962931368523,0.4418132561513154,0.46542980341457685,15,5,0
strict,sequence_kmer,recall,0.9407050302377906,0.020272487352069712,0.9238384733339488,0.9570215071761312,15,5,0
strict,sequence_kmer,normalized_ap,0.1789543071563555,0.028151112896082322,0.1557925724688027,0.20211604184390833,15,5,0
