context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,15961.4,0.46332603602015643,Delta_T_given_C_S,0.0024600792148282108,0.010699430558254648,-0.007222084100351692,0.010112156490208335,15,5,0
1hop,high,auprc,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm,0.5762879203637806,0.04417227094134396,0.5352950431764403,0.6061515318633136,15,5,0
1hop,high,auprc,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5787479995786088,0.052517764492375815,0.5284440530023887,0.6101588345564054,15,5,0
1hop,high,auroc,15961.4,0.46332603602015643,Delta_T_given_C_S,0.00024375281304093535,0.009203305958139701,-0.007914499826333417,0.006148866337682128,15,5,0
1hop,high,auroc,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm,0.6370249624981829,0.018769611731361047,0.622424962704784,0.6552516328312161,15,5,0
1hop,high,auroc,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6372687153112238,0.024344315586692252,0.6157539538858567,0.6579103955996145,15,5,0
1hop,high,normalized_ap,15961.4,0.46332603602015643,Delta_T_given_C_S,0.0052180100574365845,0.019097646755944837,-0.01193410360716562,0.018968582897845476,15,5,0
1hop,high,normalized_ap,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm,0.21187199257872397,0.04494387591918942,0.16842740836531775,0.24596079359797018,15,5,0
1hop,high,normalized_ap,15961.4,0.46332603602015643,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.21709000263616057,0.058801146691685804,0.16201699193100158,0.2577176636265499,15,5,0
1hop,low,auprc,11674.8,0.44396670294790697,Delta_T_given_C_S,-0.0019765069691953054,0.004202543908285055,-0.0049137079941948625,0.0009108306514612194,15,5,0
1hop,low,auprc,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm,0.5434230083090371,0.021886255899651576,0.5281333343087493,0.564384178799797,15,5,0
1hop,low,auprc,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5414465013398417,0.02440841672789156,0.5247348604554081,0.5641028605476237,15,5,0
1hop,low,auroc,11674.8,0.44396670294790697,Delta_T_given_C_S,-0.0018460860098192737,0.0029855484486561393,-0.0040574925920632,-0.00023028362811561227,15,5,0
1hop,low,auroc,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm,0.6180048392551926,0.011538742406022838,0.608565568112916,0.6275888804381202,15,5,0
1hop,low,auroc,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6161587532453733,0.010420668004159585,0.6074470820051642,0.6246004351117309,15,5,0
1hop,low,normalized_ap,11674.8,0.44396670294790697,Delta_T_given_C_S,-0.003426413772293594,0.007550421421438353,-0.008698132153651818,0.0017939907936982773,15,5,0
1hop,low,normalized_ap,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm,0.1791397374711508,0.01818625994797368,0.16363521919479151,0.1946442557475101,15,5,0
1hop,low,normalized_ap,11674.8,0.44396670294790697,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.1757133236988572,0.022179141774940167,0.15775871051169368,0.19369096188582666,15,5,0
1hop,medium,auprc,13520.8,0.4659597215556761,Delta_T_given_C_S,-0.0013412879635355793,0.005913765880317162,-0.005919996743790985,0.002512030758947134,15,5,0
1hop,medium,auprc,13520.8,0.4659597215556761,coordinate_plus_frozen_sequence_fm,0.5843991403879129,0.017561416204928574,0.567678045670269,0.5969562472754274,15,5,0
1hop,medium,auprc,13520.8,0.4659597215556761,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5830578524243772,0.01592006047770676,0.5681213718621222,0.5940120801747155,15,5,0
