closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.6009568033210273,0.6399174963559244,0.21999506230223256
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5175167496472426,0.6158159489387851,0.146553857148601
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.599328311347156,0.6429651311911054,0.25342301720804344
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.5873120348793242,0.6304904119806274,0.19332379751975506
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5225191716639206,0.6135502937209968,0.15540244986539967
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.5981222392304315,0.6455323173244456,0.2511757267020405
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.5915538438830198,0.6305144359678393,0.20161521056773948
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5214316352692342,0.6143551564300788,0.15347874838855666
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.5997689847693857,0.6441346947007679,0.25424412996265555
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.5924036399105135,0.6362455177770916,0.20327629664312566
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5173163750680801,0.6107641311769779,0.1461994222296963
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.5957529437480776,0.6450137063927917,0.246760986348147
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.5934261986672666,0.631907130723376,0.20527507994776928
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5258526385545704,0.6181074461402349,0.16129889177932713
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.5969988846029847,0.6441396171788046,0.24908256481385105
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,19326,0.48840939666770156,0.5846710353533953,0.6329791663275681,0.1881614675067985
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,19326,0.48840939666770156,0.5925401482115333,0.6344057539785336,0.203543127777495
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,14747,0.4346646775615379,0.526780233090793,0.6170152527583651,0.16293967822837052
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,14747,0.4346646775615379,0.5221677677370777,0.6106783155817057,0.15478086491767848
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,16004,0.46332166958260435,0.602191059027743,0.6493422054130458,0.25875721372453114
strict,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16004,0.46332166958260435,0.5960756492413453,0.6452545388270072,0.24736228786337056
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,21747,0.4960684232307905,0.6144623011234194,0.6319635836853464,0.23494038347759838
1hop,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21747,0.4960684232307905,0.6141393565635318,0.6343325696076281,0.23429953345990745
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,13707,0.4364193477785073,0.5346964591231838,0.6109270746435639,0.17437985310051518
1hop,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13707,0.4364193477785073,0.5344616006662865,0.6089213920077384,0.17396312755117002
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,15674,0.46567564118923055,0.553305143490115,0.6108152537763301,0.16400057541063426
1hop,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15674,0.46567564118923055,0.55726471747074,0.6131288645142556,0.17141100676255278
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm,21747,0.4960684232307905,0.6144623011234194,0.6319635836853464,0.23494038347759838
strict,fold_b,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21747,0.4960684232307905,0.6104455448418696,0.6336187526819466,0.22696954682691292
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm,13707,0.4364193477785073,0.5346964591231838,0.6109270746435639,0.17437985310051518
strict,fold_b,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,13707,0.4364193477785073,0.5285103103475239,0.6085156872992223,0.16340334290401431
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm,15674,0.46567564118923055,0.553305143490115,0.6108152537763301,0.16400057541063426
strict,fold_b,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,15674,0.46567564118923055,0.5510932674383905,0.6098399576306712,0.15986099986021884
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm,21747,0.4960684232307905,0.6144623011234194,0.6319635836853464,0.23494038347759838
1hop,fold_b,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21747,0.4960684232307905,0.6144850562915777,0.6364906538250586,0.23498553875106665
1hop,fold_b,314159,low,coordinate_plus_frozen_sequence_fm,13707,0.4364193477785073,0.5346964591231838,0.6109270746435639,0.17437985310051518
