feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",19.999998880057188,0.4918932225629138,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.4918932225629138,0.505095339006962,0.4829998514317449,0.4645446013139764,0.4645524623557135,0.999914030261348,0.6343778123210341,0.6931072549866681,0.2499800378033965,0.0354547469321958,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.4999756628015799,51128,0.4645645705613355,0.0344304464307421
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.1986794354415442,0.3941742962442781,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.3941742962442781,0.6012656598433462,0.542267979857832,0.4916428699802304,0.476472481493402,0.9545220082530947,0.6356467102720806,0.6798168771391204,0.2432712183425108,0.0425966818459735,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.5222764816933994,51128,0.4645645705613355,0.1451219045739251
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.6098118905533902,0.352646876146477,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.352646876146477,0.630279568921766,0.570747191471635,0.5059608203366815,0.4839739413680782,0.9580037826685008,0.6430735493551086,0.6679059018128836,0.2376703920691156,0.0392726834583406,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.5358772875972571,51128,0.4645645705613355,0.1983107860860427
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,2.3242341549625,0.3717124969497888,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.3717124969497888,0.5267237427968562,0.4937457069422735,0.4645645705613355,0.4645560770997703,0.999742090784044,0.6343465750248878,0.6916261549224695,0.2492408949216875,0.0357888301136127,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.4999829314174574,51128,0.4645645705613355,0.0544998234642982
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.63542455906325,0.3524719029322217,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.3524719029322217,0.6354840413706915,0.5758220536122938,0.5053817121632685,0.4837075367527659,0.9603249656121046,0.6433600668096932,0.6662949495489778,0.2368889503892526,0.0400762422930137,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.5354901223838691,51128,0.4645645705613355,0.2077887956865264
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,4.803823747067722,0.4436758430305652,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.4436758430305652,0.527113198089155,0.488830900180093,0.4645446013139764,0.4645269595107718,0.99914030261348,0.6341982483424736,0.6923113802778803,0.2495822795504353,0.0363810749169187,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.4999244570539522,51128,0.4645645705613355,0.0453207395039166
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.716239806148673,0.348774569002201,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.348774569002201,0.6350414100773656,0.5790060507281076,0.5038241108692614,0.4829443833904367,0.9633768913342504,0.6433666805414018,0.6661680664728649,0.2367818117901183,0.0387174227425582,p1,gastroesophageal_sphincter,fold_a,20260806,1hop,1hop,0.5342375822799622,51128,0.4645645705613355,0.2137353523407095
coordinate,"reference coordinate, node length, and constant orientation",19.999998880057188,0.4918932225629138,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.4918932225629138,0.505095339006962,0.4829998514317449,0.4645446013139764,0.4645524623557135,0.999914030261348,0.6343778123210341,0.6931072549866681,0.2499800378033965,0.0354547469321958,p1,gastroesophageal_sphincter,fold_a,20260806,strict,strict,0.4999756628015799,51128,0.4645645705613355,0.0344304464307421
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.1986794354415442,0.3941742962442781,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.3941742962442781,0.6012656598433462,0.542267979857832,0.4916428699802304,0.476472481493402,0.9545220082530947,0.6356467102720806,0.6798168771391204,0.2432712183425108,0.0425966818459735,p1,gastroesophageal_sphincter,fold_a,20260806,strict,strict,0.5222764816933994,51128,0.4645645705613355,0.1451219045739251
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.6098118905533902,0.352646876146477,104580,51128,50077,all_test_chromosomes,all,50077,0.4645645705613355,0.352646876146477,0.630279568921766,0.570747191471635,0.5059608203366815,0.4839739413680782,0.9580037826685008,0.6430735493551086,0.6679059018128836,0.2376703920691156,0.0392726834583406,p1,gastroesophageal_sphincter,fold_a,20260806,strict,strict,0.5358772875972571,51128,0.4645645705613355,0.1983107860860427
