context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.4648809852026988,0.012239164156812558,0.4547825774590731,0.4754397586413525,15,5,0
1hop,coordinate,auroc,0.5044752840907234,0.009284201086073363,0.4966312043508151,0.5123193638306316,15,5,0
1hop,coordinate,balanced_accuracy,0.500089533267333,0.000145298049326006,0.4999680662832398,0.5002110002514262,15,5,0
1hop,coordinate,f1,0.628931980030028,0.011945902561705662,0.617451193108156,0.6361934827984306,15,5,0
1hop,coordinate,precision,0.45945793642963456,0.01298147021953597,0.44728517079896907,0.4677916466013914,15,5,0
1hop,coordinate,recall,0.9970952246656489,0.004699359391989699,0.9925489436236148,0.9997287057924438,15,5,0
1hop,coordinate,normalized_ap,0.0097885308535621,0.025517899527523515,-0.011169359399336902,0.0307464211064611,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.47060818187844927,0.026232710807179174,0.44582037480898445,0.48651341996432235,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5142002287691628,0.014854934596740223,0.5015848246240144,0.5249357739057521,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5002254468198185,0.0013361247313854075,0.4996309765466752,0.5011125620312078,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.6289657095485061,0.012990290874511451,0.6164657895108219,0.6371310001576598,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.45952723030605,0.01285709370005417,0.447205736754277,0.46781300351074834,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9967122804657832,0.005432718217648257,0.9918545166579956,0.999536800662049,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.02114337367920705,0.028541102745907918,-0.0027140400749452163,0.04246830533550769,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5719655396279387,0.016936602472039312,0.555469008212462,0.582780109233275,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.6326613703510702,0.009936510371226668,0.6249902216826604,0.6412454981700769,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5576940044276623,0.017573713083761502,0.5426784103880231,0.5727095984673015,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.6374654287686143,0.013486288374814996,0.6244629208304169,0.6446811989888952,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.4945781157765069,0.009352347973561607,0.4869632975127093,0.5022026332758378,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.8982307105121965,0.046759417806018236,0.8556814797371867,0.9364428228856685,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.20839322503776128,0.016455083746681354,0.19473521834795618,0.22338426568752243,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5725682213780028,0.02173736880418909,0.5518157498052862,0.5860582625736549,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6325595125921549,0.011949714095679442,0.623045570714044,0.6426739596040162,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5509730991724571,0.016303932601721426,0.5403754275205344,0.5644850758771811,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6360168791139708,0.01690721236044077,0.6196062715233264,0.6447448288854115,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4902378409072845,0.006495078973913376,0.48659818292227486,0.49403466187408274,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.9086196808020652,0.06546622016728018,0.8477196889364444,0.947471006808617,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.20969152629292326,0.02383248300048235,0.1887779632345949,0.22796845796979157,15,5,0
1hop,frozen_pangenomefm,auprc,0.4745108807229224,0.027984325032023114,0.4478588807015653,0.49064988342290244,15,5,0
1hop,frozen_pangenomefm,auroc,0.5186495704986905,0.016565864537158703,0.5036180477379818,0.529564651024174,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5003559666139454,0.0012837045559961134,0.49991937353372534,0.5013240162828121,15,5,0
1hop,frozen_pangenomefm,f1,0.6287828375663952,0.013348854005221388,0.6159026775742406,0.6371430032796095,15,5,0
1hop,frozen_pangenomefm,precision,0.4595930287154518,0.012754972466868334,0.44741994231672233,0.46785496743485966,15,5,0
1hop,frozen_pangenomefm,recall,0.995413850696779,0.007842656504195153,0.9881572017973349,0.9997916211800325,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.02846858720870181,0.030275241384423272,0.0016678468535041705,0.049037497619447305,15,5,0
1hop,frozen_sequence_fm,auprc,0.5692601939576459,0.015883655830239603,0.5539829638370228,0.5795872703838504,15,5,0
1hop,frozen_sequence_fm,auroc,0.6293448516989445,0.008399419146348196,0.6231451651660732,0.6372055402243878,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5471654367009139,0.01222284090987059,0.5366869683055804,0.5576439050962476,15,5,0
