context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.4378658005130291,0.022830193915485193,0.4175888571307329,0.45642276089426986,15,5,0
1hop,coordinate,auroc,0.5061252542581636,0.01350470822070133,0.4929061002356907,0.5148474380814223,15,5,0
1hop,coordinate,normalized_ap,0.0066211571879234935,0.02268997176950467,-0.015076386840548446,0.021680089222579014,15,5,0
1hop,coordinate,balanced_accuracy,0.5002076826898388,0.000283445299620601,0.5000098645373559,0.5004915611857298,15,5,0
1hop,coordinate,f1,0.6042788824629919,0.020563705349034987,0.5839877777693026,0.6176540387844441,15,5,0
1hop,coordinate,precision,0.4340878183634655,0.020819668319981048,0.41364787246058743,0.44766360625501483,15,5,0
1hop,coordinate,recall,0.9974011369985039,0.00267036337981326,0.9950783977991641,0.9995595536523865,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.4540129139860366,0.03354069556772724,0.42316949206414245,0.47780012683001133,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5264783297773732,0.017199931743200027,0.5125906010895818,0.5405482031117328,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.03566770359600168,0.028809949604640627,0.013150900847164994,0.06044130451129135,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5008603338559454,0.0010424789351638141,0.5001413459292051,0.5017734077263513,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.6035984104412141,0.022081355893868303,0.5819900533553366,0.6175582198247004,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.4344228921203632,0.020436883152651405,0.4143387517911712,0.44810045232016293,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9907717339887588,0.013355597662565114,0.9785005798974843,0.9984388778039581,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5699306686362579,0.02564332365083336,0.5458719160524629,0.5872063975934018,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.6546756046467207,0.010168524355534284,0.6480740941673919,0.6645246261697816,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.23979068935789816,0.021110096686141493,0.2216306002089863,0.25942341950249515,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5793131395198791,0.013090893070869887,0.5686039920907496,0.5905020114877663,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.624098985657037,0.01964155165267165,0.6059880648950534,0.6374433117049205,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.48578559736844706,0.012527314677563125,0.47509632925253237,0.49537536971726015,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.874537447119885,0.0394113634750455,0.8375581607545387,0.900987850018793,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5707352566821783,0.027854076186448955,0.5440375685114028,0.5891633212983077,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6551190509120939,0.0110057566215074,0.6480600465059734,0.6656151425958386,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.24135712043854973,0.0243578599414664,0.21931572273951008,0.26310031451325433,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5774544855950298,0.014251363298508117,0.5660276161561931,0.5899345802610642,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6232848922067685,0.02031723818779897,0.6040370223974535,0.636800605143125,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4847046286240978,0.011392530351801062,0.47537055971247844,0.49409036172209836,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.8757754303024685,0.04892892642463461,0.8282138511979096,0.9027547922739227,15,5,0
1hop,frozen_pangenomefm,auprc,0.4552316638876776,0.03405461223059563,0.4232555528283386,0.4778034573181301,15,5,0
1hop,frozen_pangenomefm,auroc,0.5277185146873501,0.018062283946239623,0.5121126525367092,0.542105755891347,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.038008258262101385,0.027794858772803892,0.014392851055123864,0.06044367255970298,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5007906060851071,0.0012030112594053444,0.5000517058723523,0.5016772670636638,15,5,0
1hop,frozen_pangenomefm,f1,0.6035211685390809,0.02228371808549596,0.5817723353062999,0.6177250661031579,15,5,0
