context,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs,tissue
1hop,Delta_T_given_C_S,0.0014297087241451,0.0026124483417638,-0.0007417848391084,0.0031836316439904,15,5,0,thyroid_gland
1hop,Delta_S_given_C_T,0.1096506700857616,0.0083284386510307,0.1039118271689154,0.1161784910529726,15,5,0,thyroid_gland
strict,Delta_T_given_C_S,0.0011070579792378,0.0022208981472528,-0.0003755018731384,0.0029962897219152,15,5,0,thyroid_gland
strict,Delta_S_given_C_T,0.1146544498647313,0.0098093884876748,0.1069547547945764,0.1217960374028932,15,5,0,thyroid_gland
1hop,Delta_T_given_C_S,0.0016084474662758,0.0043467635614386,-0.0020431531655984,0.0041627280357353,15,5,0,tibial_nerve
1hop,Delta_S_given_C_T,0.1371411198750403,0.012219886170417,0.1270916890691479,0.1469553776919117,15,5,0,tibial_nerve
strict,Delta_T_given_C_S,0.0027635533281283,0.0029556135096986,0.000572739867875,0.0051212593763477,15,5,0,tibial_nerve
strict,Delta_S_given_C_T,0.1372698302847406,0.0104738417874914,0.1298003571990927,0.1456621178949772,15,5,0,tibial_nerve
1hop,Delta_T_given_C_S,0.0004737174863046,0.0016563861261827,-0.0004453890464931,0.0013611760065528,15,5,0,body_of_pancreas
1hop,Delta_S_given_C_T,0.0984228203241114,0.0072752255604096,0.0926289114459538,0.1030550692750992,15,5,0,body_of_pancreas
strict,Delta_T_given_C_S,0.0008619880231245,0.0017073782840409,-0.0002057246771809,0.0020026285515684,15,5,0,body_of_pancreas
strict,Delta_S_given_C_T,0.0983972704336569,0.0101629938514908,0.0912200205304457,0.1064544436453241,15,5,0,body_of_pancreas
1hop,Delta_T_given_C_S,0.0006026817500642,0.0052586225012152,-0.0042544703905174,0.0042785156935769,15,5,0,gastroesophageal_sphincter
1hop,Delta_S_given_C_T,0.1019600394995536,0.0094389918697277,0.0948044614395607,0.1087306210179662,15,5,0,gastroesophageal_sphincter
strict,Delta_T_given_C_S,0.0004924595004557,0.0028826637213571,-0.0017820795848722,0.002690662587405,15,5,0,gastroesophageal_sphincter
strict,Delta_S_given_C_T,0.1002793461812784,0.0075608382356139,0.0954310661009846,0.1054832382077091,15,5,0,gastroesophageal_sphincter
1hop,Delta_T_given_C_S,-9.16151971869635e-05,0.0019626863578777,-0.0015693035299926,0.0011125694843383,15,5,0,Peyers_patch
1hop,Delta_S_given_C_T,0.1364370636962419,0.0136857200170495,0.1259297815209566,0.1478854919831794,15,5,0,Peyers_patch
strict,Delta_T_given_C_S,-0.0007778805504601,0.0014548406862684,-0.0016829573077257,0.0001264554026695,15,5,0,Peyers_patch
strict,Delta_S_given_C_T,0.1388029273213935,0.0155771194315782,0.1290893238060911,0.1532895609537054,15,5,0,Peyers_patch
