context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,19558.4,0.4808090835905984,Delta_T_given_C_S,0.0021922415918824785,0.005686404933504191,-0.002768993517852535,0.006284369513634287,15,5,0
1hop,high,auprc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.5969970580351623,0.03419651021192387,0.5658343448778158,0.6223849773442001,15,5,0
1hop,high,auprc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5991892996270448,0.037849157992758856,0.563559812507414,0.6256264919208996,15,5,0
1hop,high,auroc,19558.4,0.4808090835905984,Delta_T_given_C_S,0.0014180673652159767,0.0026891788095821773,-0.0010075559721692377,0.0031408020367413273,15,5,0
1hop,high,auroc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.6397673581264285,0.010188933921565764,0.6321128224261978,0.6492148816876092,15,5,0
1hop,high,auroc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6411854254916444,0.01051668022308304,0.6332982562544571,0.6511039048616345,15,5,0
1hop,high,normalized_ap,19558.4,0.4808090835905984,Delta_T_given_C_S,0.004660160821187071,0.010607604967243032,-0.004460548912952549,0.01238224193038586,15,5,0
1hop,high,normalized_ap,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.22446681333099328,0.02239324156284381,0.20538101502321252,0.24355261163877404,15,5,0
1hop,high,normalized_ap,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.22912697415218033,0.026014317970336265,0.20631954337103928,0.249156279769832,15,5,0
1hop,low,auprc,15033.0,0.39314785771436495,Delta_T_given_C_S,-0.0003965673869935256,0.002894936792499386,-0.002121611071553789,0.0016385549650785097,15,5,0
1hop,low,auprc,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm,0.5095585265280873,0.032467456764834986,0.48271496079785947,0.5364020922583151,15,5,0
1hop,low,auprc,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5091619591410939,0.03249710786786275,0.4823356641634076,0.5354825385868496,15,5,0
1hop,low,auroc,15033.0,0.39314785771436495,Delta_T_given_C_S,0.0004471942636826413,0.0018357916149437743,-0.0007136151517895062,0.001611905581506139,15,5,0
1hop,low,auroc,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm,0.6348059662367328,0.005164187787202369,0.6305788587419432,0.639306479868523,15,5,0
1hop,low,auroc,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6352531605004155,0.005465584212025413,0.630853347077859,0.6399441669938801,15,5,0
1hop,low,normalized_ap,15033.0,0.39314785771436495,Delta_T_given_C_S,-0.000677279565065364,0.004731567714570348,-0.0035123613312729434,0.002598706520210117,15,5,0
1hop,low,normalized_ap,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm,0.19230408487166403,0.024178263263673904,0.17381213579266971,0.21576669589989422,15,5,0
1hop,low,normalized_ap,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.1916268053065987,0.024872875870963696,0.17187878407792193,0.21511110594419475,15,5,0
1hop,medium,auprc,17587.8,0.4402253634786472,Delta_T_given_C_S,0.001706307502032948,0.0032355352262548433,-0.00047127194169182776,0.00413747963150071,15,5,0
1hop,medium,auprc,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm,0.5718583092776772,0.025972525950798506,0.5500359934353148,0.5936806251200396,15,5,0
1hop,medium,auprc,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5735646167797103,0.02476281009540224,0.5525856623407116,0.5934041308410137,15,5,0
1hop,medium,auroc,17587.8,0.4402253634786472,Delta_T_given_C_S,0.0006201139164402199,0.002124759402852355,-0.0010560851540098676,0.002267917177528491,15,5,0
1hop,medium,auroc,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm,0.6519458159291308,0.008243096434273085,0.6441524989672821,0.6579958686576496,15,5,0
1hop,medium,auroc,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6525659298455709,0.008149959036624656,0.6448255194785154,0.6589669699524723,15,5,0
1hop,medium,normalized_ap,17587.8,0.4402253634786472,Delta_T_given_C_S,0.002955793417386776,0.005732400953246197,-0.0009431979943682926,0.007240450319128107,15,5,0
1hop,medium,normalized_ap,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm,0.23568419648981534,0.02688514224367436,0.21048487534336843,0.2566521412232229,15,5,0
1hop,medium,normalized_ap,17587.8,0.4402253634786472,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.23863998990720212,0.0260231824858912,0.21434619570614527,0.25748327818991307,15,5,0
strict,high,auprc,19558.4,0.4808090835905984,Delta_T_given_C_S,0.0025555377915770596,0.002930079056157886,0.0005717978954385433,0.004851161171410428,15,5,0
strict,high,auprc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.5969970580351623,0.03419651021192387,0.5658343448778158,0.6223849773442001,15,5,0
strict,high,auprc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5995525958267395,0.033160169658393426,0.569459456695429,0.6235520428617373,15,5,0
strict,high,auroc,19558.4,0.4808090835905984,Delta_T_given_C_S,0.0009516664457341895,0.001875005614834792,-0.0003273202252156885,0.0022401686261489125,15,5,0
strict,high,auroc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.6397673581264285,0.010188933921565764,0.6321128224261978,0.6492148816876092,15,5,0
strict,high,auroc,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6407190245721627,0.01012524158531612,0.6328362975525119,0.6496501650300193,15,5,0
strict,high,normalized_ap,19558.4,0.4808090835905984,Delta_T_given_C_S,0.0047888515981645745,0.005555105704060071,0.0010492379150270294,0.009101170855692417,15,5,0
strict,high,normalized_ap,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm,0.22446681333099328,0.02239324156284381,0.20538101502321252,0.24355261163877404,15,5,0
strict,high,normalized_ap,19558.4,0.4808090835905984,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.22925566492915786,0.022428044777534635,0.21070517430046132,0.24799649784231848,15,5,0
strict,low,auprc,15033.0,0.39314785771436495,Delta_T_given_C_S,-3.363289949394795e-05,0.002367649506956455,-0.001938999234013956,0.0014751776199859717,15,5,0
strict,low,auprc,15033.0,0.39314785771436495,coordinate_plus_frozen_sequence_fm,0.5095585265280873,0.032467456764834986,0.48271496079785947,0.5364020922583151,15,5,0
