closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.6241114934962094,0.6348654513774863,0.22441311726869487
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18874,0.38174207905054575,0.5013293054686992,0.6394750672151681,0.19342611289881131
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,21645,0.4680988680988681,0.6039539827049755,0.6573099243550666,0.25541422354288146
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21645,0.4680988680988681,0.6015083244826354,0.6558317210133627,0.2508162671264347
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.615963863777347,0.6299789336803687,0.2076017633007924
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18874,0.38174207905054575,0.5013705870621903,0.6386642746795144,0.19349288372712134
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,21645,0.4680988680988681,0.6039539827049755,0.6573099243550666,0.25541422354288146
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21645,0.4680988680988681,0.602985290194507,0.6571474121720109,0.25359303450535076
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.6191297159835523,0.6307185997306928,0.21413400198677093
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18874,0.38174207905054575,0.49769816098366937,0.6395497028283448,0.18755292573534793
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,21645,0.4680988680988681,0.6039539827049755,0.6573099243550666,0.25541422354288146
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21645,0.4680988680988681,0.6024486946770083,0.6542085451798271,0.25258420883208943
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.6124470664939338,0.6275891844897454,0.20034540457993086
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18874,0.38174207905054575,0.4975394734544186,0.6360444754510979,0.1872962569182189
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,21645,0.4680988680988681,0.6039539827049755,0.6573099243550666,0.25541422354288146
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21645,0.4680988680988681,0.6016078714661592,0.6562566641825343,0.25100342029749123
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.6204035201674031,0.6336491305569654,0.21676229681108472
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18874,0.38174207905054575,0.5014904327680997,0.6399314208735531,0.19368672791714053
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,21645,0.4680988680988681,0.6039539827049755,0.6573099243550666,0.25541422354288146
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,21645,0.4680988680988681,0.602621323498437,0.6556363497704529,0.2529087594131563
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,23714,0.5153495825250907,0.6141856776308254,0.6294434348396754,0.20393275553270637
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,23714,0.5153495825250907,0.6157175344906287,0.6294587278903017,0.20709350151490205
strict,fold_a,42,low,coordinate_plus_frozen_sequence_fm,18874,0.38174207905054575,0.499513240430254,0.638913611151072,0.19048872224531785
