context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.4424121458697177,0.02075031999462491,0.4239504160875571,0.45911242785342476,15,5,0
1hop,coordinate,auroc,0.5019361769461108,0.015363844981804212,0.48800396113748856,0.5131343005969582,15,5,0
1hop,coordinate,balanced_accuracy,0.5001669251583064,0.0002675450568895524,0.5000106840103238,0.5004275011829713,15,5,0
1hop,coordinate,f1,0.6132429120680245,0.020899853935398973,0.5933255866609525,0.6261425997176349,15,5,0
1hop,coordinate,precision,0.44256572096551633,0.021344055080645394,0.42226098259057326,0.45578922582466574,15,5,0
1hop,coordinate,recall,0.9997377881810566,0.000292080872598066,0.9994958778390456,0.9999796985230673,15,5,0
1hop,coordinate,normalized_ap,-0.00040433779697827965,0.023480480261087674,-0.022750871728017822,0.014384903470126324,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.46363354583565997,0.031870259836222874,0.4332948467838057,0.48417605007455267,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5286976488518383,0.0140944846787575,0.516381937260887,0.5390876531744533,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5003151257696016,0.0005220615138755111,0.5000772093653181,0.500641227490937,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.6129686001656257,0.02088842709341749,0.5930688266845446,0.6258319367996912,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.4426391760470677,0.02128020276587904,0.4224624641983731,0.45587820805442913,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.9978852647231702,0.003983578662043699,0.9952326300735803,0.9995962407961069,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.03856888569663832,0.02270903301405022,0.019503431219373268,0.05539433974809368,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.5718545071972766,0.022659272471449082,0.550010043328304,0.5859593288121059,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.6496400589633716,0.005851473071337496,0.6445864728227827,0.6544314875269529,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5722572322865779,0.00908223958046829,0.5651032864045745,0.5797030956490092,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.6290998827521631,0.01856047298411495,0.6115488193075311,0.641876995277895,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.486703185122806,0.01605429712375148,0.4712847392990012,0.496878962703749,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.8895665254779357,0.025404683340308112,0.8691862601972752,0.9123524022459978,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.23241598887394657,0.011961422273864538,0.22220168361328774,0.24126462520367867,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.5732842159214218,0.024787011535818256,0.5494140625609885,0.5886059818308796,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.6503368977373204,0.006388967609978357,0.6449792269245497,0.6556537268229695,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5698220506982262,0.009834307080640424,0.5627184924996786,0.5781847996373514,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.6282793731151385,0.018666447611705474,0.610763500468819,0.6410158170304631,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.4849960899614889,0.01637677981366261,0.46997317601112054,0.49661768608349777,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.8921482981695525,0.027017621210413848,0.8694710950528487,0.9108462647842991,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.23511311293920567,0.015410872080941105,0.22053651545303743,0.24605549003321614,15,5,0
1hop,frozen_pangenomefm,auprc,0.464041066874431,0.03330762048857867,0.4322109701839144,0.48512618123530116,15,5,0
1hop,frozen_pangenomefm,auroc,0.5288782412552929,0.015871560549649808,0.5145178791747358,0.5402287543067862,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5001327626664435,0.0003445707641127981,0.49992042907051387,0.5003159221700306,15,5,0
1hop,frozen_pangenomefm,f1,0.6130141315763181,0.02088471450862866,0.5930669768795718,0.62591947400929,15,5,0
1hop,frozen_pangenomefm,precision,0.44254863961883,0.021308598194547487,0.4222216456376166,0.45583116642400984,15,5,0
1hop,frozen_pangenomefm,recall,0.9985959070811693,0.0020978265622951255,0.997291364339384,0.9995715932944372,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.039400952114079235,0.024287556213118424,0.018159961050849025,0.0568942806563485,15,5,0
1hop,frozen_sequence_fm,auprc,0.5708358133091803,0.021369435006309136,0.5503775773765381,0.5851995610162944,15,5,0
1hop,frozen_sequence_fm,auroc,0.648357615015684,0.006292592343626025,0.6428681393040365,0.6534334644468308,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5708957588211141,0.009765422338582973,0.5631049454454509,0.5792051105313292,15,5,0
1hop,frozen_sequence_fm,f1,0.628613316375087,0.018924365785360827,0.6106936631457673,0.6417553389516045,15,5,0
1hop,frozen_sequence_fm,precision,0.48581385894837104,0.014488208735040267,0.47174448595298374,0.494662128979824,15,5,0
1hop,frozen_sequence_fm,recall,0.8904108795404565,0.029019317608350685,0.8647363685054994,0.9134117348506723,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.23050531316925646,0.010329997737747126,0.22150886863883062,0.2390021611043867,15,5,0
1hop,sequence_kmer,auprc,0.5435774485911052,0.02275751487875974,0.5217348810916996,0.55961183292017,15,5,0
1hop,sequence_kmer,auroc,0.6215988170222739,0.010652844650023753,0.6117749214374061,0.6296565896555216,15,5,0
1hop,sequence_kmer,balanced_accuracy,0.5505214074002492,0.004112557548251022,0.5467029025938887,0.5537519557575167,15,5,0
1hop,sequence_kmer,f1,0.6209220545258608,0.01993231977050299,0.601643342594201,0.6339212634287733,15,5,0
1hop,sequence_kmer,precision,0.4716697734343515,0.022965874148000175,0.450279839265189,0.48705159673691373,15,5,0
