context,stratum,metric,n_test_mean,positive_prevalence_mean,comparison,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,high,auprc,18579.2,0.45543499886807426,Delta_T_given_C_S,0.0035241851873961303,0.007706328630556613,-0.003294820239956341,0.008846592569483617,15,5,0
1hop,high,auprc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm,0.5978691563382034,0.04722198945454422,0.5596375307289556,0.6351873404322584,15,5,0
1hop,high,auprc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6013933415255994,0.051728600867566504,0.556105962893254,0.6404761323061765,15,5,0
1hop,high,auroc,18579.2,0.45543499886807426,Delta_T_given_C_S,0.0009697405375080829,0.006881070224457403,-0.005351641551368042,0.005163233337605737,15,5,0
1hop,high,auroc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm,0.6694539009618271,0.02211575092775185,0.65211397991583,0.6867938220078245,15,5,0
1hop,high,auroc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6704236414993351,0.022012430532883688,0.6539616473849375,0.6901384575297941,15,5,0
1hop,high,normalized_ap,18579.2,0.45543499886807426,Delta_T_given_C_S,0.007143429697712879,0.013718743731564786,-0.004828961916913037,0.016809605687500697,15,5,0
1hop,high,normalized_ap,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm,0.26287773148864974,0.03799532385663453,0.2301816524958859,0.2955738104814135,15,5,0
1hop,high,normalized_ap,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.2700211611863626,0.04215359219655068,0.23447882886707566,0.30433462868231154,15,5,0
1hop,low,auprc,12888.2,0.3965757253237082,Delta_T_given_C_S,0.00039952693269467153,0.004154009702735317,-0.0022068869861868417,0.002925788192201866,15,5,0
1hop,low,auprc,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm,0.5328752624376523,0.04243779461935968,0.49622707307859754,0.5689139907368438,15,5,0
1hop,low,auprc,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5332747893703469,0.043594936897632386,0.4953373420428338,0.5709496986903563,15,5,0
1hop,low,auroc,12888.2,0.3965757253237082,Delta_T_given_C_S,0.0004848765492263318,0.0031825934284050775,-0.0015771018344293095,0.002866137035862979,15,5,0
1hop,low,auroc,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm,0.651051349581538,0.010979868073353292,0.6420089604241538,0.6600937387389219,15,5,0
1hop,low,auroc,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6515362261307642,0.011997606507454033,0.6415342012968862,0.6613902522767017,15,5,0
1hop,low,normalized_ap,12888.2,0.3965757253237082,Delta_T_given_C_S,0.000779846843009376,0.006919264378998083,-0.0035298844364034915,0.004984663717160445,15,5,0
1hop,low,normalized_ap,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm,0.226758016636694,0.03158325758187357,0.2001925640026764,0.2525730984610501,15,5,0
1hop,low,normalized_ap,12888.2,0.3965757253237082,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.22753786347970337,0.03293687306883729,0.19976924299000642,0.2533923374453434,15,5,0
1hop,medium,auprc,15233.4,0.4295747561310196,Delta_T_given_C_S,-0.0004369433303896756,0.0061070579022370515,-0.004213411930475804,0.003727000898019312,15,5,0
1hop,medium,auprc,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm,0.5920468507356593,0.025418913634368337,0.5716336592457597,0.6131257656066055,15,5,0
1hop,medium,auprc,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.5916099074052695,0.02425803297353051,0.5714717876285887,0.6110919707309234,15,5,0
1hop,medium,auroc,15233.4,0.4295747561310196,Delta_T_given_C_S,-0.0006774089287795215,0.003259875269477172,-0.0028766337185631118,0.0018407684125019803,15,5,0
1hop,medium,auroc,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm,0.6788593985703852,0.00845831664970215,0.6728585850410764,0.686890605270915,15,5,0
1hop,medium,auroc,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6781819896416057,0.010586063314679312,0.6714285047462717,0.6882679483902286,15,5,0
1hop,medium,normalized_ap,15233.4,0.4295747561310196,Delta_T_given_C_S,-0.000944748509548532,0.010487879005698272,-0.007423014347163388,0.006187694135882559,15,5,0
1hop,medium,normalized_ap,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm,0.2852271664244736,0.023266590004339702,0.26306459623146544,0.30263792876733486,15,5,0
1hop,medium,normalized_ap,15233.4,0.4295747561310196,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.2842824179149251,0.024957338747029215,0.26256465982097077,0.3019174321248431,15,5,0
strict,high,auprc,18579.2,0.45543499886807426,Delta_T_given_C_S,0.005979379304117701,0.002986998068173187,0.0038985289749853933,0.008419613199047552,15,5,0
strict,high,auprc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm,0.5978691563382034,0.04722198945454422,0.5596375307289556,0.6351873404322584,15,5,0
strict,high,auprc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6038485356423211,0.04773318942872917,0.5629524477057481,0.6409349594090232,15,5,0
strict,high,auroc,18579.2,0.45543499886807426,Delta_T_given_C_S,0.0033359079047855806,0.003997538941745812,0.0002322487241612281,0.006476112323583288,15,5,0
strict,high,auroc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm,0.6694539009618271,0.02211575092775185,0.65211397991583,0.6867938220078245,15,5,0
strict,high,auroc,18579.2,0.45543499886807426,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.6727898088666127,0.021988602974178192,0.6553564887777646,0.6910415472356797,15,5,0
strict,high,normalized_ap,18579.2,0.45543499886807426,Delta_T_given_C_S,0.01106762819561787,0.005294577964312534,0.007142748695857096,0.015126495530389635,15,5,0
