closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,22395,0.49912926992632284,0.6115022553911125,0.6468327770326247,0.22435526517642537
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,22395,0.49912926992632284,0.6246849488742109,0.6530237488904651,0.25067481769082217
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16092,0.39734029331344767,0.5228686112686398,0.6502851150087667,0.20829054367240174
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16092,0.39734029331344767,0.5271985142442649,0.6529766512003126,0.21547520016691182
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,18307,0.4584585131370514,0.6271371370232375,0.6804955237465653,0.3114786733391576
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18307,0.4584585131370514,0.6245863135864628,0.676223024263882,0.3067683722843831
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,22395,0.49912926992632284,0.6115022553911125,0.6468327770326247,0.22435526517642537
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,22395,0.49912926992632284,0.6166808421371401,0.6476257633512689,0.23469443341902943
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,16092,0.39734029331344767,0.5228686112686398,0.6502851150087667,0.20829054367240174
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,16092,0.39734029331344767,0.5180167278537067,0.6469774909492187,0.20023975918971415
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,18307,0.4584585131370514,0.6271371370232375,0.6804955237465653,0.3114786733391576
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,18307,0.4584585131370514,0.6226759564248122,0.6750052596978361,0.3032407438237883
