feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",19.999998942736,0.4964271884984224,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4964271884984224,0.496469890311438,0.4577409555024138,0.4572137901891044,0.4571946753063812,1.0,0.6274997885375255,0.6931516002836602,0.2500022098834741,0.0428290135005943,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5000324369911447,57787,0.4571785752016058,0.0010360318792075
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.057664145578785,0.3803895686950005,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3803895686950005,0.6342199213133437,0.5634723013875167,0.5190689157305349,0.4862708379979238,0.9200847294434816,0.6362692092577303,0.6695892410852317,0.2381202672672983,0.0529758526525319,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5507037549711813,57787,0.4571785752016058,0.1958171165137572
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.34048846319189,0.3733909901701505,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3733909901701505,0.6621284167924373,0.5964441659443582,0.5493009824981512,0.5039768306388865,0.898055074138263,0.6456328824775379,0.6544417197604124,0.2312032336312597,0.0496285716853049,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5768130636836828,57787,0.4571785752016058,0.2565587583328645
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.6426909992739311,0.2934011422692097,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.2934011422692097,0.5325145457231246,0.4867676614561666,0.4571961826953551,0.4571866251122497,1.0,0.6274922061915464,0.6910948153162167,0.248976495121824,0.0422661618611833,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5000162184955723,57787,0.4571785752016058,0.054509798071346
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.3243732453657198,0.3891017135329544,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3891017135329544,0.6649628045528493,0.6000259826715045,0.5636334824101138,0.5131743201069996,0.8866165992682458,0.6500811860218849,0.6529890210329009,0.2305558828177635,0.0502727490212011,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5891125748295558,57787,0.4571785752016058,0.2631572759364697
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.8269846463874169,0.3067860646257437,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3067860646257437,0.5315999574927379,0.4847983342629249,0.4571961826953551,0.4571866251122497,1.0,0.6274922061915464,0.6912951202578744,0.2490762614086299,0.0426024051813839,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5000162184955723,57787,0.4571785752016058,0.0508818513778765
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.3330305031904908,0.368300913552164,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.368300913552164,0.666350192067526,0.6052547239101214,0.5501285347043702,0.504480964001123,0.8997111496244945,0.6464744299313704,0.6521577654354382,0.2301017467217301,0.0496995251101018,p1,tibial_nerve,fold_a,20260806,1hop,1hop,0.5777059754090879,57787,0.4571785752016058,0.2727898014775514
coordinate,"reference coordinate, node length, and constant orientation",19.999998942736,0.4964271884984224,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4964271884984224,0.496469890311438,0.4577409555024138,0.4572137901891044,0.4571946753063812,1.0,0.6274997885375255,0.6931516002836602,0.2500022098834741,0.0428290135005943,p1,tibial_nerve,fold_a,20260806,strict,strict,0.5000324369911447,57787,0.4571785752016058,0.0010360318792075
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.057664145578785,0.3803895686950005,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3803895686950005,0.6342199213133437,0.5634723013875167,0.5190689157305349,0.4862708379979238,0.9200847294434816,0.6362692092577303,0.6695892410852317,0.2381202672672983,0.0529758526525319,p1,tibial_nerve,fold_a,20260806,strict,strict,0.5507037549711813,57787,0.4571785752016058,0.1958171165137572
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.34048846319189,0.3733909901701505,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3733909901701505,0.6621284167924373,0.5964441659443582,0.5493009824981512,0.5039768306388865,0.898055074138263,0.6456328824775379,0.6544417197604124,0.2312032336312597,0.0496285716853049,p1,tibial_nerve,fold_a,20260806,strict,strict,0.5768130636836828,57787,0.4571785752016058,0.2565587583328645
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.99526883719276,0.400934412581157,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.400934412581157,0.5107531692573754,0.462502448245602,0.4571785752016058,0.4571619812583668,0.999576352782592,0.6273855711471289,0.6932959513991482,0.2500736139582135,0.0424702046769411,p1,tibial_nerve,fold_a,20260806,strict,strict,0.4999665798425918,57787,0.4571785752016058,0.0098077798715728
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.3243732453657198,0.3891017135329544,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3891017135329544,0.6649628045528493,0.6000259826715045,0.5636334824101138,0.5131743201069996,0.8866165992682458,0.6500811860218849,0.6529890210329009,0.2305558828177635,0.0502727490212011,p1,tibial_nerve,fold_a,20260806,strict,strict,0.5891125748295558,57787,0.4571785752016058,0.2631572759364697
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,2.412319566103554,0.417666729893912,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.417666729893912,0.5129424431670404,0.4654082332436053,0.4569672852766137,0.4570457028084146,0.9990756787983824,0.6271774476264159,0.6932027805075313,0.2500269663671585,0.0428226534092113,p1,tibial_nerve,fold_a,20260806,strict,strict,0.4997324613460594,57787,0.4571785752016058,0.0151608939257621
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.330767376696706,0.368520945919625,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.368520945919625,0.6627883662098447,0.5990138275180078,0.5473465506919745,0.5027544961522797,0.9032928942807624,0.6459733392089898,0.6541802109405317,0.2310925089381411,0.0511591279309273,p1,tibial_nerve,fold_a,20260806,strict,strict,0.5754260053485619,57787,0.4571785752016058,0.2612926569158174
coordinate,"reference coordinate, node length, and constant orientation",19.999998942736,0.4964271884984224,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4964271884984224,0.496469890311438,0.4577409555024138,0.4572137901891044,0.4571946753063812,1.0,0.6274997885375255,0.6931516002836602,0.2500022098834741,0.0428290135005943,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.5000324369911447,57787,0.4571785752016058,0.0010360318792075
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.057664145578785,0.3803895686950005,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3803895686950005,0.6342199213133437,0.5634723013875167,0.5190689157305349,0.4862708379979238,0.9200847294434816,0.6362692092577303,0.6695892410852317,0.2381202672672983,0.0529758526525319,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.5507037549711813,57787,0.4571785752016058,0.1958171165137572
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.34048846319189,0.3733909901701505,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3733909901701505,0.6621284167924373,0.5964441659443582,0.5493009824981512,0.5039768306388865,0.898055074138263,0.6456328824775379,0.6544417197604124,0.2312032336312597,0.0496285716853049,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.5768130636836828,57787,0.4571785752016058,0.2565587583328645
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.7071308770961289,0.3243337659116848,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3243337659116848,0.5193942700158206,0.4731891302997369,0.456879247807867,0.4570039287538979,0.9990371654149816,0.6271305272828374,0.6927784386598729,0.2498066270857808,0.0422053565283067,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.4996483306720696,57787,0.4571785752016058,0.0294950684823788
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.3243732453657198,0.3891017135329544,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3891017135329544,0.6649628045528493,0.6000259826715045,0.5636334824101138,0.5131743201069996,0.8866165992682458,0.6500811860218849,0.6529890210329009,0.2305558828177635,0.0502727490212011,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.5891125748295558,57787,0.4571785752016058,0.2631572759364697
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,2.5272797556345306,0.4323644416219644,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4323644416219644,0.5195959096710561,0.4715958842593093,0.4569848927703631,0.4567903423091241,0.992412863470056,0.6256191123628241,0.692725369961332,0.2497852133238006,0.0424443848087827,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.4992230719114852,57787,0.4571785752016058,0.0265599484453992
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.348987951336547,0.3772348750459701,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3772348750459701,0.6620755119536934,0.6005362030540351,0.5545128006479557,0.5072580997770102,0.8936260350471789,0.6471613649992329,0.6541416243512693,0.2311115547472067,0.0500125767566406,p1,tibial_nerve,fold_a,314159,1hop,1hop,0.5812643458183768,57787,0.4571785752016058,0.264097217433289
coordinate,"reference coordinate, node length, and constant orientation",19.999998942736,0.4964271884984224,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4964271884984224,0.496469890311438,0.4577409555024138,0.4572137901891044,0.4571946753063812,1.0,0.6274997885375255,0.6931516002836602,0.2500022098834741,0.0428290135005943,p1,tibial_nerve,fold_a,314159,strict,strict,0.5000324369911447,57787,0.4571785752016058,0.0010360318792075
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.057664145578785,0.3803895686950005,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3803895686950005,0.6342199213133437,0.5634723013875167,0.5190689157305349,0.4862708379979238,0.9200847294434816,0.6362692092577303,0.6695892410852317,0.2381202672672983,0.0529758526525319,p1,tibial_nerve,fold_a,314159,strict,strict,0.5507037549711813,57787,0.4571785752016058,0.1958171165137572
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.34048846319189,0.3733909901701505,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3733909901701505,0.6621284167924373,0.5964441659443582,0.5493009824981512,0.5039768306388865,0.898055074138263,0.6456328824775379,0.6544417197604124,0.2312032336312597,0.0496285716853049,p1,tibial_nerve,fold_a,314159,strict,strict,0.5768130636836828,57787,0.4571785752016058,0.2565587583328645
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,2.30322774333762,0.3926951416210814,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3926951416210814,0.5137620465429036,0.4664128247143915,0.4571609677078564,0.4571690173084711,0.9999614866165992,0.6274680393436284,0.692783378206458,0.2498185334131603,0.0420774388812596,p1,tibial_nerve,fold_a,314159,strict,strict,0.4999807433082996,57787,0.4571785752016058,0.0170115789298761
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.3243732453657198,0.3891017135329544,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3891017135329544,0.6649628045528493,0.6000259826715045,0.5636334824101138,0.5131743201069996,0.8866165992682458,0.6500811860218849,0.6529890210329009,0.2305558828177635,0.0502727490212011,p1,tibial_nerve,fold_a,314159,strict,strict,0.5891125748295558,57787,0.4571785752016058,0.2631572759364697
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,3.031668629258033,0.3757329851082826,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3757329851082826,0.5146227030442432,0.468469321363582,0.4571785752016058,0.4571785752016058,1.0,0.6274846240288066,0.6927635442444746,0.2498085829487731,0.042543681965637,p1,tibial_nerve,fold_a,314159,strict,strict,0.5,57787,0.4571785752016058,0.020800111502912
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.3296846580704922,0.4200304434676065,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4200304434676065,0.6625252374376196,0.5999461852185077,0.583758847765609,0.5281483813167389,0.840053918736761,0.6485490009514748,0.6539270941925347,0.2310155943694967,0.0501390842383962,p1,tibial_nerve,fold_a,314159,strict,strict,0.6039771361499823,57787,0.4571785752016058,0.2630102709559157
coordinate,"reference coordinate, node length, and constant orientation",19.999998942736,0.4964271884984224,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.4964271884984224,0.496469890311438,0.4577409555024138,0.4572137901891044,0.4571946753063812,1.0,0.6274997885375255,0.6931516002836602,0.2500022098834741,0.0428290135005943,p1,tibial_nerve,fold_a,42,1hop,1hop,0.5000324369911447,57787,0.4571785752016058,0.0010360318792075
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.057664145578785,0.3803895686950005,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3803895686950005,0.6342199213133437,0.5634723013875167,0.5190689157305349,0.4862708379979238,0.9200847294434816,0.6362692092577303,0.6695892410852317,0.2381202672672983,0.0529758526525319,p1,tibial_nerve,fold_a,42,1hop,1hop,0.5507037549711813,57787,0.4571785752016058,0.1958171165137572
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.34048846319189,0.3733909901701505,118923,57787,56794,all_test_chromosomes,all,56794,0.4571785752016058,0.3733909901701505,0.6621284167924373,0.5964441659443582,0.5493009824981512,0.5039768306388865,0.898055074138263,0.6456328824775379,0.6544417197604124,0.2312032336312597,0.0496285716853049,p1,tibial_nerve,fold_a,42,1hop,1hop,0.5768130636836828,57787,0.4571785752016058,0.2565587583328645
