closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,310389,0.03969212826485475,0.0730773830302374,0.5712806167941242,0.03476515787073583
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,310389,0.03969212826485475,0.07030467316908365,0.5735247607348216,0.03187784439266983
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,149780,0.027874215516090265,0.043041794377723236,0.5374403951960096,0.015602485916660734
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,149780,0.027874215516090265,0.03900090846498619,0.5255800437859215,0.011445733799564792
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,183331,0.029711287234564804,0.05389552306370202,0.5308736982402233,0.024924783222726916
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,183331,0.029711287234564804,0.05427626407530656,0.536003111328057,0.0253171829348903
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,310389,0.03969212826485475,0.0730773830302374,0.5712806167941242,0.03476515787073583
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,310389,0.03969212826485475,0.0782626875047917,0.5842326248393719,0.040164785039453255
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,149780,0.027874215516090265,0.043041794377723236,0.5374403951960096,0.015602485916660734
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,149780,0.027874215516090265,0.039702669260701554,0.5204182219675206,0.012167616509514638
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,183331,0.029711287234564804,0.05389552306370202,0.5308736982402233,0.024924783222726916
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,183331,0.029711287234564804,0.059041384822268214,0.5312054906542523,0.030228216820238213
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,310389,0.03969212826485475,0.0730773830302374,0.5712806167941242,0.03476515787073583
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,310389,0.03969212826485475,0.08443400942849327,0.5821825525842464,0.04659118443213014
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,149780,0.027874215516090265,0.043041794377723236,0.5374403951960096,0.015602485916660734
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,149780,0.027874215516090265,0.04180454290473503,0.5407330487885874,0.014329758155772213
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,183331,0.029711287234564804,0.05389552306370202,0.5308736982402233,0.024924783222726916
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,183331,0.029711287234564804,0.05185590528404947,0.5328495724561872,0.022822710146106866
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,310389,0.03969212826485475,0.0730773830302374,0.5712806167941242,0.03476515787073583
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,310389,0.03969212826485475,0.07989937346099277,0.5752599938400038,0.04186911966418542
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,149780,0.027874215516090265,0.043041794377723236,0.5374403951960096,0.015602485916660734
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,149780,0.027874215516090265,0.0411236813672091,0.5243069875495738,0.013629373958178488
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,183331,0.029711287234564804,0.05389552306370202,0.5308736982402233,0.024924783222726916
