feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",1.157494788763147,0.5554923885183268,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.5554923885183268,0.564626179828955,0.0509910270700915,0.9414265734265734,0.092854927101644,0.0818521556831647,0.0870070729580467,0.6902978094911097,0.2485560243434752,0.4640583064496881,p2,ctcf,fold_a,20260806,1hop,1hop,0.5268115462934404,606910,0.034097902097902,0.0174894795330506
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,0.6691815435755274,0.8056978217379208,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8056978217379208,0.5191341334983615,0.0429724680251586,0.9528344988344988,0.0871870397643593,0.0404703308722997,0.0552806050985152,0.6379515360888456,0.2178264457807276,0.4131171698511819,p2,ctcf,fold_a,20260806,1hop,1hop,0.5127563782594101,606910,0.034097902097902,0.0091878524195482
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.0118949795139487,0.8668293043844975,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8668293043844975,0.5583290407588033,0.0614434208217804,0.9590738150738152,0.1144261144261144,0.029714702397229,0.047178002894356,0.6066704545528561,0.2060064471727079,0.3905335527252422,p2,ctcf,fold_a,20260806,1hop,1hop,0.5107981966225331,606910,0.034097902097902,0.0283108596443384
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.4944261326748496,0.6362904709571663,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.6362904709571663,0.5495103441621927,0.0445764128414703,0.9390831390831392,0.0760955000982511,0.0705952055418831,0.073242233675351,0.670630892483985,0.2383799962632471,0.4491564238647559,p2,ctcf,fold_a,20260806,1hop,1hop,0.5201686847938582,606910,0.034097902097902,0.0108484190751082
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.015189012042084,0.8445063053108977,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8445063053108977,0.5597260184895213,0.0619642134610951,0.9562082362082364,0.1822534637326813,0.0815331328046668,0.1126645254738963,0.6072143907113584,0.2061705789797523,0.3905471996687524,p2,ctcf,fold_a,20260806,1hop,1hop,0.5343094055259551,606910,0.034097902097902,0.0288500371038821
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.286597126706523,0.557816129498932,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.557816129498932,0.5511704833624297,0.0453197013277938,0.8476612276612276,0.0499988171559698,0.1926442439157779,0.0793922091581833,0.6678139984350051,0.2366723828002254,0.4459201398448106,p2,ctcf,fold_a,20260806,1hop,1hop,0.5317143138370056,606910,0.034097902097902,0.0116179468439555
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.0251749126277847,0.8533975790176858,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8533975790176858,0.559507807478835,0.0590853199870649,0.9571452991452992,0.1017667844522968,0.0328137817883511,0.049626081262708,0.6112263692146774,0.2079176376037378,0.3915879113858748,p2,ctcf,fold_a,20260806,1hop,1hop,0.5112947372415799,606910,0.034097902097902,0.0258695140464385
coordinate,"reference coordinate, node length, and constant orientation",1.157494788763147,0.5554923885183268,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.5554923885183268,0.564626179828955,0.0509910270700915,0.9414265734265734,0.092854927101644,0.0818521556831647,0.0870070729580467,0.6902978094911097,0.2485560243434752,0.4640583064496881,p2,ctcf,fold_a,20260806,strict,strict,0.5268115462934404,606910,0.034097902097902,0.0174894795330506
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,0.6691815435755274,0.8056978217379208,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8056978217379208,0.5191341334983615,0.0429724680251586,0.9528344988344988,0.0871870397643593,0.0404703308722997,0.0552806050985152,0.6379515360888456,0.2178264457807276,0.4131171698511819,p2,ctcf,fold_a,20260806,strict,strict,0.5127563782594101,606910,0.034097902097902,0.0091878524195482
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.0118949795139487,0.8668293043844975,1140605,606910,643500,all_test_chromosomes,all,643500,0.034097902097902,0.8668293043844975,0.5583290407588033,0.0614434208217804,0.9590738150738152,0.1144261144261144,0.029714702397229,0.047178002894356,0.6066704545528561,0.2060064471727079,0.3905335527252422,p2,ctcf,fold_a,20260806,strict,strict,0.5107981966225331,606910,0.034097902097902,0.0283108596443384
