context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.04556425627301388,0.004859078729983686,0.04138459160617101,0.049743920939856766,15,5,0
1hop,coordinate,auroc,0.5253358995167065,0.034602868229701746,0.49676935219047885,0.5539024468429342,15,5,0
1hop,coordinate,balanced_accuracy,0.5185029522077287,0.013200085159514674,0.5058035839872449,0.5273959922936255,15,5,0
1hop,coordinate,f1,0.07474253375428891,0.006545701150569768,0.07057464829086388,0.08096264677442241,15,5,0
1hop,coordinate,precision,0.05647812386372095,0.01995359399764532,0.04272370799919692,0.07507661521814017,15,5,0
1hop,coordinate,recall,0.1812435704996039,0.113390796256605,0.09713815922747697,0.28926519734599077,15,5,0
1hop,coordinate,normalized_ap,0.011386985678063238,0.004498414263780301,0.007651788758800539,0.015122182597325938,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.05776293914397698,0.016622959535285305,0.048197584614671836,0.07219802381986629,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5642176816510379,0.025255370310935336,0.5506832394761202,0.5776810442125532,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5381498193212597,0.017451865855282134,0.5249497221108758,0.5521314846157261,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.08892521066928608,0.021256808113849657,0.07288037048926257,0.10447260326048945,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.07135811211605257,0.019718117647322366,0.05805015215241481,0.08511433351728441,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.18321705601751537,0.12861734992429652,0.1044613435763579,0.2867013299684646,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.024055261562576594,0.015003797781590592,0.01553594744870096,0.03651327194862156,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.06155942834269375,0.013705442312920877,0.05199543347956635,0.0748379028179469,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.544255942979494,0.015595135720776235,0.5308266948136423,0.5569749979600381,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5338240559710511,0.010509116259517708,0.5250726751048229,0.5437064262500282,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.09521923387613435,0.025328483894184812,0.07526120464995653,0.11853834983143957,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.09280667127082717,0.05561578973541615,0.049664187172913564,0.14392807569473706,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.1420872502540834,0.047316683823046546,0.10582934190199685,0.18605583297786618,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.027991914984787616,0.010982039867263546,0.02068468422528312,0.03822941788055845,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.06380456182495622,0.014059841990358759,0.054250917469866704,0.07707041683439396,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5487238289163499,0.014631870457597859,0.5373005942476289,0.5600382159264391,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5355050306484669,0.013603698729243755,0.5263777502967583,0.5452684830614418,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.09621676227761457,0.028425476160579815,0.07828477266745716,0.12006910826726831,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.09891062011960033,0.04912316159342208,0.06738013404935522,0.1351686862949138,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.12175371046310693,0.04591641340153489,0.08876411579398771,0.15045028749743916,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.03031765215613747,0.011445721092508975,0.02284730498240812,0.04104861716084719,15,5,0
1hop,frozen_pangenomefm,auprc,0.05739746625589854,0.016118112458761418,0.048307483203510616,0.07144694639408396,15,5,0
1hop,frozen_pangenomefm,auroc,0.5656324529159946,0.026240297041039116,0.5519296484988788,0.5799240375601474,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5357006844194552,0.017499950061318652,0.5224344216309408,0.5494062957646195,15,5,0
1hop,frozen_pangenomefm,f1,0.08711219491384613,0.02374669600853854,0.06907236043023274,0.104189247385697,15,5,0
1hop,frozen_pangenomefm,precision,0.07269955291549662,0.018721286718873284,0.06041926721936968,0.08382348779139243,15,5,0
1hop,frozen_pangenomefm,recall,0.16639530686776155,0.11954600923893074,0.08845483875434819,0.2659857304542623,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.023675766099286573,0.01446402234272428,0.01567675415057222,0.03565278151726885,15,5,0
1hop,frozen_sequence_fm,auprc,0.06180893451590237,0.013525109720507609,0.052703228025714206,0.07487076415416409,15,5,0
1hop,frozen_sequence_fm,auroc,0.5440013210658784,0.017633954708865706,0.5282318467140528,0.5579131885072707,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5306271448589266,0.014345415272040977,0.5187844902936948,0.5421985485260703,15,5,0
1hop,frozen_sequence_fm,f1,0.08271594090802958,0.028711080957981545,0.06013313139377233,0.11059779376184314,15,5,0
1hop,frozen_sequence_fm,precision,0.07963768384241665,0.03212808585906315,0.053456376437397174,0.10609322045410416,15,5,0
1hop,frozen_sequence_fm,recall,0.12717029644634478,0.06283585724091517,0.07131406339592357,0.17675479594087484,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.028250223411279328,0.010752687945949692,0.02113073565782044,0.03846955780857251,15,5,0
1hop,sequence_kmer,auprc,0.06110330670239932,0.0187171818251446,0.04699470494955109,0.0771001222816629,15,5,0
1hop,sequence_kmer,auroc,0.5260158485910461,0.02514534385940973,0.5051753928416391,0.5474388269945328,15,5,0
1hop,sequence_kmer,balanced_accuracy,0.5334636776784882,0.016385457099348938,0.5196725880923788,0.5472547672645975,15,5,0
1hop,sequence_kmer,f1,0.10218071864695255,0.039176704656234164,0.06980746910653986,0.1348319957640682,15,5,0
1hop,sequence_kmer,precision,0.1277910060250426,0.04928040480850711,0.09089518029698686,0.17434984435727985,15,5,0
1hop,sequence_kmer,recall,0.08911182361688817,0.036706191758191106,0.057525722253446605,0.11877208372707959,15,5,0
1hop,sequence_kmer,normalized_ap,0.02750750455832862,0.01791774731271283,0.013083052879758222,0.04193195623689903,15,5,0
strict,coordinate,auprc,0.04556425627301388,0.004859078729983686,0.04138459160617101,0.049743920939856766,15,5,0
strict,coordinate,auroc,0.5253358995167065,0.034602868229701746,0.49676935219047885,0.5539024468429342,15,5,0
strict,coordinate,balanced_accuracy,0.5185029522077287,0.013200085159514674,0.5058035839872449,0.5273959922936255,15,5,0
strict,coordinate,f1,0.07474253375428891,0.006545701150569768,0.07057464829086388,0.08096264677442241,15,5,0
strict,coordinate,precision,0.05647812386372095,0.01995359399764532,0.04272370799919692,0.07507661521814017,15,5,0
strict,coordinate,recall,0.1812435704996039,0.113390796256605,0.09713815922747697,0.28926519734599077,15,5,0
strict,coordinate,normalized_ap,0.011386985678063238,0.004498414263780301,0.007651788758800539,0.015122182597325938,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auprc,0.06057298437652827,0.014721845874542915,0.051435588915336075,0.07469931867990524,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auroc,0.5713956642263394,0.01989286127683127,0.5588432762861351,0.5854194302658977,15,5,0
strict,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5419083816108163,0.017385532788717833,0.5279999321354704,0.5562075139925976,15,5,0
