closure,fold,seed,stratum,feature_set,n,positive_prevalence,auprc,auroc,normalized_ap
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
1hop,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.034489155184039125,0.4810091257951899,0.005516043831134762
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,178185,0.015568089345343324,0.03826598994181221,0.5859682241715252,0.023056851724132518
1hop,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,178185,0.015568089345343324,0.041521107768444115,0.5819858744602444,0.02636344692020577
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,240906,0.020991590080778395,0.026172366939908688,0.5325194323409501,0.0052918614453554705
1hop,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,240906,0.020991590080778395,0.0266121552599831,0.5200910871948093,0.005741079568119808
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
strict,fold_a,20260806,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.037631571754736026,0.5179807302510799,0.008752758239819561
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm,178185,0.015568089345343324,0.03826598994181221,0.5859682241715252,0.023056851724132518
strict,fold_a,20260806,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,178185,0.015568089345343324,0.03412494186486621,0.5702294313361245,0.01885031592198429
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm,240906,0.020991590080778395,0.026172366939908688,0.5325194323409501,0.0052918614453554705
strict,fold_a,20260806,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,240906,0.020991590080778395,0.027989334885372155,0.5467013268737327,0.007147788245425948
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
1hop,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.036484741446988565,0.5035311130855898,0.007571513774646881
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,178185,0.015568089345343324,0.03826598994181221,0.5859682241715252,0.023056851724132518
1hop,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,178185,0.015568089345343324,0.036636528263792247,0.5703517128997816,0.021401621270523637
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,240906,0.020991590080778395,0.026172366939908688,0.5325194323409501,0.0052918614453554705
1hop,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,240906,0.020991590080778395,0.027263938132200134,0.5434450932901801,0.006406837763466479
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
strict,fold_a,314159,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.0350922818668407,0.5033363947638967,0.0061372691781145195
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm,178185,0.015568089345343324,0.03826598994181221,0.5859682241715252,0.023056851724132518
strict,fold_a,314159,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,178185,0.015568089345343324,0.034432719630072516,0.5761170149872794,0.019162960973282583
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm,240906,0.020991590080778395,0.026172366939908688,0.5325194323409501,0.0052918614453554705
strict,fold_a,314159,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,240906,0.020991590080778395,0.028178077605317653,0.5426572890275456,0.0073405779273461175
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
1hop,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.03852859623022974,0.5295051170227695,0.009676700683303284
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm,178185,0.015568089345343324,0.03826598994181221,0.5859682241715252,0.023056851724132518
1hop,fold_a,42,low,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,178185,0.015568089345343324,0.03765478165696329,0.5740594331104721,0.022435977615691167
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm,240906,0.020991590080778395,0.026172366939908688,0.5325194323409501,0.0052918614453554705
1hop,fold_a,42,medium,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,240906,0.020991590080778395,0.02665922287137424,0.5083132925231711,0.005789156388414971
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm,434272,0.029133814752044802,0.036230071827325364,0.5031799541192776,0.0073092020127039515
strict,fold_a,42,high,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,434272,0.029133814752044802,0.03570166215365958,0.5222355041308757,0.006764935787662
