feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",7.860299517267286,0.5083366371364111,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.5083366371364111,0.5875939690901855,0.0394327830950431,0.9601213082826416,0.0724564503913153,0.0560464775667626,0.063203677705288,0.6929870158967435,0.2499198598777492,0.4759631674681459,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5192008393981158,802822,0.0240026811567879,0.0158095741047153
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,0.4632849551721635,0.8338379856528764,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.8338379856528764,0.4895474018791869,0.0278157728803598,0.9625727855555022,0.056656346749226,0.0357369525948347,0.0438283986468281,0.5900350853585083,0.1948749697040729,0.3753900716522704,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5105516959689187,802822,0.0240026811567879,0.0039068670066546
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,0.7780356411026319,0.8340980958951846,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.8340980958951846,0.5270938883698101,0.0327277470876109,0.9619341358835573,0.0599838674195204,0.0399355563149929,0.0479484173505275,0.5724594701441772,0.1888722532327127,0.3634867875624171,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5122721917584955,802822,0.0240026811567879,0.0089396412903719
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,0.8450120774324804,0.7413464255111809,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.7413464255111809,0.5226166324721335,0.0315098772300888,0.9339144068819484,0.0388566438954234,0.0738661328906898,0.0509247572407061,0.6428760549710285,0.2220854382539914,0.4231761733189131,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.514465844276485,802822,0.0240026811567879,0.00769182038553
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,0.7782785336073914,0.8319400680785933,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.8319400680785933,0.5304965287436729,0.0329857779965549,0.9615532897489112,0.058587594900444,0.0399355563149929,0.0474960081289011,0.5737065118068478,0.1894468333260009,0.3640747275408052,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5120770856207565,802822,0.0240026811567879,0.0092040179479326
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,0.7286272663020054,0.865745159714482,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.865745159714482,0.5320267941622177,0.032048689736268,0.964976217623684,0.0574117647058823,0.0297807938290289,0.0392182075350392,0.6275233519603639,0.2137782051713641,0.4098168416021642,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5088781262392671,802822,0.0240026811567879,0.0082438838961325
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",0.727694003734873,0.9191906439110464,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.9191906439110464,0.5153245912669038,0.0324002043283723,0.968137826458377,0.084500061950192,0.0332959039203241,0.0477691391748966,0.5608763698203019,0.1821424296923916,0.3477923795791748,p2,h3k27ac,fold_a,20260806,1hop,1hop,0.5122121388778453,802822,0.0240026811567879,0.0086040432790711
coordinate,"reference coordinate, node length, and constant orientation",7.860299517267286,0.5083366371364111,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.5083366371364111,0.5875939690901855,0.0394327830950431,0.9601213082826416,0.0724564503913153,0.0560464775667626,0.063203677705288,0.6929870158967435,0.2499198598777492,0.4759631674681459,p2,h3k27ac,fold_a,20260806,strict,strict,0.5192008393981158,802822,0.0240026811567879,0.0158095741047153
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,0.4632849551721635,0.8338379856528764,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.8338379856528764,0.4895474018791869,0.0278157728803598,0.9625727855555022,0.056656346749226,0.0357369525948347,0.0438283986468281,0.5900350853585083,0.1948749697040729,0.3753900716522704,p2,h3k27ac,fold_a,20260806,strict,strict,0.5105516959689187,802822,0.0240026811567879,0.0039068670066546
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,0.7780356411026319,0.8340980958951846,1512340,802822,853363,all_test_chromosomes,all,853363,0.0240026811567879,0.8340980958951846,0.5270938883698101,0.0327277470876109,0.9619341358835573,0.0599838674195204,0.0399355563149929,0.0479484173505275,0.5724594701441772,0.1888722532327127,0.3634867875624171,p2,h3k27ac,fold_a,20260806,strict,strict,0.5122721917584955,802822,0.0240026811567879,0.0089396412903719
