context,feature_set,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
1hop,coordinate,auprc,0.0357984915247269,0.00453252649810305,0.03221882526206641,0.039968985752689416,15,5,0
1hop,coordinate,auroc,0.5425623715443161,0.03387596587316828,0.5145218391207458,0.5706029039678865,15,5,0
1hop,coordinate,balanced_accuracy,0.5213557422357333,0.008202530429058209,0.5144726101135314,0.5289137842358033,15,5,0
1hop,coordinate,f1,0.05780271707839697,0.008787367915019193,0.05096465646062829,0.06600628624295728,15,5,0
1hop,coordinate,precision,0.047801717506418644,0.015424179151196553,0.0359341479716191,0.06110822724054731,15,5,0
1hop,coordinate,recall,0.1399128854681845,0.13726733932212365,0.06023901935909342,0.27283869865208477,15,5,0
1hop,coordinate,normalized_ap,0.012849268992505,0.004068027395039103,0.009268180531157261,0.01601489279994912,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auprc,0.044802801398432394,0.013530433818237222,0.035380649269036425,0.05537318323383746,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,auroc,0.5826180445718201,0.03730943508187763,0.5572001756885566,0.6114693020620909,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5420438365216901,0.03484352789373391,0.5216491239944998,0.5663974035690958,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,f1,0.07511964157572208,0.031081310862829836,0.055334898198039065,0.09867685500428423,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,precision,0.06547919304210739,0.03212797815654868,0.0479718486397785,0.08470676646442352,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,recall,0.15791976229016516,0.11903824044079571,0.08991499656160626,0.23350050205145223,15,5,0
1hop,coordinate_plus_frozen_pangenomefm,normalized_ap,0.02208308752359617,0.012481160785488488,0.013435055110612397,0.031186311047837676,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auprc,0.04968014698090048,0.02387920420824763,0.03570175190361748,0.07306561173276,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,auroc,0.5801210596093983,0.029984476857741506,0.5546893370915938,0.6023168884165436,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5457916853233891,0.036667997604816885,0.5151819432274274,0.5764014274193506,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,f1,0.08644028495389455,0.06343945257750931,0.04926226568604416,0.1489379777764573,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,precision,0.09691442728129121,0.07180290318926376,0.04858703981977145,0.16700243250646304,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,recall,0.21196437756456157,0.27235304861521764,0.04357965711174801,0.48029051392094346,15,5,0
1hop,coordinate_plus_frozen_sequence_fm,normalized_ap,0.027086761286229895,0.023275816086242195,0.01313578559961772,0.050080751013287,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.05301793409789506,0.023138859272286334,0.0375357465404045,0.07521220892793466,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5940222381132219,0.041899888738368175,0.5585422971576619,0.6265014729277779,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5479668932003897,0.0360932252403263,0.5246559820756617,0.5744325209740351,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.07892771225698345,0.04403884652465525,0.0533415200163753,0.1167053047309146,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.07072908656451081,0.047552832513550976,0.043409175263639764,0.10848603110413613,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.1860880169051083,0.13945264864636286,0.0884821781783238,0.28923189580401143,15,5,0
1hop,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.030509876305580132,0.022200184435127047,0.015904144939862922,0.05198824160137528,15,5,0
1hop,frozen_pangenomefm,auprc,0.04456096176142933,0.01317845673122461,0.0354029995464647,0.05484748022053076,15,5,0
1hop,frozen_pangenomefm,auroc,0.5804598671745839,0.03903060540454129,0.553431526147998,0.6105324557817343,15,5,0
1hop,frozen_pangenomefm,balanced_accuracy,0.5372740648199653,0.021540647503007146,0.52036825958249,0.5548692640216595,15,5,0
1hop,frozen_pangenomefm,f1,0.07001445226927629,0.018994179829552066,0.05605783340248475,0.08402167613354733,15,5,0
1hop,frozen_pangenomefm,precision,0.05596170232710982,0.02833843769315956,0.039443999063231365,0.07515093147514704,15,5,0
1hop,frozen_pangenomefm,recall,0.16035779530920802,0.10941551468225537,0.08993782033569449,0.2564089506867454,15,5,0
1hop,frozen_pangenomefm,normalized_ap,0.021834773606031775,0.012140427253587886,0.013364467300342698,0.03071952606131132,15,5,0
1hop,frozen_sequence_fm,auprc,0.05002733184859029,0.024084444521431565,0.03569503687149687,0.07372028045033895,15,5,0
1hop,frozen_sequence_fm,auroc,0.5804283600657505,0.03164745729480123,0.5532685577139345,0.603458598835169,15,5,0
1hop,frozen_sequence_fm,balanced_accuracy,0.5462229963873088,0.03824869724844692,0.5138712627823118,0.5785747299923057,15,5,0
1hop,frozen_sequence_fm,f1,0.06418698034962017,0.02143752875767285,0.048576873629222875,0.08454122486242434,15,5,0
1hop,frozen_sequence_fm,precision,0.04792820243211997,0.014990830715179133,0.03540129413725453,0.06009617634537998,15,5,0
1hop,frozen_sequence_fm,recall,0.24144114315290055,0.25388643199659305,0.06664003381833251,0.48637469643359865,15,5,0
1hop,frozen_sequence_fm,normalized_ap,0.027443231340424937,0.023451528153091965,0.01302216859811056,0.050568740163522266,15,5,0
1hop,sequence_kmer,auprc,0.042982660047106845,0.012447840565969285,0.032854735988012904,0.05400340207037037,15,5,0
1hop,sequence_kmer,auroc,0.5417804882101787,0.04555215552809047,0.5030951294911586,0.5804658469291988,15,5,0
1hop,sequence_kmer,balanced_accuracy,0.5327144226048276,0.026510673667169287,0.5116655430697823,0.5565773630127132,15,5,0
1hop,sequence_kmer,f1,0.05505640491047993,0.02704837831347025,0.035651252809158,0.07952292767126722,15,5,0
1hop,sequence_kmer,precision,0.06055826023223298,0.0321042855823144,0.037062602735550426,0.09080706003483867,15,5,0
1hop,sequence_kmer,recall,0.15506736607125168,0.14200517924778713,0.0407658620946666,0.28246445393835234,15,5,0
1hop,sequence_kmer,normalized_ap,0.02019507932971696,0.0133111547791109,0.0093170136578896,0.031226674146889916,15,5,0
strict,coordinate,auprc,0.0357984915247269,0.00453252649810305,0.03221882526206641,0.039968985752689416,15,5,0
strict,coordinate,auroc,0.5425623715443161,0.03387596587316828,0.5145218391207458,0.5706029039678865,15,5,0
strict,coordinate,balanced_accuracy,0.5213557422357333,0.008202530429058209,0.5144726101135314,0.5289137842358033,15,5,0
strict,coordinate,f1,0.05780271707839697,0.008787367915019193,0.05096465646062829,0.06600628624295728,15,5,0
strict,coordinate,precision,0.047801717506418644,0.015424179151196553,0.0359341479716191,0.06110822724054731,15,5,0
strict,coordinate,recall,0.1399128854681845,0.13726733932212365,0.06023901935909342,0.27283869865208477,15,5,0
strict,coordinate,normalized_ap,0.012849268992505,0.004068027395039103,0.009268180531157261,0.01601489279994912,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auprc,0.04184839789571506,0.0078258168065825,0.03540140288518867,0.04800949129609146,15,5,0
strict,coordinate_plus_frozen_pangenomefm,auroc,0.5716040576740667,0.03451299681722223,0.545866278611564,0.5973920415102533,15,5,0
strict,coordinate_plus_frozen_pangenomefm,balanced_accuracy,0.5417295209951579,0.026733833553196435,0.5227951815884617,0.5634836597025094,15,5,0
strict,coordinate_plus_frozen_pangenomefm,f1,0.07970648617649648,0.023111244551311576,0.06416349744666264,0.0970974285728765,15,5,0
strict,coordinate_plus_frozen_pangenomefm,precision,0.06941376158899289,0.028706732101365116,0.05223117907313685,0.08771914159166681,15,5,0
strict,coordinate_plus_frozen_pangenomefm,recall,0.15902768103267678,0.11540565902267472,0.08910060054930231,0.24879777183017324,15,5,0
strict,coordinate_plus_frozen_pangenomefm,normalized_ap,0.019040495065901067,0.008040916609952261,0.012803840807294244,0.025595324826593362,15,5,0
strict,coordinate_plus_frozen_sequence_fm,auprc,0.04968014698090048,0.02387920420824763,0.03570175190361748,0.07306561173276,15,5,0
strict,coordinate_plus_frozen_sequence_fm,auroc,0.5801210596093983,0.029984476857741506,0.5546893370915938,0.6023168884165436,15,5,0
strict,coordinate_plus_frozen_sequence_fm,balanced_accuracy,0.5457916853233891,0.036667997604816885,0.5151819432274274,0.5764014274193506,15,5,0
strict,coordinate_plus_frozen_sequence_fm,f1,0.08644028495389455,0.06343945257750931,0.04926226568604416,0.1489379777764573,15,5,0
strict,coordinate_plus_frozen_sequence_fm,precision,0.09691442728129121,0.07180290318926376,0.04858703981977145,0.16700243250646304,15,5,0
strict,coordinate_plus_frozen_sequence_fm,recall,0.21196437756456157,0.27235304861521764,0.04357965711174801,0.48029051392094346,15,5,0
strict,coordinate_plus_frozen_sequence_fm,normalized_ap,0.027086761286229895,0.023275816086242195,0.01313578559961772,0.050080751013287,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auprc,0.05037280659891016,0.024503328732492148,0.035782096890459296,0.07439291160641487,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,auroc,0.5843309715780601,0.034328822443250306,0.5565390992820574,0.6133912741096496,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,balanced_accuracy,0.5374601507996671,0.02875816370665805,0.517135349931585,0.5636003583081881,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,f1,0.0722307981226511,0.036023794986648185,0.04869851899129076,0.10696947134461365,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,precision,0.06239464799777926,0.027901311039596564,0.04097417713619826,0.0848266943691006,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,recall,0.17337039152137393,0.15608694324703384,0.057113145166630054,0.31841963239534876,15,5,0
strict,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,normalized_ap,0.02779862050700651,0.023829313598639407,0.013113133717822823,0.051417300627961,15,5,0
strict,frozen_pangenomefm,auprc,0.042548681036137834,0.007896735978988169,0.03604779695492712,0.04877784449013154,15,5,0
