state,tissue,rows,matched_rows,row_coverage
active,Peyers_patch,231808,231808,1.0
active,adrenal_gland,288587,288587,1.0
active,ascending_aorta,183606,183606,1.0
active,body_of_pancreas,237173,237173,1.0
active,breast_epithelium,208763,208763,1.0
active,coronary_artery,180419,180419,1.0
active,esophagus_muscularis_mucosa,187153,187153,1.0
active,esophagus_squamous_epithelium,202064,202064,1.0
active,gastrocnemius_medialis,196203,196203,1.0
active,gastroesophageal_sphincter,211834,211834,1.0
active,heart_left_ventricle,185812,185812,1.0
active,ovary,199341,199341,1.0
active,prostate_gland,179716,179716,1.0
active,right_atrium_auricular_region,191017,191017,1.0
active,right_lobe_of_liver,164124,164124,1.0
active,sigmoid_colon,206275,206275,1.0
active,spleen,191232,191232,1.0
active,stomach,201958,201958,1.0
active,suprapubic_skin,156253,156253,1.0
active,testis,190387,190387,1.0
active,thoracic_aorta,185983,185983,1.0
active,thyroid_gland,261440,261440,1.0
active,tibial_artery,195708,195708,1.0
active,tibial_nerve,229063,229063,1.0
active,transverse_colon,198417,198417,1.0
active,upper_lobe_of_left_lung,212570,212570,1.0
active,uterus,190192,190192,1.0
active,vagina,179500,179500,1.0
repressed,Peyers_patch,251668,251668,1.0
repressed,adrenal_gland,156348,156348,1.0
repressed,ascending_aorta,156574,156574,1.0
repressed,body_of_pancreas,220484,220484,1.0
repressed,breast_epithelium,163911,163911,1.0
repressed,coronary_artery,56788,56788,1.0
repressed,esophagus_muscularis_mucosa,221989,221989,1.0
repressed,esophagus_squamous_epithelium,181841,181841,1.0
repressed,gastrocnemius_medialis,215358,215358,1.0
repressed,gastroesophageal_sphincter,184935,184935,1.0
repressed,heart_left_ventricle,152576,152576,1.0
repressed,ovary,98107,98107,1.0
repressed,prostate_gland,117491,117491,1.0
repressed,right_atrium_auricular_region,150042,150042,1.0
repressed,right_lobe_of_liver,86640,86640,1.0
repressed,sigmoid_colon,192491,192491,1.0
repressed,spleen,176766,176766,1.0
repressed,stomach,177428,177428,1.0
repressed,suprapubic_skin,112564,112564,1.0
repressed,testis,134229,134229,1.0
repressed,thoracic_aorta,98580,98580,1.0
repressed,thyroid_gland,252058,252058,1.0
repressed,tibial_artery,196188,196188,1.0
repressed,tibial_nerve,221297,221297,1.0
repressed,transverse_colon,149756,149756,1.0
repressed,upper_lobe_of_left_lung,212200,212200,1.0
repressed,uterus,167081,167081,1.0
repressed,vagina,115592,115592,1.0
