sample,canonical_sample,in_hprc_pretraining_cohort
HG00096,HG00096,False
HG00171,HG00171,False
HG00268,HG00268,False
HG00358,HG00358,False
HG00512,HG00512,False
HG00513,HG00513,False
HG00514,HG00514,False
HG00731,HG00731,False
HG00732,HG00732,False
HG00733,HG00733,True
HG00864,HG00864,False
HG01114,HG01114,False
HG01352,HG01352,False
HG01457,HG01457,False
HG01505,HG01505,False
HG01573,HG01573,False
HG01596,HG01596,False
HG01890,HG01890,False
HG02011,HG02011,False
HG02018,HG02018,False
HG02059,HG02059,False
HG02106,HG02106,False
HG02282,HG02282,False
HG02492,HG02492,False
HG02554,HG02554,False
HG02587,HG02587,False
HG02666,HG02666,False
HG02769,HG02769,False
HG02818,HG02818,True
HG02953,HG02953,False
HG03009,HG03009,False
HG03065,HG03065,False
HG03248,HG03248,False
HG03371,HG03371,False
HG03452,HG03452,False
HG03456,HG03456,False
HG03520,HG03520,False
HG03683,HG03683,False
HG03732,HG03732,False
HG03807,HG03807,False
HG04036,HG04036,False
HG04217,HG04217,False
NA12329,NA12329,False
NA18534,NA18534,False
NA18939,NA18939,False
NA18989,NA18989,False
NA19036,NA19036,True
NA19129,NA19129,False
NA19238,NA19238,False
NA19239,NA19239,False
NA19240,NA19240,True
NA19317,NA19317,False
NA19331,NA19331,False
NA19347,NA19347,False
NA19384,NA19384,False
NA19434,NA19434,False
NA19650,NA19650,False
NA19705,NA19705,False
NA19836,NA19836,False
NA19983,NA19983,False
NA20355,NA20355,False
NA20509,NA20509,False
NA20847,NA20847,False
NA21487,NA21487,False
NA24385,HG002,True
