sample,unit,context,in_hprc,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00096,donor,1hop,False,0.04043173552842542,0.005427352627258662,0.036114214107564255,0.04474675225347377,15,5,0
HG00096,donor,strict,False,0.03422313988111239,0.00486763105198675,0.030173661987634926,0.038085687336545736,15,5,0
HG00096,haplotype_1,1hop,False,0.03986134050307508,0.00560319393011328,0.035393822496521274,0.044399650239141907,15,5,0
HG00096,haplotype_1,strict,False,0.034629473194835246,0.005396030744483309,0.030199763668570075,0.03890179099903311,15,5,0
HG00096,haplotype_2,1hop,False,0.03957307628760507,0.0058668962439877735,0.03473248422896991,0.044063990169211746,15,5,0
HG00096,haplotype_2,strict,False,0.03410273915087754,0.004049315249365389,0.030624788244412993,0.03726780685012138,15,5,0
HG00171,donor,1hop,False,0.041128187260057,0.0047280178629110405,0.03738156135284594,0.04490334196558375,15,5,0
HG00171,donor,strict,False,0.034353280978529285,0.0022991851541464617,0.032523690704500195,0.03604591919838525,15,5,0
HG00171,haplotype_1,1hop,False,0.04011761496849769,0.004682801399553215,0.03633742068817676,0.0438080708748938,15,5,0
HG00171,haplotype_1,strict,False,0.03407298738272394,0.0026237293588155484,0.031957204217933625,0.0360990280892944,15,5,0
HG00171,haplotype_2,1hop,False,0.04041367166666447,0.0051095286835868515,0.036399935874466716,0.04459575573717831,15,5,0
HG00171,haplotype_2,strict,False,0.03394860892359614,0.00320817622328374,0.03150312091644943,0.03662849167147646,15,5,0
HG00268,donor,1hop,False,0.04007201718322381,0.006619478226163485,0.034763751465037684,0.04528134267070077,15,5,0
HG00268,donor,strict,False,0.03492703092394485,0.005186687575915971,0.030492565679886282,0.038867557005187,15,5,0
HG00268,haplotype_1,1hop,False,0.038538133720925204,0.006738128842054377,0.03279817140142306,0.04384732509597579,15,5,0
HG00268,haplotype_1,strict,False,0.03442395495015006,0.005680332016926547,0.029467507935460924,0.03872090812383652,15,5,0
HG00268,haplotype_2,1hop,False,0.03876713316028168,0.007327394447506321,0.03329207432593291,0.04433339535493321,15,5,0
HG00268,haplotype_2,strict,False,0.0342390821796474,0.005972909451047363,0.029267882021400415,0.038797256298073866,15,5,0
HG00358,donor,1hop,False,0.04142791757348987,0.007133451483404265,0.03627848361977867,0.04709155339386525,15,5,0
HG00358,donor,strict,False,0.03503210218294643,0.004037391694814976,0.03192460913612302,0.03829458786465566,15,5,0
HG00358,haplotype_1,1hop,False,0.038499478470158034,0.006897792635677992,0.03279089557613894,0.044181269436044286,15,5,0
HG00358,haplotype_1,strict,False,0.03325823202691181,0.003549672261351706,0.030473184480666302,0.035935198420927274,15,5,0
HG00358,haplotype_2,1hop,False,0.0408074778838747,0.008066125658753136,0.03493863509146892,0.046693136971332365,15,5,0
HG00358,haplotype_2,strict,False,0.034870663225554654,0.003895200224463651,0.031941104603233246,0.03804859448810452,15,5,0
HG00512,donor,1hop,False,0.04406279756803027,0.008698848177842845,0.038074466086227755,0.05103164168732775,15,5,0
HG00512,donor,strict,False,0.036908252744044474,0.00624985913635654,0.03204149941453998,0.04223253991285184,15,5,0
HG00512,haplotype_1,1hop,False,0.04371621772437541,0.008802881916834739,0.037776453621911676,0.05066480319921354,15,5,0
HG00512,haplotype_1,strict,False,0.03724203448156444,0.00645208236200655,0.03230677056710037,0.04274008948282623,15,5,0
HG00512,haplotype_2,1hop,False,0.04282563984069771,0.008431859487145475,0.03672349900873139,0.049509349032144864,15,5,0
HG00512,haplotype_2,strict,False,0.036412468011303586,0.006356725148141275,0.031378752212841324,0.04177332106600034,15,5,0
HG00513,donor,1hop,False,0.043051075495230046,0.006828154511088197,0.03835128001509308,0.048114438674225796,15,5,0
HG00513,donor,strict,False,0.0360431252865254,0.0045045480400026545,0.032398378030506506,0.03985107849298443,15,5,0
HG00513,haplotype_1,1hop,False,0.0425511545732379,0.006356311885616611,0.03809834130878686,0.04724705924355449,15,5,0
HG00513,haplotype_1,strict,False,0.034952296996149684,0.005462795540271707,0.03052972895612446,0.039567921370032455,15,5,0
HG00513,haplotype_2,1hop,False,0.042045627932997,0.0075623717855778354,0.036498995234048905,0.04764135702995472,15,5,0
HG00513,haplotype_2,strict,False,0.036237100363035055,0.004723942016741502,0.03247029165850208,0.04021369583334839,15,5,0
HG00514,donor,1hop,False,0.04253478160546886,0.00412327420214009,0.039093505739043334,0.04584916977728139,15,5,0
HG00514,donor,strict,False,0.035218323096105716,0.0032932542521311226,0.03254580404849944,0.037708990721085876,15,5,0
HG00514,haplotype_1,1hop,False,0.040857066293040464,0.006311431484313124,0.03637308036631353,0.046502969942098085,15,5,0
HG00514,haplotype_1,strict,False,0.03406912230890709,0.005067675157114304,0.03021523018155915,0.03839992714781976,15,5,0
HG00514,haplotype_2,1hop,False,0.041850516877763644,0.005339730468783613,0.03695240095916596,0.04560125240100566,15,5,0
HG00514,haplotype_2,strict,False,0.03473516083501465,0.004524799126411954,0.030762324118902954,0.0380065106797773,15,5,0
HG00731,donor,1hop,False,0.04173650334354044,0.006260078869561958,0.03695531047312902,0.04653448565516941,15,5,0
HG00731,donor,strict,False,0.03607859730470315,0.004740424555988136,0.03219005960213958,0.03983039368736133,15,5,0
HG00731,haplotype_1,1hop,False,0.0381943299934792,0.005704766825016881,0.033746631854586207,0.042954943518711396,15,5,0
HG00731,haplotype_1,strict,False,0.03230108751488307,0.004030763784329681,0.028993100064778954,0.03542737667377045,15,5,0
HG00731,haplotype_2,1hop,False,0.04231024631225687,0.007014727069090073,0.03739412183666717,0.047754030793512134,15,5,0
HG00731,haplotype_2,strict,False,0.037299806195237824,0.006433813963037203,0.032439477695070024,0.04296891602513643,15,5,0
HG00732,donor,1hop,False,0.040526580138360864,0.0036326373861279423,0.03758037661569417,0.04328698597015065,15,5,0
HG00732,donor,strict,False,0.03345333985361569,0.002657822908241416,0.03148374066762852,0.035525130876011654,15,5,0
HG00732,haplotype_1,1hop,False,0.04056619100615675,0.005347565138656769,0.03556282510437495,0.04420720414592394,15,5,0
HG00732,haplotype_1,strict,False,0.0343598555040386,0.00371725744998812,0.03120099130099476,0.037175350971958045,15,5,0
HG00732,haplotype_2,1hop,False,0.03887416060372522,0.005755425241820334,0.034402393416164044,0.04366657456660427,15,5,0
HG00732,haplotype_2,strict,False,0.03226382689223722,0.0037576061185436603,0.029695300491643352,0.03557649510454161,15,5,0
HG00733,donor,1hop,True,0.04157510809980637,0.004417738831820081,0.038213229641650866,0.04515158786217663,15,5,0
HG00733,donor,strict,True,0.0348377002908951,0.0030620934100660164,0.03268207617110246,0.03739945922184609,15,5,0
HG00733,haplotype_1,1hop,True,0.04086721099103443,0.005370302900438634,0.03681484557062237,0.045304074027146785,15,5,0
HG00733,haplotype_1,strict,True,0.035070452337883674,0.003553148420935695,0.032457261488802826,0.03797026323289184,15,5,0
HG00733,haplotype_2,1hop,True,0.03948220405044303,0.005193594807917513,0.03533622592098164,0.0438536811130578,15,5,0
HG00733,haplotype_2,strict,True,0.03343502817639407,0.004183560970209804,0.030195521876525706,0.036895057358297983,15,5,0
HG00864,donor,1hop,False,0.040806547306039345,0.0053356685848445,0.03657328435004662,0.045124335154345316,15,5,0
HG00864,donor,strict,False,0.03453838133343456,0.0037697393107583724,0.03132807412716495,0.03740409948098937,15,5,0
HG00864,haplotype_1,1hop,False,0.03946705125827542,0.005706976020741361,0.03529395328997862,0.044122653535150616,15,5,0
HG00864,haplotype_1,strict,False,0.03476997595354742,0.004309268470246032,0.031236810640715446,0.038274806371437896,15,5,0
HG00864,haplotype_2,1hop,False,0.03997332166618022,0.005351783666532044,0.0356972327742065,0.044263498524434335,15,5,0
HG00864,haplotype_2,strict,False,0.03300170630463211,0.004089200051245852,0.029694077642351994,0.03626093741485228,15,5,0
HG01114,donor,1hop,False,0.04180139944299489,0.005370417439811974,0.037886135062286795,0.0460712226920414,15,5,0
HG01114,donor,strict,False,0.03541367558322479,0.0047457949212669085,0.03178015057584926,0.039438015580415195,15,5,0
HG01114,haplotype_1,1hop,False,0.04217467470512483,0.006526714750443388,0.03725687584712712,0.04759294042789418,15,5,0
HG01114,haplotype_1,strict,False,0.036466048859717284,0.006093003962623384,0.03184986895506623,0.041718349189860005,15,5,0
HG01114,haplotype_2,1hop,False,0.04020890543917578,0.008022219753306548,0.03391920813069543,0.04671976326774756,15,5,0
HG01114,haplotype_2,strict,False,0.03437699726883298,0.006738155060685319,0.029062684364729488,0.04020629670957751,15,5,0
HG01352,donor,1hop,False,0.04165725798628453,0.006197913502207674,0.03735807434549055,0.04629531712260539,15,5,0
HG01352,donor,strict,False,0.03587163251417116,0.005072071057128253,0.03172576638746595,0.039888419931721666,15,5,0
HG01352,haplotype_1,1hop,False,0.04260666711832699,0.005873331315442762,0.037962328158445975,0.046346918982427064,15,5,0
HG01352,haplotype_1,strict,False,0.03706095129030929,0.0041075649733472155,0.03335167183639034,0.03989726531486577,15,5,0
HG01352,haplotype_2,1hop,False,0.0391454304134452,0.0081983336826867,0.033169943363479566,0.04580214139449633,15,5,0
HG01352,haplotype_2,strict,False,0.03428420993928707,0.0074196826379343776,0.02831127379947202,0.04035323031883832,15,5,0
HG01457,donor,1hop,False,0.04002946357432602,0.00505199873290049,0.036709416554252514,0.04381235856188297,15,5,0
HG01457,donor,strict,False,0.0349214104173369,0.0034101369329933694,0.032138760775493394,0.03748353267043822,15,5,0
HG01457,haplotype_1,1hop,False,0.03821403051909485,0.00482167758978113,0.03469811961448565,0.042371041225943505,15,5,0
HG01457,haplotype_1,strict,False,0.03299408282190922,0.003681904261255594,0.030397082271656505,0.036059798540484925,15,5,0
HG01457,haplotype_2,1hop,False,0.03963013977259338,0.005919592242469199,0.03617989351427135,0.0436710424062822,15,5,0
HG01457,haplotype_2,strict,False,0.03551200865512922,0.005274687987951594,0.030903731785863812,0.039706291044604006,15,5,0
