sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,feature_set,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auprc,coordinate_plus_frozen_sequence_fm,0.909337486899742,0.010563940455666767,0.901062802531918,0.9184885041272971,15,5,0
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9497692224281674,0.005994576642602936,0.945112350591589,0.9548887079931392,15,5,0
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auroc,coordinate_plus_frozen_sequence_fm,0.8626222247395396,0.009714403390884517,0.8545335489190028,0.8707109005600765,15,5,0
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9209560280305493,0.0064340768670910825,0.9159147631528548,0.9261875658091699,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auprc,coordinate_plus_frozen_sequence_fm,0.909337486899742,0.010563940455666767,0.901062802531918,0.9184885041272971,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9435606267808544,0.006955604075068717,0.9383012920646713,0.9497617858972731,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auroc,coordinate_plus_frozen_sequence_fm,0.8626222247395396,0.009714403390884517,0.8545335489190028,0.8707109005600765,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auroc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9108851075506017,0.008020438860663497,0.904435476538284,0.9177782815458008,15,5,0
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auprc,coordinate_plus_frozen_sequence_fm,0.913538204965062,0.010676274277576475,0.9052293512814564,0.9236210686955776,15,5,0
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auprc,coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,0.9533995454681372,0.006275601951007879,0.9485437726816646,0.9587411853366467,15,5,0
