sample,unit,context,in_hprc,mean_n,mean_prevalence,metric,mean,std,ci95_low,ci95_high,n_runs,n_folds,undefined_runs
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auprc,0.04043173552842543,0.005427352627258677,0.03611421410756432,0.04474675225347382,15,5,0
HG00096,donor,1hop,False,5153.6,0.6251563955414969,auroc,0.058333803291009616,0.004864237141438817,0.05511645377261673,0.06245650455667915,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auprc,0.03422313988111237,0.004867631051986772,0.030173661987634846,0.03808568733654573,15,5,0
HG00096,donor,strict,False,5153.6,0.6251563955414969,auroc,0.04826288281106199,0.0035413481396196333,0.04532305796608064,0.051052071806847746,15,5,0
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auprc,0.039861340503075174,0.0056031939301133035,0.03539382249652138,0.04439965023914198,15,5,0
HG00096,haplotype_1,1hop,False,3326.8,0.6240996969987544,auroc,0.056001860613560675,0.004267407792898577,0.052807490767334535,0.05952354792944715,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auprc,0.03462947319483534,0.00539603074448333,0.030199763668570148,0.0389017909990332,15,5,0
HG00096,haplotype_1,strict,False,3326.8,0.6240996969987544,auroc,0.04807142558240269,0.0031964326339150137,0.045793215427048006,0.050696925265919,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auprc,0.039573076287605084,0.005866896243987856,0.034732484228969865,0.044063990169211836,15,5,0
HG00096,haplotype_2,1hop,False,3421.6,0.6277891537426712,auroc,0.05709326277500058,0.005602520158433312,0.05269665912520289,0.061321894597525094,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auprc,0.03410273915087755,0.004049315249365449,0.030624788244412872,0.0372678068501214,15,5,0
HG00096,haplotype_2,strict,False,3421.6,0.6277891537426712,auroc,0.04702818333178436,0.00287946740740391,0.04478079385358373,0.049213258480932554,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auprc,0.04112818726005704,0.004728017862911009,0.037381561352846045,0.0449033419655837,15,5,0
HG00171,donor,1hop,False,5159.8,0.621307560059696,auroc,0.05931660279528912,0.003255639334067299,0.05692072676824082,0.06185671591023081,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auprc,0.03435328097852927,0.0022991851541464404,0.032523690704500216,0.03604591919838519,15,5,0
HG00171,donor,strict,False,5159.8,0.621307560059696,auroc,0.048091866292253344,0.002311896401098706,0.04640521682960803,0.04959346422342482,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auprc,0.04011761496849766,0.004682801399553195,0.03633742068817676,0.043808070874893745,15,5,0
HG00171,haplotype_1,1hop,False,3406.8,0.6232983886510985,auroc,0.05696161054179845,0.002596087655565457,0.055346306742526045,0.05877084364199091,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auprc,0.034072987382723914,0.0026237293588155857,0.03195720421793364,0.03609902808929443,15,5,0
HG00171,haplotype_1,strict,False,3406.8,0.6232983886510985,auroc,0.047019054501190774,0.0023727292699709975,0.04528916524506848,0.048860317460734194,15,5,0
HG00171,haplotype_2,1hop,False,3436.4,0.6245191493558467,auprc,0.04041367166666441,0.005109528683586809,0.03639993587446666,0.04459575573717817,15,5,0
HG00171,haplotype_2,1hop,False,3436.4,0.6245191493558467,auroc,0.058686321765005295,0.003751721863463556,0.055733999566575994,0.061527728250349,15,5,0
HG00171,haplotype_2,strict,False,3436.4,0.6245191493558467,auprc,0.0339486089235961,0.0032081762232836837,0.03150312091644942,0.036628491671476346,15,5,0
HG00171,haplotype_2,strict,False,3436.4,0.6245191493558467,auroc,0.04816104995240093,0.0031269235987119873,0.0457314090764512,0.05048754658599093,15,5,0
HG00268,donor,1hop,False,5111.0,0.6230242789407429,auprc,0.04007201718322386,0.006619478226163478,0.034763751465037705,0.04528134267070082,15,5,0
HG00268,donor,1hop,False,5111.0,0.6230242789407429,auroc,0.05958134862784347,0.004260406976072123,0.0563393775258372,0.06273745566673207,15,5,0
HG00268,donor,strict,False,5111.0,0.6230242789407429,auprc,0.034927030923944884,0.005186687575915903,0.03049256567988642,0.038867557005187015,15,5,0
HG00268,donor,strict,False,5111.0,0.6230242789407429,auroc,0.049332205052584184,0.003083176110186381,0.04693122725965704,0.05151570871549945,15,5,0
HG00268,haplotype_1,1hop,False,3373.4,0.6244716120453453,auprc,0.03853813372092512,0.006738128842054313,0.03279817140142302,0.04384732509597567,15,5,0
HG00268,haplotype_1,1hop,False,3373.4,0.6244716120453453,auroc,0.05684224709161687,0.005205400292110101,0.052101882817333765,0.06046162728833634,15,5,0
HG00268,haplotype_1,strict,False,3373.4,0.6244716120453453,auprc,0.034423954950150035,0.005680332016926525,0.029467507935460917,0.03872090812383645,15,5,0
HG00268,haplotype_1,strict,False,3373.4,0.6244716120453453,auroc,0.048215550092769184,0.003943630428572072,0.04479443712846891,0.050834232194979,15,5,0
HG00268,haplotype_2,1hop,False,3399.6,0.6252418596291862,auprc,0.03876713316028173,0.007327394447506336,0.033292074325932924,0.044333395354933275,15,5,0
HG00268,haplotype_2,1hop,False,3399.6,0.6252418596291862,auroc,0.05658855275100512,0.004615738997598655,0.05344178274557019,0.059838323013272965,15,5,0
HG00268,haplotype_2,strict,False,3399.6,0.6252418596291862,auprc,0.03423908217964741,0.00597290945104738,0.029267882021400474,0.038797256298073894,15,5,0
HG00268,haplotype_2,strict,False,3399.6,0.6252418596291862,auroc,0.048129770620677706,0.0028689832230916535,0.04584626258306828,0.050192191451652775,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auprc,0.04142791757348988,0.007133451483404248,0.03627848361977866,0.04709155339386523,15,5,0
HG00358,donor,1hop,False,5152.6,0.6242799120151908,auroc,0.06001220219732741,0.0062514356950376035,0.05552854923559688,0.06499678055566045,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auprc,0.03503210218294643,0.004037391694815027,0.03192460913612297,0.03829458786465573,15,5,0
HG00358,donor,strict,False,5152.6,0.6242799120151908,auroc,0.0481750304340579,0.003437144885999123,0.045593830382088196,0.05063392051725299,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auprc,0.038499478470158034,0.0068977926356780465,0.03279089557613891,0.04418126943604433,15,5,0
HG00358,haplotype_1,1hop,False,3368.2,0.6286700674912556,auroc,0.057272905423286995,0.007445954739677718,0.05124412053090703,0.06349620078904582,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auprc,0.03325823202691182,0.003549672261351773,0.03047318448066629,0.03593519842092737,15,5,0
HG00358,haplotype_1,strict,False,3368.2,0.6286700674912556,auroc,0.04717255830228613,0.003692511189338213,0.04440257914440737,0.04995290021069516,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auprc,0.0408074778838747,0.008066125658753124,0.03493863509146889,0.046693136971332365,15,5,0
HG00358,haplotype_2,1hop,False,3433.2,0.6266467428894893,auroc,0.05783890407016507,0.006781821024856975,0.05341971925986294,0.06306695587735407,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auprc,0.034870663225554606,0.0038952002244636167,0.03194110460323322,0.038048594488104395,15,5,0
HG00358,haplotype_2,strict,False,3433.2,0.6266467428894893,auroc,0.04674015523880591,0.004088355735730368,0.04366268379482719,0.04990697503411234,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auprc,0.044062797568030256,0.008698848177842833,0.03807446608622767,0.05103164168732775,15,5,0
HG00512,donor,1hop,False,5128.0,0.6208574136477629,auroc,0.06257307372389591,0.00708937629807548,0.05809573757715097,0.06849537591252454,15,5,0
HG00512,donor,strict,False,5128.0,0.6208574136477629,auprc,0.036908252744044474,0.00624985913635655,0.03204149941453988,0.042232539912851835,15,5,0
HG00512,donor,strict,False,5128.0,0.6208574136477629,auroc,0.05054510193460699,0.0035526977898727333,0.048183567710014086,0.053443948135813414,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auprc,0.0437162177243754,0.008802881916834744,0.037776453621911614,0.05066480319921354,15,5,0
HG00512,haplotype_1,1hop,False,3392.8,0.6193600303352615,auroc,0.06050867797321088,0.007181224940393837,0.05584505033466458,0.06626669474222063,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auprc,0.037242034481564476,0.006452082362006582,0.03230677056710038,0.042740089482826316,15,5,0
HG00512,haplotype_1,strict,False,3392.8,0.6193600303352615,auroc,0.049504032439373825,0.003546984352019699,0.047227378299801934,0.052141376676221894,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auprc,0.04282563984069779,0.008431859487145412,0.03672349900873156,0.04950934903214489,15,5,0
HG00512,haplotype_2,1hop,False,3484.6,0.6211965771936235,auroc,0.061025163784433525,0.006132858251787606,0.05679454756636262,0.065961303536387,15,5,0
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auprc,0.036412468011303614,0.006356725148141225,0.031378752212841386,0.041773321066000325,15,5,0
HG00512,haplotype_2,strict,False,3484.6,0.6211965771936235,auroc,0.049768336866645474,0.003138519041816679,0.04750611115346327,0.052369936363170666,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auprc,0.04305107549523006,0.006828154511088187,0.03835128001509305,0.048114438674225796,15,5,0
HG00513,donor,1hop,False,5201.2,0.6204234976055221,auroc,0.0619562939413898,0.004966963282511572,0.05866197444658441,0.06535218500277105,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auprc,0.03604312528652543,0.004504548040002653,0.03239837803050654,0.03985107849298444,15,5,0
HG00513,donor,strict,False,5201.2,0.6204234976055221,auroc,0.049340893243700466,0.0028280653683727015,0.047261390203358,0.05145312660970297,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auprc,0.04255115457323797,0.006356311885616586,0.03809834130878694,0.047247059243554546,15,5,0
HG00513,haplotype_1,1hop,False,3507.4,0.6177737674814373,auroc,0.05966302888315718,0.004805050147954004,0.056394341028806236,0.06290470333602541,15,5,0
HG00513,haplotype_1,strict,False,3507.4,0.6177737674814373,auprc,0.034952296996149705,0.005462795540271669,0.030529728956124512,0.039567921370032455,15,5,0
HG00513,haplotype_1,strict,False,3507.4,0.6177737674814373,auroc,0.047298940648072406,0.0037566825443017668,0.044380923457252947,0.05025097288957616,15,5,0
HG00513,haplotype_2,1hop,False,3513.2,0.6225966012718664,auprc,0.04204562793299697,0.0075623717855778285,0.036498995234049,0.04764135702995468,15,5,0
HG00513,haplotype_2,1hop,False,3513.2,0.6225966012718664,auroc,0.05982522208094924,0.005704300973935909,0.0555576908370102,0.06390040914411163,15,5,0
HG00513,haplotype_2,strict,False,3513.2,0.6225966012718664,auprc,0.03623710036303506,0.0047239420167415076,0.032470291658502085,0.040213695833348384,15,5,0
HG00513,haplotype_2,strict,False,3513.2,0.6225966012718664,auroc,0.04896626079438848,0.0028631001263125194,0.04686551903444872,0.05120176645041757,15,5,0
HG00514,donor,1hop,False,5024.4,0.6212294498132096,auprc,0.042534781605468856,0.004123274202140104,0.039093505739043306,0.04584916977728142,15,5,0
HG00514,donor,1hop,False,5024.4,0.6212294498132096,auroc,0.06178020122674,0.002486861548364874,0.059899843348732794,0.06355374645349224,15,5,0
HG00514,donor,strict,False,5024.4,0.6212294498132096,auprc,0.03521832309610571,0.0032932542521311144,0.032545804048499445,0.03770899072108586,15,5,0
HG00514,donor,strict,False,5024.4,0.6212294498132096,auroc,0.049022309864648554,0.002418878045163607,0.04732978410021126,0.0506906209023863,15,5,0
HG00514,haplotype_1,1hop,False,3403.8,0.6221095569814107,auprc,0.04085706629304052,0.006311431484313177,0.03637308036631353,0.04650296994209816,15,5,0
HG00514,haplotype_1,1hop,False,3403.8,0.6221095569814107,auroc,0.05888691412027661,0.0035609389071116645,0.05624333652001709,0.0619262963476222,15,5,0
HG00514,haplotype_1,strict,False,3403.8,0.6221095569814107,auprc,0.034069122308907164,0.005067675157114335,0.030215230181559208,0.03839992714781985,15,5,0
HG00514,haplotype_1,strict,False,3403.8,0.6221095569814107,auroc,0.04729510977592943,0.004296762623579367,0.043822916326971995,0.05060096714110463,15,5,0
HG00514,haplotype_2,1hop,False,3424.8,0.6231410038159174,auprc,0.04185051687776368,0.005339730468783607,0.036952400959166,0.04560125240100573,15,5,0
HG00514,haplotype_2,1hop,False,3424.8,0.6231410038159174,auroc,0.059907244048340774,0.003649490442992871,0.056833020752050864,0.062498970649295264,15,5,0
HG00514,haplotype_2,strict,False,3424.8,0.6231410038159174,auprc,0.03473516083501467,0.00452479912641195,0.030762324118902968,0.03800651067977736,15,5,0
HG00514,haplotype_2,strict,False,3424.8,0.6231410038159174,auroc,0.04817060934486834,0.0026038507044139755,0.0460723510017834,0.049796281001876205,15,5,0
HG00731,donor,1hop,False,5183.4,0.6234155131513527,auprc,0.041736503343540475,0.0062600788695619785,0.036955310473129034,0.04653448565516945,15,5,0
HG00731,donor,1hop,False,5183.4,0.6234155131513527,auroc,0.06006109484255888,0.004367914969209796,0.05679911530551041,0.06319363667663873,15,5,0
HG00731,donor,strict,False,5183.4,0.6234155131513527,auprc,0.036078597304703225,0.0047404245559881176,0.032190059602139706,0.0398303936873614,15,5,0
HG00731,donor,strict,False,5183.4,0.6234155131513527,auroc,0.04982487445086743,0.003433517499437464,0.04679631560077258,0.05204779755348163,15,5,0
HG00731,haplotype_1,1hop,False,3435.8,0.6272172235303624,auprc,0.038194329993479145,0.005704766825016818,0.0337466318545862,0.04295494351871127,15,5,0
HG00731,haplotype_1,1hop,False,3435.8,0.6272172235303624,auroc,0.0560433323301046,0.004554278586268401,0.05286973111355128,0.06001399532486508,15,5,0
HG00731,haplotype_1,strict,False,3435.8,0.6272172235303624,auprc,0.03230108751488305,0.0040307637843296435,0.028993100064779002,0.035427376673770404,15,5,0
HG00731,haplotype_1,strict,False,3435.8,0.6272172235303624,auroc,0.04535230378964236,0.0049531007246254866,0.04146674175845341,0.049309497734880546,15,5,0
HG00731,haplotype_2,1hop,False,3331.8,0.6195005896447106,auprc,0.04231024631225689,0.007014727069090037,0.03739412183666724,0.04775403079351211,15,5,0
HG00731,haplotype_2,1hop,False,3331.8,0.6195005896447106,auroc,0.058383747865608716,0.005743226982706855,0.05453484543178934,0.0627763320876961,15,5,0
HG00731,haplotype_2,strict,False,3331.8,0.6195005896447106,auprc,0.03729980619523786,0.006433813963037189,0.03243947769507011,0.042968916025136444,15,5,0
HG00731,haplotype_2,strict,False,3331.8,0.6195005896447106,auroc,0.050148989423599626,0.004431977566343843,0.04707676576085974,0.054169560773325194,15,5,0
HG00732,donor,1hop,False,5219.0,0.6216776395127235,auprc,0.040526580138360836,0.0036326373861279874,0.03758037661569414,0.043286985970150633,15,5,0
HG00732,donor,1hop,False,5219.0,0.6216776395127235,auroc,0.058179328337759045,0.0035500424633336065,0.05532509774264311,0.0606902097061535,15,5,0
HG00732,donor,strict,False,5219.0,0.6216776395127235,auprc,0.03345333985361562,0.002657822908241449,0.03148374066762844,0.035525130876011606,15,5,0
HG00732,donor,strict,False,5219.0,0.6216776395127235,auroc,0.04733300839970699,0.003902585069498192,0.04417802152968385,0.05030811041934625,15,5,0
HG00732,haplotype_1,1hop,False,3317.0,0.6248235232724866,auprc,0.04056619100615678,0.005347565138656797,0.03556282510437494,0.044207204145923946,15,5,0
HG00732,haplotype_1,1hop,False,3317.0,0.6248235232724866,auroc,0.057568927142715914,0.0036352852355677184,0.05446654311628664,0.06017516496047383,15,5,0
HG00732,haplotype_1,strict,False,3317.0,0.6248235232724866,auprc,0.034359855504038625,0.003717257449988109,0.03120099130099482,0.03717535097195806,15,5,0
HG00732,haplotype_1,strict,False,3317.0,0.6248235232724866,auroc,0.047118947977213284,0.002408471744764366,0.04526590068268427,0.0487339793987684,15,5,0
HG00732,haplotype_2,1hop,False,3461.0,0.6223419191472959,auprc,0.03887416060372524,0.005755425241820287,0.03440239341616409,0.04366657456660424,15,5,0
HG00732,haplotype_2,1hop,False,3461.0,0.6223419191472959,auroc,0.05571319301408294,0.006527094128503184,0.04990958609399276,0.06067748497371534,15,5,0
HG00732,haplotype_2,strict,False,3461.0,0.6223419191472959,auprc,0.03226382689223721,0.0037576061185436455,0.029695300491643394,0.035576495104541576,15,5,0
HG00732,haplotype_2,strict,False,3461.0,0.6223419191472959,auroc,0.045791056516903655,0.005008449648179433,0.04171824598433573,0.049715796569604495,15,5,0
HG00733,donor,1hop,True,5237.2,0.6200536083605791,auprc,0.041575108099806385,0.004417738831820117,0.038213229641650824,0.04515158786217666,15,5,0
