svtype,complexity,length_bin,af_bin,n
DEL,high,"bp[100,500)","af[0.001,0.01)",3912
DEL,high,"bp[100,500)","af[0.01,0.05)",5464
DEL,high,"bp[100,500)","af[0.05,0.5)",6031
DEL,high,"bp[100,500)","af[0.5,1)",909
DEL,high,"bp[1000,10000)","af[0.001,0.01)",1337
DEL,high,"bp[1000,10000)","af[0.01,0.05)",1220
DEL,high,"bp[1000,10000)","af[0.05,0.5)",1043
DEL,high,"bp[1000,10000)","af[0.5,1)",172
DEL,high,"bp[10000,100000)","af[0.001,0.01)",174
DEL,high,"bp[10000,100000)","af[0.01,0.05)",150
DEL,high,"bp[10000,100000)","af[0.05,0.5)",109
DEL,high,"bp[10000,100000)","af[0.5,1)",25
DEL,high,"bp[100000,1e+06)","af[0.001,0.01)",6
DEL,high,"bp[100000,1e+06)","af[0.01,0.05)",18
DEL,high,"bp[100000,1e+06)","af[0.05,0.5)",2
DEL,high,"bp[50,100)","af[0.001,0.01)",3779
DEL,high,"bp[50,100)","af[0.01,0.05)",5166
DEL,high,"bp[50,100)","af[0.05,0.5)",5370
DEL,high,"bp[50,100)","af[0.5,1)",600
DEL,high,"bp[500,1000)","af[0.001,0.01)",703
DEL,high,"bp[500,1000)","af[0.01,0.05)",862
DEL,high,"bp[500,1000)","af[0.05,0.5)",1003
DEL,high,"bp[500,1000)","af[0.5,1)",118
DEL,low,"bp[100,500)","af[0.001,0.01)",818
DEL,low,"bp[100,500)","af[0.01,0.05)",1095
DEL,low,"bp[100,500)","af[0.05,0.5)",1440
DEL,low,"bp[100,500)","af[0.5,1)",504
DEL,low,"bp[1000,10000)","af[0.001,0.01)",677
DEL,low,"bp[1000,10000)","af[0.01,0.05)",559
DEL,low,"bp[1000,10000)","af[0.05,0.5)",431
DEL,low,"bp[1000,10000)","af[0.5,1)",91
DEL,low,"bp[10000,100000)","af[0.001,0.01)",104
DEL,low,"bp[10000,100000)","af[0.01,0.05)",81
DEL,low,"bp[10000,100000)","af[0.05,0.5)",40
DEL,low,"bp[10000,100000)","af[0.5,1)",9
DEL,low,"bp[100000,1e+06)","af[0.001,0.01)",8
DEL,low,"bp[100000,1e+06)","af[0.01,0.05)",3
DEL,low,"bp[100000,1e+06)","af[0.5,1)",1
DEL,low,"bp[50,100)","af[0.001,0.01)",1060
DEL,low,"bp[50,100)","af[0.01,0.05)",1482
DEL,low,"bp[50,100)","af[0.05,0.5)",1659
DEL,low,"bp[50,100)","af[0.5,1)",224
DEL,low,"bp[500,1000)","af[0.001,0.01)",210
DEL,low,"bp[500,1000)","af[0.01,0.05)",223
DEL,low,"bp[500,1000)","af[0.05,0.5)",200
DEL,low,"bp[500,1000)","af[0.5,1)",38
DEL,medium,"bp[100,500)","af[0.001,0.01)",1216
DEL,medium,"bp[100,500)","af[0.01,0.05)",1548
DEL,medium,"bp[100,500)","af[0.05,0.5)",1861
DEL,medium,"bp[100,500)","af[0.5,1)",556
DEL,medium,"bp[1000,10000)","af[0.001,0.01)",853
DEL,medium,"bp[1000,10000)","af[0.01,0.05)",628
DEL,medium,"bp[1000,10000)","af[0.05,0.5)",504
DEL,medium,"bp[1000,10000)","af[0.5,1)",102
DEL,medium,"bp[10000,100000)","af[0.001,0.01)",113
DEL,medium,"bp[10000,100000)","af[0.01,0.05)",77
DEL,medium,"bp[10000,100000)","af[0.05,0.5)",52
DEL,medium,"bp[10000,100000)","af[0.5,1)",10
DEL,medium,"bp[100000,1e+06)","af[0.001,0.01)",8
DEL,medium,"bp[100000,1e+06)","af[0.01,0.05)",2
DEL,medium,"bp[100000,1e+06)","af[0.05,0.5)",8
DEL,medium,"bp[50,100)","af[0.001,0.01)",1386
DEL,medium,"bp[50,100)","af[0.01,0.05)",2017
DEL,medium,"bp[50,100)","af[0.05,0.5)",2216
DEL,medium,"bp[50,100)","af[0.5,1)",285
DEL,medium,"bp[500,1000)","af[0.001,0.01)",275
DEL,medium,"bp[500,1000)","af[0.01,0.05)",241
DEL,medium,"bp[500,1000)","af[0.05,0.5)",209
DEL,medium,"bp[500,1000)","af[0.5,1)",49
INS,high,bp>=1e+06,"af[0.001,0.01)",1
INS,high,bp>=1e+06,"af[0.01,0.05)",2
INS,high,bp>=1e+06,"af[0.05,0.5)",3
INS,high,"bp[100,500)","af[0.001,0.01)",6850
INS,high,"bp[100,500)","af[0.01,0.05)",10681
INS,high,"bp[100,500)","af[0.05,0.5)",10682
INS,high,"bp[100,500)","af[0.5,1)",1333
INS,high,"bp[1000,10000)","af[0.001,0.01)",2063
INS,high,"bp[1000,10000)","af[0.01,0.05)",2616
INS,high,"bp[1000,10000)","af[0.05,0.5)",2533
INS,high,"bp[1000,10000)","af[0.5,1)",521
INS,high,"bp[10000,100000)","af[0.001,0.01)",453
INS,high,"bp[10000,100000)","af[0.01,0.05)",473
INS,high,"bp[10000,100000)","af[0.05,0.5)",294
INS,high,"bp[10000,100000)","af[0.5,1)",19
INS,high,"bp[100000,1e+06)","af[0.001,0.01)",14
INS,high,"bp[100000,1e+06)","af[0.01,0.05)",21
INS,high,"bp[100000,1e+06)","af[0.05,0.5)",6
INS,high,"bp[100000,1e+06)","af[0.5,1)",1
INS,high,"bp[50,100)","af[0.001,0.01)",4863
INS,high,"bp[50,100)","af[0.01,0.05)",7483
INS,high,"bp[50,100)","af[0.05,0.5)",6679
INS,high,"bp[50,100)","af[0.5,1)",715
INS,high,"bp[500,1000)","af[0.001,0.01)",1124
INS,high,"bp[500,1000)","af[0.01,0.05)",1963
INS,high,"bp[500,1000)","af[0.05,0.5)",2191
INS,high,"bp[500,1000)","af[0.5,1)",486
INS,low,"bp[100,500)","af[0.001,0.01)",2580
INS,low,"bp[100,500)","af[0.01,0.05)",3515
INS,low,"bp[100,500)","af[0.05,0.5)",3716
INS,low,"bp[100,500)","af[0.5,1)",534
INS,low,"bp[1000,10000)","af[0.001,0.01)",522
INS,low,"bp[1000,10000)","af[0.01,0.05)",441
INS,low,"bp[1000,10000)","af[0.05,0.5)",551
INS,low,"bp[1000,10000)","af[0.5,1)",195
INS,low,"bp[10000,100000)","af[0.001,0.01)",141
INS,low,"bp[10000,100000)","af[0.01,0.05)",96
INS,low,"bp[10000,100000)","af[0.05,0.5)",51
INS,low,"bp[10000,100000)","af[0.5,1)",8
INS,low,"bp[100000,1e+06)","af[0.001,0.01)",5
INS,low,"bp[100000,1e+06)","af[0.01,0.05)",3
INS,low,"bp[100000,1e+06)","af[0.05,0.5)",1
INS,low,"bp[50,100)","af[0.001,0.01)",1972
INS,low,"bp[50,100)","af[0.01,0.05)",2828
INS,low,"bp[50,100)","af[0.05,0.5)",2571
INS,low,"bp[50,100)","af[0.5,1)",244
INS,low,"bp[500,1000)","af[0.001,0.01)",203
INS,low,"bp[500,1000)","af[0.01,0.05)",310
INS,low,"bp[500,1000)","af[0.05,0.5)",456
INS,low,"bp[500,1000)","af[0.5,1)",132
INS,medium,bp>=1e+06,"af[0.001,0.01)",2
INS,medium,bp>=1e+06,"af[0.01,0.05)",3
INS,medium,"bp[100,500)","af[0.001,0.01)",3003
INS,medium,"bp[100,500)","af[0.01,0.05)",4279
INS,medium,"bp[100,500)","af[0.05,0.5)",4302
INS,medium,"bp[100,500)","af[0.5,1)",700
INS,medium,"bp[1000,10000)","af[0.001,0.01)",610
INS,medium,"bp[1000,10000)","af[0.01,0.05)",610
INS,medium,"bp[1000,10000)","af[0.05,0.5)",629
INS,medium,"bp[1000,10000)","af[0.5,1)",249
INS,medium,"bp[10000,100000)","af[0.001,0.01)",144
INS,medium,"bp[10000,100000)","af[0.01,0.05)",127
INS,medium,"bp[10000,100000)","af[0.05,0.5)",77
INS,medium,"bp[10000,100000)","af[0.5,1)",17
INS,medium,"bp[100000,1e+06)","af[0.001,0.01)",12
INS,medium,"bp[100000,1e+06)","af[0.01,0.05)",11
INS,medium,"bp[100000,1e+06)","af[0.05,0.5)",5
INS,medium,"bp[50,100)","af[0.001,0.01)",2447
INS,medium,"bp[50,100)","af[0.01,0.05)",3551
INS,medium,"bp[50,100)","af[0.05,0.5)",2962
INS,medium,"bp[50,100)","af[0.5,1)",314
INS,medium,"bp[500,1000)","af[0.001,0.01)",277
INS,medium,"bp[500,1000)","af[0.01,0.05)",370
INS,medium,"bp[500,1000)","af[0.05,0.5)",582
INS,medium,"bp[500,1000)","af[0.5,1)",195
