fold,seed,context,feature_set,family,stratum,positive_count,negative_count,positive_prevalence,sufficiently_powered,class_recall,balanced_accuracy,normalized_ap,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece
fold_a,20260806,1hop,coordinate,complexity,high,14004,7742,0.643980502161317,True,0.7079922744412765,0.631311321834386,0.6111380176982224,21746,0.643980502161317,0.3046057885212088,0.7725775069174243,0.8615575523323663,0.7079922744412765,0.7188608029280568,0.8976006855184233,0.7983486821213084,0.573796168442959,0.19690319784582272,0.11712417237961557
fold_a,20260806,1hop,coordinate,complexity,low,5267,2539,0.6747373815014092,True,0.7585190878811171,0.6631639269619117,0.6437871986452524,7806,0.6747373815014092,0.3046057885212088,0.8022676510345952,0.8841372914886364,0.7585190878811171,0.7610373572090151,0.9360167078033036,0.8395061728395061,0.5300437922268557,0.17644520246103407,0.10736785718964496
fold_a,20260806,1hop,coordinate,complexity,medium,6022,3182,0.6542807475010864,True,0.7384832681442851,0.656904517919942,0.640888766627558,9204,0.6542807475010864,0.3046057885212088,0.802132386570841,0.8758483328345165,0.7384832681442851,0.7416120839459965,0.9212886084357357,0.8217433163000815,0.5372825194658055,0.17968396383088184,0.09984727334710758
fold_a,20260806,1hop,coordinate,start_complexity,high,14004,7742,0.643980502161317,True,0.7079922744412765,0.631311321834386,0.6111380176982224,21746,0.643980502161317,0.3046057885212088,0.7725775069174243,0.8615575523323663,0.7079922744412765,0.7188608029280568,0.8976006855184233,0.7983486821213084,0.573796168442959,0.19690319784582272,0.11712417237961557
fold_a,20260806,1hop,coordinate,start_complexity,low,5267,2540,0.6746509542718073,True,0.7584219290380427,0.6630870940591321,0.6435528485159939,7807,0.6746509542718073,0.3046057885212088,0.8021303719937989,0.8840302594121461,0.7584219290380427,0.7609198950455317,0.9360167078033036,0.8394347011748681,0.5301204397593152,0.17648121530793784,0.10726745660183332
fold_a,20260806,1hop,coordinate,start_complexity,medium,6022,3181,0.6543518417907204,True,0.7385635118982941,0.6569662155665004,0.6410773700459312,9203,0.6543518417907204,0.3046057885212088,0.8022407308589036,0.8759390540167453,0.7385635118982941,0.741711229946524,0.9212886084357357,0.8218041771589394,0.537218285133667,0.1796537656852328,0.09993162701495532
fold_a,20260806,1hop,coordinate,length,"bp[100,500)",11820,5301,0.6903802347993692,True,0.7660183400502307,0.6735431586991057,0.6918818187894068,17121,0.6903802347993692,0.3046057885212088,0.8182594526908215,0.9046005210795307,0.7660183400502307,0.7820938628158844,0.9164128595600677,0.8439423451499806,0.538468333453324,0.18093755782272947,0.14509003015449506
fold_a,20260806,1hop,coordinate,length,"bp[1000,10000)",2901,1689,0.6320261437908496,True,0.6361655773420479,0.5120559273062575,0.7122147269452782,4590,0.6320261437908496,0.3046057885212088,0.812641013725285,0.8941025433138508,0.6361655773420479,0.6377882247593463,0.9820751465012065,0.7733441910966341,0.5211184188686175,0.17601394543376186,0.08632348962762948
fold_a,20260806,1hop,coordinate,length,"bp[10000,100000)",491,197,0.7136627906976745,True,0.7165697674418605,0.5172340711486968,0.6191699310267477,688,0.7136627906976745,0.3046057885212088,0.7540293816617905,0.8909541808317868,0.7165697674418605,0.7208955223880597,0.9837067209775967,0.8320413436692506,0.521319568668508,0.17655308701090539,0.07101315002627334
fold_a,20260806,1hop,coordinate,length,"bp[100000,1e+06)",25,11,0.6944444444444444,False,0.6944444444444444,0.5,0.4555369170043606,36,0.6944444444444444,0.3046057885212088,0.6654545454545455,0.8336362801957768,0.6944444444444444,0.6944444444444444,1.0,0.819672131147541,0.5896813933828656,0.2032836568350061,0.13150843077182237
fold_a,20260806,1hop,coordinate,length,"bp[50,100)",8108,5402,0.6001480384900074,True,0.7062916358253146,0.6675116855439351,0.5262221039040481,13510,0.6001480384900074,0.3046057885212088,0.7614086680973099,0.8105589789259562,0.7062916358253146,0.7107084690553745,0.8611248149975333,0.7787196074057551,0.6104164562900937,0.21045116831133456,0.1294315144455966
fold_a,20260806,1hop,coordinate,length,"bp[500,1000)",1948,863,0.6929918178584134,True,0.7182497331910352,0.564047327859218,0.7618515356059293,2811,0.6929918178584134,0.3046057885212088,0.8403095191074542,0.926886472866566,0.7182497331910352,0.7224788298691301,0.9635523613963038,0.825780906291245,0.4705688483459625,0.15484931961790022,0.08265473839195484
fold_a,20260806,1hop,coordinate,allele_frequency,"af[0.001,0.01)",6453,3717,0.6345132743362832,True,0.6877089478859391,0.6006062086481915,0.527847460855219,10170,0.6345132743362832,0.3046057885212088,0.7360801083941287,0.8274345144541642,0.6877089478859391,0.689356292615278,0.9243762591042926,0.7897524162584404,0.5841367430079997,0.20070657289089538,0.07288362948781169
fold_a,20260806,1hop,coordinate,allele_frequency,"af[0.01,0.05)",8652,4281,0.6689863140802598,True,0.7299930410577592,0.6418336059633234,0.6384705078895372,12933,0.6689863140802598,0.3046057885212088,0.7877580926937647,0.8803287902478241,0.7299930410577592,0.7466539196940727,0.9026814609338881,0.8172875680200921,0.5638555046989289,0.19230625542685328,0.13543800134575995
fold_a,20260806,1hop,coordinate,allele_frequency,"af[0.05,0.5)",8766,4623,0.6547165583688103,True,0.7394876391067294,0.66564237853082,0.6742947961024914,13389,0.6547165583688103,0.3046057885212088,0.812340701042003,0.8875393862410799,0.7394876391067294,0.7495272314674736,0.9042892995665069,0.819667045807052,0.5427199507644194,0.18274511923116873,0.12178407652274609
fold_a,20260806,1hop,coordinate,allele_frequency,"af[0.5,1)",1422,842,0.6280918727915195,True,0.7853356890459364,0.7298091410512109,0.7799237159292888,2264,0.6280918727915195,0.3046057885212088,0.8801539934052938,0.9181518413482602,0.7853356890459364,0.7665148063781321,0.9465541490857946,0.8470736312146003,0.46861761961098963,0.1492678201163917,0.13719576162448338
fold_a,20260806,1hop,coordinate,carrier_frequency,AC_gt1,18607,9668,0.6580725022104332,True,0.7389566755083996,0.6615077803476339,0.6713186825160949,28275,0.6580725022104332,0.3046057885212088,0.809309139755239,0.8876148195425502,0.7389566755083996,0.7493779989337125,0.9064868060407374,0.8204791438647695,0.5448726170492577,0.1837071939124803,0.12343912687335483
